Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.4641040062771043,0.46355441212654114,0.1502675083834862,0.2554601579904557,False
0-2,All,All,All,0.5329073173272145,0.5616501569747925,0.13374961636223923,0.18082815408706665,False
10-19,All,All,All,0.43991064937277274,0.4226232469081878,0.14270321545345507,0.23223076015710836,False
20-29,All,All,All,0.42686298049309035,0.4060143828392029,0.15681066690486817,0.2609939351677895,False
3-9,All,All,All,0.4703185964859538,0.47615137696266174,0.14733438540672775,0.24831097573041916,False
30-39,All,All,All,0.436205410289687,0.4166465252637863,0.14571770598635214,0.24725692719221115,False
40-49,All,All,All,0.4524921479066471,0.4462313652038574,0.14544514887886112,0.2443256974220276,False
50-59,All,All,All,0.43473540107634934,0.41697156429290766,0.14604228033936092,0.244066059589386,False
60-69,All,All,All,0.46403247689368665,0.45095720887184143,0.14913642505950073,0.2463098168373108,False
more than 70,All,All,All,0.5194710766485372,0.5424311757087708,0.14573503445963118,0.238859623670578,False
All,Female,All,All,0.466554371607295,0.4672018587589264,0.15020712379657336,0.2569593340158463,False
All,Male,All,All,0.4616536409469136,0.4594619423151016,0.15029875785581243,0.252978265285492,False
All,All,Black,All,0.4741584326770872,0.47662578523159027,0.15081199763947117,0.25501818954944616,False
All,All,East Asian,All,0.44891486407605685,0.4420207440853119,0.1473335385795078,0.24600456655025488,False
All,All,Indian,All,0.4657424000853842,0.4715595245361328,0.1495293081639663,0.2429106906056404,False
All,All,Latino_Hispanic,All,0.4815969902532871,0.49233150482177734,0.15132100934881598,0.25441984087228775,False
All,All,Middle Eastern,All,0.4555280608924651,0.45529472827911377,0.15619880026353594,0.2684504166245461,False
All,All,Southeast Asian,All,0.4717682929690739,0.4781783372163772,0.14619865279983796,0.24826109409332275,False
All,All,White,All,0.4510190029863757,0.4312513619661331,0.1473283820335237,0.2520496547222138,False
All,All,All,2001 Reinhard,0.45666488215950835,0.45485562086105347,0.1363052800735235,0.23781607300043112,False
All,All,All,2016 Zhang,0.4479515574695099,0.4510878622531891,0.13586011714466042,0.22515335679054266,False
All,All,All,2017 Zhang,0.46076769562919245,0.4591826498508453,0.15578686511044762,0.27121245861053467,False
All,All,All,2018 Antic,0.4832119821378636,0.48415607213974,0.16078571644539993,0.28055644780397415,False
All,All,All,2023 Kang,0.4719239139894472,0.4677380174398422,0.1581822050895613,0.27282571047544485,False
0-2,Female,All,All,0.5373026027888447,0.5610857903957367,0.12982071125601286,0.1739450916647911,False
0-2,Male,All,All,0.5285120318655844,0.5648282468318939,0.13751028324406459,0.18592077493667608,False
10-19,Female,All,All,0.44407396837101354,0.43409423530101776,0.14555177799537558,0.24102789908647537,False
10-19,Male,All,All,0.43574733037453195,0.41512732207775116,0.13976718215754097,0.22525661438703543,False
20-29,Female,All,All,0.4434229287040698,0.42420925199985504,0.15428346113254227,0.260973371565342,False
20-29,Male,All,All,0.41030303228211096,0.37961134314537043,0.1576660496065785,0.256339929997921,False
3-9,Female,All,All,0.4769995640914936,0.49184855818748474,0.15174506748728728,0.25055810064077383,False
3-9,Male,All,All,0.4636376288804141,0.46481743454933167,0.1425732026453716,0.24764393270015717,False
30-39,Female,All,All,0.446629080118297,0.4394333064556122,0.14636223579882834,0.25774816423654556,False
30-39,Male,All,All,0.42578174046107703,0.39888264238834376,0.14441405495494017,0.23970773071050644,False
40-49,Female,All,All,0.4452245796462158,0.43631385266780853,0.1447878555604014,0.24161051958799362,False
40-49,Male,All,All,0.4597597161670784,0.4531542956829071,0.14583139550423976,0.24556169658899307,False
50-59,Female,All,All,0.42525190482665964,0.40062248706817627,0.14550955881519212,0.2406582161784172,False
50-59,Male,All,All,0.44421889732603903,0.43185631930828094,0.14605235859619412,0.2502202913165093,False
60-69,Female,All,All,0.45994694619016213,0.4347268790006637,0.15453002730575388,0.2642486840486527,False
60-69,Male,All,All,0.4681180075972111,0.4727949202060699,0.143524609522956,0.22332800924777985,False
more than 70,Female,All,All,0.520137769728899,0.5469348728656769,0.13908624562066715,0.22064676880836487,False
more than 70,Male,All,All,0.5188043835681754,0.5395887196063995,0.15218129089232652,0.25378246605396276,False
0-2,All,Black,All,0.5020672020587054,0.5307144224643707,0.13444589314605604,0.18331169337034225,False
0-2,All,East Asian,All,0.523561971702359,0.5484108030796051,0.12845207584512708,0.18355916440486914,False
0-2,All,Indian,All,0.5368630520322106,0.5569047927856445,0.13360274321562982,0.1509777158498764,False
0-2,All,Latino_Hispanic,All,0.5334944124248895,0.5729058384895325,0.13859905767248298,0.18498092889785767,False
