Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.5675342037607237,0.5708274841308594,0.05364407497917079,0.07769881188869476,False
0-2,All,All,All,0.5803874773445068,0.5861191153526306,0.050280270402793106,0.06788203120231628,False
10-19,All,All,All,0.5564838960379749,0.5578621029853821,0.052094661532276376,0.07425574958324432,False
20-29,All,All,All,0.5539682391208488,0.5550231039524078,0.054802307705422014,0.08246412873268127,False
3-9,All,All,All,0.5715580939859539,0.577138364315033,0.05424775855254675,0.07770948112010956,False
30-39,All,All,All,0.5582604520700195,0.5592872202396393,0.05335797609443598,0.08041395246982574,False
40-49,All,All,All,0.5660908899717517,0.5655802190303802,0.051170191285366026,0.07243233919143677,False
50-59,All,All,All,0.5630739528250385,0.5677300989627838,0.055268057499809516,0.07982218265533447,False
60-69,All,All,All,0.5737652010538361,0.5777682960033417,0.053400356159422215,0.07546527683734894,False
more than 70,All,All,All,0.5842196314365833,0.5928651988506317,0.04940754459001376,0.0676291286945343,False
All,Female,All,All,0.5701313182561084,0.5741453468799591,0.05427239010723454,0.07960939407348633,False
All,Male,All,All,0.5649370892653389,0.5677656829357147,0.05288482380647353,0.0759335309267044,False
All,All,Black,All,0.5665608242455155,0.5671462118625641,0.05179177030409132,0.07638011872768402,False
All,All,East Asian,All,0.5633306976069103,0.5670807063579559,0.05345262783010372,0.07638688385486603,False
All,All,Indian,All,0.5656011354893145,0.5679795444011688,0.05197951223655554,0.07456843554973602,False
All,All,Latino_Hispanic,All,0.5751181844207975,0.5825744569301605,0.05439371130136949,0.07490576803684235,False
All,All,Middle Eastern,All,0.5674885777210948,0.5726899802684784,0.05581332820475748,0.07971084117889404,False
All,All,Southeast Asian,All,0.5657871933748023,0.567017525434494,0.05524279113756119,0.07849153876304626,False
All,All,White,All,0.5688528134666307,0.5720848441123962,0.05196937610411379,0.07762651145458221,False
All,All,All,2001 Reinhard,0.565153879681965,0.5678935348987579,0.05152749178038489,0.07624851167201996,False
All,All,All,2016 Zhang,0.582034310006132,0.5869355201721191,0.05171805591449608,0.07204592227935791,False
All,All,All,2017 Zhang,0.5679070449946246,0.5714152455329895,0.05245413468077243,0.0761057436466217,False
All,All,All,2018 Antic,0.5690608381321935,0.5733560621738434,0.05371825163941594,0.07812394201755524,False
All,All,All,2023 Kang,0.5535149459887032,0.5545887649059296,0.05486878357123947,0.07880860567092896,False
0-2,Female,All,All,0.5837577978898952,0.5892106890678406,0.049612442491445405,0.06714507937431335,False
0-2,Male,All,All,0.5770171567991182,0.5825869143009186,0.05074797132435749,0.06805375218391418,False
10-19,Female,All,All,0.556380049477924,0.5603834986686707,0.053682736010730946,0.07641889154911041,False
10-19,Male,All,All,0.5565877425980258,0.5563273727893829,0.05049137398677793,0.07265836000442505,False
20-29,Female,All,All,0.5577749167169843,0.5600323379039764,0.0560872986796301,0.0816848874092102,False
20-29,Male,All,All,0.5501615615247132,0.5510326623916626,0.05325116865321093,0.08330084383487701,False
3-9,Female,All,All,0.5765443583587547,0.582169771194458,0.0548100785792468,0.07907137274742126,False
3-9,Male,All,All,0.566571829613153,0.5706650018692017,0.0532496984749955,0.07227279245853424,False
30-39,Female,All,All,0.5639711009991634,0.5662065148353577,0.05484824578530263,0.08155648410320282,False
30-39,Male,All,All,0.5525498031408755,0.5525166988372803,0.051227059535902876,0.07418130338191986,False
40-49,Female,All,All,0.5683611460320361,0.5687247514724731,0.05304677280015495,0.07501004636287689,False
40-49,Male,All,All,0.5638206339114672,0.5627975463867188,0.049151808151939105,0.06912463903427124,False
50-59,Female,All,All,0.5640296551314268,0.5673877596855164,0.05584964062906212,0.08022075891494751,False
50-59,Male,All,All,0.5621182505186502,0.5687637329101562,0.05469988125411782,0.07989373803138733,False
60-69,Female,All,All,0.5741338122974743,0.5761882066726685,0.05258600085985178,0.07613606750965118,False
60-69,Male,All,All,0.573396589810198,0.5782794952392578,0.05423416522362384,0.07463425397872925,False
more than 70,Female,All,All,0.5862290274013172,0.5958630442619324,0.04916197185154631,0.0690624862909317,False
more than 70,Male,All,All,0.5822102354718494,0.5876347422599792,0.049602419220538506,0.06680376827716827,False
0-2,All,Black,All,0.5698387253013524,0.5693613290786743,0.052832775767348884,0.08785043656826019,False
0-2,All,East Asian,All,0.584028660980138,0.5892983675003052,0.04610853533564582,0.06663979589939117,False
0-2,All,Indian,All,0.5860109715299173,0.5867635011672974,0.05020735210126415,0.06225530803203583,False
0-2,All,Latino_Hispanic,All,0.5866563305258751,0.5935742855072021,0.053497426861986164,0.07090434432029724,False
0-2,All,Middle Eastern,All,0.5827042669057846,0.5940396785736084,0.04864565197067947,0.05596311390399933,False
0-2,All,Southeast Asian,All,0.5819216913797639,0.5879961848258972,0.04932853537474671,0.058863818645477295,False
0-2,All,White,All,0.571551694788716,0.5771662592887878,0.04882328463626855,0.06308120489120483,False
10-19,All,Black,All,0.5490921872583303,0.5561304092407227,0.047036080517949684,0.07160404324531555,False
10-19,All,East Asian,All,0.5664867208762603,0.5716269910335541,0.054694116055643026,0.0782356858253479,False
10-19,All,Indian,All,0.5584386271509257,0.5586986541748047,0.04958309068295122,0.0670604407787323,False
10-19,All,Latino_Hispanic,All,0.5597938040440733,0.5630905330181122,0.04927195983147132,0.06458072364330292,False
10-19,All,Middle Eastern,All,0.553543922169642,0.5527110993862152,0.059949994563889164,0.080225870013237,False
10-19,All,Southeast Asian,All,0.542114811593836,0.5377520024776459,0.05356607031748861,0.07026053965091705,False
10-19,All,White,All,0.5659171991727568,0.5665363967418671,0.04519093531903583,0.07221294939517975,False
20-29,All,Black,All,0.5458113024180585,0.546793669462204,0.04866251478491477,0.06666794419288635,False
20-29,All,East Asian,All,0.5596099009568041,0.5656826496124268,0.05758028337529951,0.06897197663784027,False
20-29,All,Indian,All,0.5459949935024435,0.5429283976554871,0.052954208768640536,0.08977809548377991,False
20-29,All,Latino_Hispanic,All,0.5582615638321097,0.5662082731723785,0.0584922606200088,0.08020417392253876,False
20-29,All,Middle Eastern,All,0.5486076685515318,0.5487924814224243,0.05574182446778339,0.09433534741401672,False
20-29,All,Southeast Asian,All,0.5556324308568781,0.5535429418087006,0.052443113590532726,0.0801592469215393,False
20-29,All,White,All,0.5638598137281158,0.564099133014679,0.05502496895495365,0.08459940552711487,False
3-9,All,Black,All,0.5723881361159411,0.5784000754356384,0.04324136752694303,0.06423978507518768,False
3-9,All,East Asian,All,0.5733666956424713,0.5770314335823059,0.050468717700964436,0.07639287412166595,False
3-9,All,Indian,All,0.5699214616959746,0.5740920007228851,0.05002787999041018,0.06242308020591736,False
3-9,All,Latino_Hispanic,All,0.5780128691684115,0.5847915709018707,0.06053958877160983,0.08927114307880402,False
