Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.3726852762825991,0.3444690704345703,0.14333815682803175,0.20943816006183624,False
0-2,All,All,All,0.4327218240925244,0.4268786907196045,0.13354869543589432,0.19738375395536423,False
10-19,All,All,All,0.33002145166520946,0.2924807071685791,0.12733526126615682,0.15212911739945412,False
20-29,All,All,All,0.3150897544312787,0.29061733186244965,0.12192406686079248,0.14789329469203952,False
3-9,All,All,All,0.39320561191575093,0.3635820895433426,0.1469686847907739,0.21957233548164362,False
30-39,All,All,All,0.3394603098270955,0.30959862470626826,0.13211742043213245,0.18541734293103218,False
40-49,All,All,All,0.35294516090932604,0.3252623528242111,0.13137306268209872,0.19156797230243677,False
50-59,All,All,All,0.360802390876335,0.3427743166685104,0.13282689192211036,0.20106766372919077,False
60-69,All,All,All,0.39374100574135007,0.3638853579759598,0.14880213330251624,0.21634659171104437,False
more than 70,All,All,All,0.4361799770845221,0.4172260910272598,0.1572353736945597,0.24424054473638535,False
All,Female,All,All,0.3625213993221392,0.33359193801879883,0.13998630323666,0.20571723580360407,False
All,Male,All,All,0.382849153243059,0.35503464937210083,0.14591715422746251,0.2162572219967842,False
All,All,Black,All,0.39948566003203995,0.3791095018386841,0.14607026471922743,0.22013814002275467,False
All,All,East Asian,All,0.3299427381218082,0.2996282875537872,0.1294125246581229,0.17067407444119462,False
All,All,Indian,All,0.39357526771197415,0.37010399997234344,0.1443790516143542,0.22421820461750036,False
All,All,Latino_Hispanic,All,0.3826770963843423,0.35449187457561493,0.1452137301387596,0.20845826715230936,False
All,All,Middle Eastern,All,0.3849391264257708,0.3565840423107147,0.1498729895724808,0.23741111159324646,False
All,All,Southeast Asian,All,0.3537783275800522,0.32741808891296387,0.1398590984677643,0.19217332825064654,False
All,All,White,All,0.3643987177222064,0.3374083787202835,0.13485021905919614,0.19168171286582952,False
All,All,All,2001 Reinhard,0.3811345286237299,0.3624032437801361,0.15380621850790158,0.2424402311444283,False
All,All,All,2016 Zhang,0.3374274382569315,0.30903205275535583,0.12514555751035797,0.17642993479967112,False
All,All,All,2017 Zhang,0.3679617653677474,0.3355664610862732,0.13327934033040856,0.1899051070213318,False
All,All,All,2018 Antic,0.4016480932380429,0.3785803765058517,0.1480942556402098,0.2159862443804741,False
All,All,All,2023 Kang,0.375254555926544,0.3482579439878464,0.14684239776142402,0.21304809302091593,False
0-2,Female,All,All,0.4324372876193616,0.43113601207733154,0.13491094820466185,0.1938763931393624,False
0-2,Male,All,All,0.43300636056568714,0.4241879880428314,0.132259498015498,0.2002451941370964,False
10-19,Female,All,All,0.3192123569064326,0.2856650650501251,0.1263506055634588,0.1492244191467762,False
10-19,Male,All,All,0.34083054642398636,0.3014994114637375,0.12748007666649636,0.16139624640345573,False
20-29,Female,All,All,0.31362175260271347,0.2891299575567245,0.12381847239602584,0.14512053877115247,False
20-29,Male,All,All,0.3165577562598439,0.2912234365940094,0.12006230595215768,0.15041168406605723,False
3-9,Female,All,All,0.3929847788597856,0.3625258207321167,0.149958009738915,0.21275755763053894,False
3-9,Male,All,All,0.39342644497171625,0.36554306745529175,0.14401449382316592,0.2217124924063683,False
30-39,Female,All,All,0.3380160211645938,0.30959862470626826,0.13231283175548472,0.1851228401064873,False
30-39,Male,All,All,0.34090459848959725,0.30981422960758204,0.1319918977725918,0.18655999377369875,False
40-49,Female,All,All,0.33813535457888205,0.306592732667923,0.13076749020834724,0.18677773326635363,False
40-49,Male,All,All,0.36775496723977,0.3461106717586517,0.13038726480548654,0.19494682550430298,False
50-59,Female,All,All,0.34406834678216414,0.31580097973346705,0.12873279295670076,0.20268607139587405,False
50-59,Male,All,All,0.3775364349705058,0.36476980149745936,0.13481836840198402,0.19463378936052328,False
60-69,Female,All,All,0.36628716837663156,0.3337462395429611,0.13540653934928348,0.20296307653188705,False
60-69,Male,All,All,0.4211948431060686,0.39469934999942774,0.15642450438820604,0.23857257515192032,False
more than 70,Female,All,All,0.4179295270086883,0.4013349860906601,0.14265145385791175,0.21358504146337515,False
more than 70,Male,All,All,0.454430427160356,0.4409956037998199,0.16870570105760663,0.28011833131313324,False
0-2,All,Black,All,0.42734692597931084,0.42958827316761017,0.13659568844243636,0.20199242234230042,False
0-2,All,East Asian,All,0.40225111733783375,0.38664454221725464,0.13377622451054946,0.2291851863265038,False
0-2,All,Indian,All,0.44620522098107773,0.4351406842470169,0.12869806074939874,0.18959020078182226,False
0-2,All,Latino_Hispanic,All,0.4247710352594202,0.4146266579627991,0.12980935254915826,0.18355361372232437,False
0-2,All,Middle Eastern,All,0.48715158653530205,0.49645781517028803,0.13155959376896453,0.18097172677516943,False
0-2,All,Southeast Asian,All,0.43093012137846515,0.42756314575672144,0.12018727212775578,0.1717860028147698,False
0-2,All,White,All,0.41039676117626106,0.38861227035522455,0.13757358884388024,0.197143204510212,False
10-19,All,Black,All,0.3547623797573827,0.32508996129035944,0.13999419930548063,0.16275360435247416,False
10-19,All,East Asian,All,0.3048081661489877,0.27350881695747375,0.10814844390775132,0.13204140961170202,False
10-19,All,Indian,All,0.38670159205794336,0.33429706096649164,0.14716741237269287,0.21675410866737366,False
10-19,All,Latino_Hispanic,All,0.3173148508776318,0.2816392779350281,0.1146493723519368,0.12001962214708334,False
10-19,All,Middle Eastern,All,0.3222717210650444,0.2914425730705261,0.12591383408490694,0.14142287150025368,False
10-19,All,Southeast Asian,All,0.2978062922304327,0.27088357508182526,0.10716821659932514,0.1448866352438927,False
10-19,All,White,All,0.32648515951904383,0.2828673720359802,0.12144597824156451,0.1560048907995224,False
20-29,All,Black,All,0.31939541392705656,0.284546360373497,0.12646126789457307,0.14760888367891314,False
20-29,All,East Asian,All,0.296951590444554,0.2866481989622116,0.10350536441982164,0.13297405838966372,False
20-29,All,Indian,All,0.32400943860411646,0.29291436076164246,0.12852674679721063,0.15293965861201286,False
20-29,All,Latino_Hispanic,All,0.3225909711623734,0.29899105429649353,0.12761399807868648,0.16814905405044564,False
20-29,All,Middle Eastern,All,0.33413076319477775,0.29660458862781525,0.136941678450512,0.16797336935997015,False
20-29,All,Southeast Asian,All,0.2912067977542227,0.2757520526647568,0.09839007622354154,0.12281367927789691,False
20-29,All,White,All,0.3173433059318499,0.2996744364500046,0.12285696730398683,0.14815454930067068,False
3-9,All,Black,All,0.4419575958089395,0.4170293807983398,0.14290121226754543,0.2588786482810974,False
3-9,All,East Asian,All,0.3645299316807227,0.34366609156131744,0.13868634014779754,0.20330942422151566,False
3-9,All,Indian,All,0.4206634934314273,0.39852699637413025,0.15908122023212695,0.26841620355844503,False
3-9,All,Latino_Hispanic,All,0.4128763800994916,0.4083966016769409,0.14708202439830556,0.2186173051595688,False
3-9,All,Middle Eastern,All,0.4011851267719811,0.382187083363533,0.15777970581337072,0.24382004141807562,False
3-9,All,Southeast Asian,All,0.3881654988974333,0.3575642853975296,0.14551139671933663,0.18648223578929907,False
3-9,All,White,All,0.32306125672026115,0.2994548827409744,0.09867014646142065,0.11787544935941696,False
30-39,All,Black,All,0.36090412204238503,0.3515880852937698,0.13576330423031985,0.19315331801772118,False
30-39,All,East Asian,All,0.2953474606979977,0.25544556975364685,0.12187371059867573,0.12713139131665224,False
30-39,All,Indian,All,0.36711746904660353,0.3429672122001648,0.12963759140549266,0.17797856032848358,False
30-39,All,Latino_Hispanic,All,0.37056529843671754,0.3478037267923355,0.13577784170653973,0.18206418305635452,False
30-39,All,Middle Eastern,All,0.33937110596082426,0.302984282374382,0.12440181847092482,0.16463749483227724,False
30-39,All,Southeast Asian,All,0.29504864815283904,0.25483250617980957,0.1237573354483517,0.15034472942352295,False
30-39,All,White,All,0.3478680644523014,0.3084903210401535,0.13090330971078698,0.204078957438469,False
40-49,All,Black,All,0.4160442531108856,0.418140172958374,0.14615938048253307,0.2560112103819847,False
40-49,All,East Asian,All,0.30107985423369843,0.2696281671524048,0.11545865498903443,0.14861226081848147,False
40-49,All,Indian,All,0.3536037027835846,0.35718151926994324,0.11272502137852004,0.19613398611545566,False
40-49,All,Latino_Hispanic,All,0.35890448635274713,0.3379273861646652,0.13376039360474656,0.20204824954271322,False
40-49,All,Middle Eastern,All,0.34126040759411724,0.2984270304441452,0.1345351419776309,0.19089755415916443,False
40-49,All,Southeast Asian,All,0.3311288957907395,0.3128257989883423,0.12166050680949951,0.13653076440095901,False
40-49,All,White,All,0.3685945264995098,0.3440878689289093,0.12446933028493125,0.17121907323598862,False
50-59,All,Black,All,0.3881616306575862,0.3770103305578232,0.12663029879388557,0.20467530190944672,False
50-59,All,East Asian,All,0.3123404309830882,0.29306434094905853,0.1077406093779562,0.15459327772259712,False
50-59,All,Indian,All,0.39354220777750015,0.37095077335834503,0.13839944877333601,0.24183715134859085,False
50-59,All,Latino_Hispanic,All,0.36758729537779633,0.36227118968963623,0.12056533852853961,0.18224664777517324,False
50-59,All,Middle Eastern,All,0.37132426459680906,0.3669023811817169,0.14046556625073164,0.1824827566742897,False
50-59,All,Southeast Asian,All,0.3423986843702468,0.3132985532283783,0.13675036982141295,0.19669118151068687,False
50-59,All,White,All,0.3502622223713181,0.3326836824417114,0.1393628562336368,0.21591307222843176,False
60-69,All,Black,All,0.42976488369432364,0.41276001930236816,0.15439019869444703,0.25491585582494736,False
60-69,All,East Asian,All,0.3107823130420663,0.296125590801239,0.11667309343846924,0.14668820425868034,False
60-69,All,Indian,All,0.3984137342057445,0.3670210689306259,0.14892967618352235,0.23286665230989456,False
60-69,All,Latino_Hispanic,All,0.39014497954737054,0.3660487979650497,0.1505000765212908,0.174379050731659,False
60-69,All,Middle Eastern,All,0.4125489527528936,0.407431036233902,0.14194164536565684,0.25080480426549917,False
60-69,All,Southeast Asian,All,0.3960730571638454,0.36064979434013367,0.14990578014870853,0.21769080311059952,False
60-69,All,White,All,0.41845911978320643,0.4096156060695648,0.14654686818969967,0.22058353573083878,False
more than 70,All,Black,All,0.45703373531048946,0.46239233016967773,0.14587629725419957,0.20410044491291052,False
more than 70,All,East Asian,All,0.38139377852732487,0.3481575548648834,0.15759305617169786,0.23043068125844005,False
more than 70,All,Indian,All,0.4519205505197698,0.4170618951320648,0.1526252358783064,0.22788622975349426,False
more than 70,All,Latino_Hispanic,All,0.4793385703455318,0.47910840809345245,0.16770731930068009,0.2985885441303254,False
more than 70,All,Middle Eastern,All,0.4552082093601877,0.4655030518770218,0.15969078018429642,0.2662079408764839,False
more than 70,All,Southeast Asian,All,0.4112469524822452,0.3725903332233429,0.15878637255880532,0.22257763892412186,False
more than 70,All,White,All,0.417118043046106,0.4053293615579605,0.13624517546510878,0.2072748169302941,False
0-2,All,All,2001 Reinhard,0.4385510663223731,0.4404619187116623,0.13600523050882152,0.20382792502641678,False
0-2,All,All,2016 Zhang,0.3923050424495301,0.3831553757190704,0.11942956202230215,0.1799741610884667,False
0-2,All,All,2017 Zhang,0.43010979794062576,0.4242107570171356,0.12769816289903735,0.19457059353590017,False
0-2,All,All,2018 Antic,0.4677373496936513,0.45324909687042236,0.13902412491113014,0.2166527435183525,False
0-2,All,All,2023 Kang,0.4349058640564417,0.42577964067459106,0.13453119019740775,0.1981214657425881,False
10-19,All,All,2001 Reinhard,0.3347459276775261,0.2966141849756241,0.1394946778939853,0.20137503743171686,False
10-19,All,All,2016 Zhang,0.3014059451880393,0.2725740969181061,0.1090932010340365,0.12134525924921041,False
10-19,All,All,2017 Zhang,0.3244288806597908,0.2912685126066208,0.11511740224045681,0.12319067865610117,False
10-19,All,All,2018 Antic,0.3577036323001632,0.31974469125270844,0.13393886793593715,0.16913923621177673,False
10-19,All,All,2023 Kang,0.331822872500528,0.2919576019048691,0.13070399701684415,0.16218642517924306,False
20-29,All,All,2001 Reinhard,0.31792535209520295,0.2949265092611313,0.133156492154156,0.18681809306144717,False
20-29,All,All,2016 Zhang,0.2897450779504203,0.2638230323791504,0.10543121385953079,0.11159473285079,False
20-29,All,All,2017 Zhang,0.31323148319860555,0.2870723605155945,0.11139942002614248,0.12188985198736194,False
20-29,All,All,2018 Antic,0.33952197582497223,0.3156431168317795,0.12732429050076807,0.15641926229000097,False
20-29,All,All,2023 Kang,0.3150248830871923,0.29436805844306946,0.12569216817325776,0.1614079140126706,False
3-9,All,All,2001 Reinhard,0.404414457643961,0.3836709260940552,0.15660027194197002,0.24808761477470404,False
3-9,All,All,2016 Zhang,0.3549452508715066,0.31580060720443726,0.13170930074711384,0.1932211592793464,False
3-9,All,All,2017 Zhang,0.38224736286641714,0.3468927294015884,0.1364678442030544,0.1916737481951713,False
3-9,All,All,2018 Antic,0.4285515648881336,0.39815275371074677,0.15205288526219182,0.24327776581048965,False
3-9,All,All,2023 Kang,0.3958694233087363,0.3567170202732086,0.14727591240653032,0.22193878144025808,False
30-39,All,All,2001 Reinhard,0.34705590451886126,0.31446194648742676,0.1493535699862294,0.22058213129639628,False
30-39,All,All,2016 Zhang,0.3084710196096015,0.27820731699466705,0.11124017180488169,0.14989517629146576,False
30-39,All,All,2017 Zhang,0.33731133737540864,0.3044189512729645,0.12074395865055411,0.1725106611847878,False
30-39,All,All,2018 Antic,0.3671587040623674,0.3345741331577301,0.13733895430267076,0.1942727267742157,False
30-39,All,All,2023 Kang,0.3373045835692387,0.3115553855895996,0.13259032190928186,0.18123672530055046,False
40-49,All,All,2001 Reinhard,0.3612545236171066,0.34118518233299255,0.14389985454144955,0.22381615638732907,False
40-49,All,All,2016 Zhang,0.31626294113018294,0.29263831675052643,0.11149363852623212,0.1516605392098427,False
40-49,All,All,2017 Zhang,0.3512705763826123,0.3218109607696533,0.12098282079761803,0.1700802743434906,False
40-49,All,All,2018 Antic,0.3821400297539575,0.36152514815330505,0.13763829082500578,0.20565705001354218,False
40-49,All,All,2023 Kang,0.35379773366277095,0.32822832465171814,0.13237159742867696,0.1983567364513874,False
50-59,All,All,2001 Reinhard,0.37120875704114314,0.3617676943540573,0.14993428087781266,0.2352758347988128,False
50-59,All,All,2016 Zhang,0.3250424481638066,0.3078902661800384,0.11324011328275974,0.16184082999825483,False
50-59,All,All,2017 Zhang,0.3548668229637982,0.33083711564540863,0.11873906101984873,0.1791590303182602,False
50-59,All,All,2018 Antic,0.3904278405591265,0.3833880126476288,0.1335176869395583,0.20759432017803187,False
50-59,All,All,2023 Kang,0.36246608565380045,0.34184680879116053,0.137495491140265,0.2063514962792396,False
60-69,All,All,2001 Reinhard,0.4072625844606331,0.3882364183664322,0.15871298242185505,0.2576676085591316,False
