Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.4212231426232348,0.36687295138835907,0.1615308889924431,0.28207819908857346,False
0-2,All,All,All,0.49376489552004,0.4803615808486938,0.16371993049545036,0.3216977491974831,False
10-19,All,All,All,0.40855246384616023,0.34073033928871155,0.16220431133306235,0.2878369688987732,False
20-29,All,All,All,0.3944724543721645,0.3314940333366394,0.167293571589908,0.24515523761510855,False
3-9,All,All,All,0.42185771429500024,0.364309698343277,0.15976302795549452,0.2737714424729347,False
30-39,All,All,All,0.3945748723269283,0.34039241075515747,0.15066033223474978,0.2113719135522843,False
40-49,All,All,All,0.40607270290712255,0.3508956432342529,0.15137399082799757,0.2233121246099472,False
50-59,All,All,All,0.3930004751962888,0.34175926446914673,0.1553289235443289,0.2104475125670433,False
60-69,All,All,All,0.4111419196059177,0.362662672996521,0.15293480044301297,0.22597180306911474,False
more than 70,All,All,All,0.46757078553949083,0.44504396617412567,0.1583659215118098,0.3079562559723854,False
All,Female,All,All,0.4228263815141903,0.3702964782714844,0.16021773555732727,0.2752787247300148,False
All,Male,All,All,0.4196199037322793,0.36279986798763275,0.16282922825501495,0.28845320641994476,False
All,All,Black,All,0.4173026208022628,0.3637741804122925,0.16044069365692748,0.2686961367726326,False
All,All,East Asian,All,0.41701952033121176,0.35410070419311523,0.1640886122804318,0.30208184570074087,False
All,All,Indian,All,0.42654618427458435,0.3717050850391388,0.1609707188616749,0.2937001138925553,False
All,All,Latino_Hispanic,All,0.4355959632029437,0.38846804201602936,0.15783971900970128,0.2762977778911591,False
All,All,Middle Eastern,All,0.42235609260811047,0.3710173964500427,0.16599345004939614,0.3034574687480927,False
All,All,Southeast Asian,All,0.42945619564164766,0.3874661326408386,0.1623360964789172,0.29268942028284073,False
All,All,White,All,0.40028542150188273,0.3420977741479873,0.15668705063297392,0.21226087212562567,False
All,All,All,2001 Reinhard,0.4219277591308818,0.36759535968303675,0.16033330025715578,0.28028935194015503,False
All,All,All,2016 Zhang,0.41545498849552603,0.36064693331718445,0.16082478531974534,0.27478411793708807,False
All,All,All,2017 Zhang,0.422407429532281,0.3654618412256241,0.1633292155424685,0.28863366693258286,False
All,All,All,2018 Antic,0.42799128007821063,0.3741136938333511,0.16256704557127322,0.286273904144764,False
All,All,All,2023 Kang,0.41833425587927453,0.3636012226343155,0.16041693581213975,0.2734915465116501,False
0-2,Female,All,All,0.49535298935778727,0.4826579391956329,0.16115997480596247,0.31687934696674347,False
0-2,Male,All,All,0.49217680168229266,0.4790017604827881,0.1663300907748645,0.3285903483629227,False
10-19,Female,All,All,0.41969920460666926,0.355242595076561,0.16396505896201077,0.28744049370288854,False
10-19,Male,All,All,0.39740572308565114,0.3263001888990402,0.1597539590691177,0.27573742717504507,False
20-29,Female,All,All,0.40704580347549607,0.34751519560813904,0.16911502077866356,0.24477803707122803,False
20-29,Male,All,All,0.3818991052688329,0.3196650743484497,0.16460313717045677,0.2341216281056404,False
3-9,Female,All,All,0.4301612896965696,0.37058547139167786,0.16054856667771994,0.27084307372570043,False
3-9,Male,All,All,0.4135541388934309,0.35610443353652954,0.15864337786295918,0.24452558159828192,False
30-39,Female,All,All,0.3953369263317678,0.347160279750824,0.1468253751556235,0.21330848336219788,False
30-39,Male,All,All,0.3938128183220888,0.33674199879169464,0.15449185938791068,0.210597462952137,False
