Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.9990944743945479,0.9995397910676995,0.002021122372197067,0.0007835506018666338,False
0-2,All,All,All,0.9991205429593043,0.9994889100780379,0.001402190915642073,0.0008219590764204643,False
10-19,All,All,All,0.999119108766215,0.9995623701089946,0.0016163267359700498,0.0007427461265047119,False
20-29,All,All,All,0.9988447788236322,0.9995184555754417,0.003067091136996505,0.0008644661748776761,False
3-9,All,All,All,0.9990518018974189,0.9995478671579322,0.002476637389760162,0.000794527444155313,False
30-39,All,All,All,0.9990558587734246,0.9994960553026354,0.0016149343674725701,0.0008674732766857929,False
40-49,All,All,All,0.9991450881150481,0.9995387040732073,0.0016142200569649336,0.0007760509953250727,False
50-59,All,All,All,0.9990015038334997,0.9995522656622919,0.0028385562568293307,0.0007627294005451146,False
60-69,All,All,All,0.9991905943274745,0.9995511402560336,0.0014703990909946355,0.0007529916804025483,False
more than 70,All,All,All,0.9993209920549143,0.9996061097091586,0.0010460578986903894,0.000617175983955609,False
All,Female,All,All,0.9990724724582815,0.9995284209188269,0.002311178933199079,0.0008069835002503245,False
All,Male,All,All,0.9991164763308147,0.9995513893173187,0.0016816493264873323,0.0007626445571904394,False
All,All,Black,All,0.9991623844287373,0.9995344045814498,0.0013773045786662818,0.0007727721218981909,False
All,All,East Asian,All,0.9991123700868079,0.9995375195725039,0.001791579505038008,0.0007589022626312003,False
All,All,Indian,All,0.9991259774224164,0.9995450919584357,0.0015140459624807664,0.0008069157164710683,False
All,All,Latino_Hispanic,All,0.9991634222318034,0.9995708013516658,0.00159519308124567,0.00073561894145735,False
All,All,Middle Eastern,All,0.9990671974219477,0.9995356999295817,0.0026876960845274027,0.0007633196866794201,False
All,All,Southeast Asian,All,0.9990077083420532,0.9995013747527509,0.0018114154919973888,0.0008816010980968736,False
All,All,White,All,0.9990222608280697,0.9995566544276465,0.0028520377261049604,0.0007779556459465153,False
All,All,All,2001 Reinhard,0.9984557199970321,0.9993977117246104,0.003654966675573805,0.001096527587754359,False
All,All,All,2016 Zhang,0.9990692484617972,0.9994567843327951,0.001274906132516484,0.0006313755494273821,False
All,All,All,2017 Zhang,0.9991307209545933,0.9995698298679162,0.0015029421726472842,0.0006128534724405554,False
All,All,All,2018 Antic,0.9999756948585281,0.9999927329855818,6.587518624966832e-05,1.5322067213885404e-05,False
All,All,All,2023 Kang,0.9988409877007891,0.99915689376565,0.0013899710156957898,0.0007745758789365897,False
0-2,Female,All,All,0.9991704269838023,0.999503051308063,0.0014955183347370108,0.0008138904598771202,False
0-2,Male,All,All,0.9990706589348065,0.9994784935357228,0.0013012598060564919,0.0008570538700456432,False
10-19,Female,All,All,0.9990760476468539,0.9995173880148821,0.0015033096158268955,0.0007966646810319,False
10-19,Male,All,All,0.9991621698855763,0.9995984223183794,0.0017218502769403795,0.000679650712910651,False
20-29,Female,All,All,0.9987139506896883,0.999493233847801,0.003755680603753035,0.0009742526931352247,False
20-29,Male,All,All,0.9989756069575763,0.9995402845552366,0.0021649285447711206,0.0007943832927371774,False
3-9,Female,All,All,0.9990468393867719,0.9995497846405565,0.00299844443764525,0.0008196563705104021,False
3-9,Male,All,All,0.9990567644080662,0.9995413461039104,0.0018123805901246088,0.0007722954132832749,False
30-39,Female,All,All,0.999108114906273,0.9995156922747306,0.0015680990862505866,0.0008569813721098773,False
30-39,Male,All,All,0.9990036026405762,0.9994790071053418,0.0016598235459629556,0.0008905047336045246,False
40-49,Female,All,All,0.9991038747333582,0.9995093380549358,0.0017103492876385394,0.0007967640006912857,False
40-49,Male,All,All,0.999186301496738,0.9995645662939743,0.0015119871132166709,0.0007380229784341719,False
50-59,Female,All,All,0.9990010448238006,0.9995371199687073,0.003420774124051589,0.0007808639428468211,False
50-59,Male,All,All,0.9990019628431988,0.9995700138327797,0.0021032320323970356,0.0007455259195014996,False
60-69,Female,All,All,0.9991664670924075,0.9995241133390296,0.0014348218652937685,0.0007540571378770178,False
60-69,Male,All,All,0.9992147215625414,0.9995749565015795,0.001505682226283479,0.0007548245605030202,False
more than 70,Female,All,All,0.9992654858615769,0.9995994473494477,0.0010954640212434998,0.0006350904929263157,False
more than 70,Male,All,All,0.9993764982482514,0.9996166508570395,0.0009918093971592482,0.0006033549896834467,False
0-2,All,Black,All,0.9992008241340824,0.9994486340682409,0.0008358134189649226,0.0008966665165234255,False
0-2,All,East Asian,All,0.9993053045876549,0.9995452006651769,0.000981399038555152,0.0006550432422429697,False
0-2,All,Indian,All,0.9992106284896903,0.9995279603444251,0.001243796770350957,0.0008343419216354508,False
0-2,All,Latino_Hispanic,All,0.9992417394559105,0.9995842136626394,0.0017340489722079701,0.0006862802482515695,False
0-2,All,Middle Eastern,All,0.9990068465496793,0.9994055766539585,0.0014316868770852089,0.000848536461733107,False
0-2,All,Southeast Asian,All,0.9989559589616928,0.9993780692512935,0.0012968280831818992,0.0009406019226539941,False
0-2,All,White,All,0.9989224985364212,0.9994700213078909,0.001930387027851,0.0008524890294767662,False
10-19,All,Black,All,0.9989672256447317,0.9995475932864624,0.0019583292138732927,0.0006867711226093975,False
