Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.3594310735480008,0.33266450464725494,0.1287144896460029,0.18735507875680923,False
0-2,All,All,All,0.43213841416812565,0.43512567877769465,0.1232395403222323,0.1969133466482163,False
10-19,All,All,All,0.3317762344398282,0.3040398508310318,0.11662811222110708,0.15245918557047838,False
20-29,All,All,All,0.3225241669489966,0.2890836149454117,0.12262533802366768,0.17491985112428662,False
3-9,All,All,All,0.36427771610679566,0.3393442630767822,0.12472752580992888,0.17730831354856486,False
30-39,All,All,All,0.32961762559104274,0.2959554642438888,0.11817490157856538,0.16254064813256264,False
40-49,All,All,All,0.34029332109085925,0.31288421154022217,0.11776733263493129,0.14889350533485418,False
50-59,All,All,All,0.33588451458649204,0.3138346672058105,0.11605956799313598,0.1610665246844291,False
60-69,All,All,All,0.36175052166565674,0.3312885165214538,0.12518351847091233,0.17620885372161865,False
more than 70,All,All,All,0.4166171473342103,0.3930017203092575,0.1424907862984332,0.22293540835380554,False
All,Female,All,All,0.3607289806578152,0.33649115264415735,0.12730592023301074,0.18831652402877813,False
All,Male,All,All,0.3581331664381863,0.3284603953361511,0.1301040498117606,0.18599683046340942,False
All,All,Black,All,0.36793343989987565,0.3398153483867645,0.1297077786755077,0.1926826685667038,False
All,All,East Asian,All,0.343870954008566,0.3155664950609207,0.1222551410658235,0.16604250669479365,False
All,All,Indian,All,0.3644641539740442,0.3372197598218918,0.13538858638504567,0.1977137774229049,False
All,All,Latino_Hispanic,All,0.37276675891921374,0.35000719130039215,0.13173656374824574,0.18564394116401672,False
All,All,Middle Eastern,All,0.3576803842314867,0.3289761245250702,0.13223347575317357,0.2000849731266498,False
All,All,Southeast Asian,All,0.3614166060218004,0.34191152453422546,0.12433621937687689,0.19200035184621816,False
All,All,White,All,0.3478852177810187,0.31626906991004944,0.12232634907031695,0.17125265300273895,False
All,All,All,2001 Reinhard,0.33991557740287864,0.3125258982181549,0.11428911920821731,0.16059265285730362,False
All,All,All,2016 Zhang,0.35862894557298175,0.33384715020656586,0.12713958123926025,0.18411345779895782,False
All,All,All,2017 Zhang,0.36947380900275484,0.3435202091932297,0.1284994268781687,0.18873050063848495,False
All,All,All,2018 Antic,0.3710079038109829,0.3437167555093765,0.13525229084710474,0.20328129082918167,False
All,All,All,2023 Kang,0.35812913195040574,0.3324964046478271,0.13494798350542614,0.20001275837421414,False
0-2,Female,All,All,0.4328423108566891,0.43111009895801544,0.116798317778551,0.18967285752296453,False
0-2,Male,All,All,0.43143451747956213,0.43820288777351374,0.12943291558465492,0.20424474030733109,False
10-19,Female,All,All,0.3337516068251102,0.30825085937976837,0.11927841682990417,0.16320980712771413,False
10-19,Male,All,All,0.3298008620545462,0.3021818995475769,0.11395949331407311,0.14458256959915156,False
20-29,Female,All,All,0.3320094668245935,0.30008286237716675,0.12130469910129123,0.17909514531493193,False
20-29,Male,All,All,0.3130388670733997,0.2751779556274414,0.1232821768809718,0.1602616421878338,False
3-9,Female,All,All,0.37258333434145174,0.3541769832372665,0.12848069169622314,0.1870028525590896,False
3-9,Male,All,All,0.35597209787213957,0.3327370285987854,0.12036904653241053,0.16492661088705063,False
30-39,Female,All,All,0.34078755319699067,0.31614798307418823,0.11912176026794867,0.17706050351262093,False
30-39,Male,All,All,0.31844769798509487,0.27793632447719574,0.11622788928145401,0.14186757057905197,False
40-49,Female,All,All,0.336141907955919,0.3113345801830292,0.11418490457915173,0.14476172253489494,False
40-49,Male,All,All,0.3444447342257995,0.3138248026371002,0.12117598298457556,0.15347938239574427,False
50-59,Female,All,All,0.3292147352710947,0.30468347668647766,0.10988924859087773,0.1611336693167687,False
50-59,Male,All,All,0.34255429390188935,0.31994806230068207,0.12162412632507799,0.16285088658332825,False
60-69,Female,All,All,0.3575933287670086,0.31794069707393646,0.12906092765710928,0.18083480745553965,False
60-69,Male,All,All,0.3659077145643048,0.3405210077762604,0.12112337674306434,0.16909547150135046,False
more than 70,Female,All,All,0.4116365818814798,0.39045202732086176,0.13954489445371174,0.21358167380094528,False
more than 70,Male,All,All,0.4215977127869408,0.39792419970035553,0.14529692647995485,0.23881899565458298,False
0-2,All,Black,All,0.3953199845146049,0.3951661139726639,0.10798137531235769,0.17063509672880178,False
0-2,All,East Asian,All,0.41314942186528986,0.40877848863601685,0.11895186953947517,0.1738464012742042,False
0-2,All,Indian,All,0.4497735481370579,0.45996034145355225,0.12005398949443076,0.17963245511054993,False
0-2,All,Latino_Hispanic,All,0.43662326363000004,0.4399973154067993,0.13020476639352724,0.2239670306444168,False
0-2,All,Middle Eastern,All,0.5220170852135528,0.5551139414310455,0.11616460899143437,0.1335838288068772,False
0-2,All,Southeast Asian,All,0.4199526725167578,0.41786770522594446,0.09739856632344406,0.13137353211641312,False
0-2,All,White,All,0.388132923299616,0.3778115957975387,0.11962164933326895,0.20671194046735758,False
10-19,All,Black,All,0.34088055206970735,0.32170091569423676,0.1260821248832429,0.17087988182902336,False
10-19,All,East Asian,All,0.34321522157300605,0.3240060359239578,0.11565125914321886,0.160122886300087,False
10-19,All,Indian,All,0.3522617520256476,0.3113500773906708,0.14256375999842605,0.17065781727433207,False
10-19,All,Latino_Hispanic,All,0.32909263860095633,0.29554224014282227,0.09753688511944904,0.12418505549430847,False
10-19,All,Middle Eastern,All,0.31184779419140385,0.2933098375797272,0.1138907103684799,0.13472858071327218,False
10-19,All,Southeast Asian,All,0.3259282645854083,0.29895634949207306,0.10936570709224183,0.17864885553717613,False
10-19,All,White,All,0.31920741803266783,0.29529866576194763,0.10153920157809562,0.14328217506408694,False
20-29,All,Black,All,0.30927640186114747,0.2637763172388077,0.12130082831874735,0.12486900016665456,False
20-29,All,East Asian,All,0.3400919442488389,0.306378111243248,0.11604606995540777,0.14675512164831161,False
20-29,All,Indian,All,0.322036145424301,0.26869311928749084,0.13792808766218834,0.2156535536050797,False
