Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.122340957869871,0.11914581060409546,0.033724868415800975,0.04411225020885469,True
0-2,All,All,All,0.1238794122036401,0.12155807018280025,0.034208574593950665,0.04497000575065607,True
10-19,All,All,All,0.12369195652472505,0.12088355422019956,0.03204469763382849,0.042500004172325134,True
20-29,All,All,All,0.12079743835833162,0.11769390106201165,0.03408742498562813,0.044368416070938124,True
3-9,All,All,All,0.12558621957704616,0.12247547507286069,0.03372159510105969,0.04436144232749942,True
30-39,All,All,All,0.11980452452387125,0.1162091493606567,0.03254216882907821,0.045161068439483615,True
40-49,All,All,All,0.11937112552779058,0.11614331603050229,0.03219867903830961,0.0438546538352966,True
50-59,All,All,All,0.12537116152899602,0.1214281320571899,0.034728997433655796,0.044395849108696,True
60-69,All,All,All,0.12103193390679046,0.11824145913124079,0.03370141810961814,0.04405419528484346,True
more than 70,All,All,All,0.12153484867764754,0.1186271011829376,0.0355591772024429,0.045202240347862244,True
All,Female,All,All,0.1247077366576394,0.12144154310226435,0.033642819094293695,0.04404208064079276,True
All,Male,All,All,0.11997417908210256,0.1170438230037689,0.03364303000708995,0.044133648276328985,True
All,All,Black,All,0.12122381702818048,0.1174341440200805,0.0335858613386728,0.04321296513080597,True
All,All,East Asian,All,0.1218886015993176,0.11969679594039916,0.031676905897326926,0.041896551847457844,True
All,All,Indian,All,0.12562933037377366,0.1222017109394073,0.03335044564507541,0.0436344295740128,True
All,All,Latino_Hispanic,All,0.11941932695682601,0.1150822043418884,0.03441271822475758,0.04491449892520906,True
All,All,Middle Eastern,All,0.12069743209415008,0.11828663945198055,0.034079173419375365,0.0434204638004303,True
All,All,Southeast Asian,All,0.12490803084590217,0.1219815015792846,0.03569030649927305,0.04762747883796692,True
All,All,White,All,0.12262016619094693,0.11956259608268735,0.032737096274376015,0.04269807040691369,True
All,All,All,2001 Reinhard,0.14800975404002445,0.15152487158775324,0.03915291113830791,0.03630205988883972,True
All,All,All,2016 Zhang,0.1199018453794812,0.11706468462944031,0.024308563189379566,0.030734792351722703,True
All,All,All,2017 Zhang,0.11803150589847973,0.11485913395881645,0.03058675181737369,0.03931684792041776,True
All,All,All,2018 Antic,0.12096104664461949,0.11774963140487671,0.030147464612852424,0.037480384111404405,True
All,All,All,2023 Kang,0.10480063738674997,0.10025733709335324,0.02696046684380279,0.03177961707115176,True
0-2,Female,All,All,0.1232053981972979,0.1209912300109863,0.033902866133639485,0.04588758945465085,True
0-2,Male,All,All,0.1245534262099823,0.12232747673988335,0.034520440310277824,0.04346400499343869,True
10-19,Female,All,All,0.1286841490826049,0.12583506107330317,0.032067773318114945,0.045163288712501526,True
10-19,Male,All,All,0.11869976396684519,0.11651241779327384,0.031253955584247144,0.039262428879737896,True
20-29,Female,All,All,0.12179225644507961,0.11795216798782346,0.033831008925418925,0.04175317287445071,True
20-29,Male,All,All,0.11980262027158362,0.11651858687400815,0.03433506969622568,0.04718077182769771,True
3-9,Female,All,All,0.13004098596510946,0.12638714909553525,0.03470520169662905,0.04360918700695034,True
3-9,Male,All,All,0.12113145318898284,0.11786127090454095,0.032118190506682034,0.042910113930702265,True
30-39,Female,All,All,0.12228582524634023,0.1172712445259094,0.03129002037555254,0.04266701638698581,True
30-39,Male,All,All,0.11732322380140227,0.11509990692138666,0.03358522761027319,0.046304240822792095,True
40-49,Female,All,All,0.12291891698713422,0.11911922693252555,0.032509820844027044,0.04485484957695006,True
40-49,Male,All,All,0.11582333406844693,0.11352705955505366,0.03150814520308779,0.04159285128116616,True
50-59,Female,All,All,0.1279450723103114,0.1240371465682983,0.035858029717804295,0.04693046212196347,True
50-59,Male,All,All,0.12279725074768062,0.1187991201877594,0.03338726361025941,0.04358755052089695,True
60-69,Female,All,All,0.12434593679068921,0.1208926141262054,0.03266603636169464,0.04070857167243959,True
60-69,Male,All,All,0.11771793102289171,0.11530485749244684,0.0344090744479481,0.044169232249259976,True
more than 70,Female,All,All,0.12115108889418759,0.1183376014232635,0.03457338499607344,0.045727625489234924,True
more than 70,Male,All,All,0.12191860846110748,0.11924740672111506,0.036536838605340995,0.044264450669288635,True
