Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.9804082499653058,0.9818211197853088,0.009742073876589484,0.012028351426124684,False
0-2,All,All,All,0.9798295548983983,0.9810829162597656,0.00954719939287987,0.011237323284149059,False
10-19,All,All,All,0.979974722784835,0.9813714623451233,0.009596702108903142,0.012171432375907898,False
20-29,All,All,All,0.9818354535412479,0.9833592176437378,0.009448803409704876,0.012577980756759755,False
3-9,All,All,All,0.9792988734198855,0.9807161092758179,0.009822686112193843,0.011588916182517894,False
30-39,All,All,All,0.9815579407013856,0.9829849004745483,0.009487717627498015,0.011530697345733643,False
40-49,All,All,All,0.9805941053025135,0.982103556394577,0.009781708637727782,0.012198120355605968,False
50-59,All,All,All,0.9802179786679033,0.9821890890598298,0.009739693084374538,0.011608794331550598,False
60-69,All,All,All,0.9805061074046345,0.9817729592323303,0.00981734342899866,0.011977627873420715,False
more than 70,All,All,All,0.9798595129669486,0.9813684225082397,0.01015957225355455,0.012773647904396057,False
All,Female,All,All,0.980301447804012,0.98189976811409,0.00992442707292946,0.01200854778289795,False
All,Male,All,All,0.9805150521265996,0.9817635118961334,0.00955576447110806,0.012042447924613953,False
All,All,Black,All,0.9800170812943969,0.9812929630279541,0.009712521226415282,0.012051939964294212,False
All,All,East Asian,All,0.9799834634318496,0.9813020825386047,0.009558338115089514,0.01238451898098003,False
All,All,Indian,All,0.9797050871331282,0.9811827540397644,0.010245476878987794,0.012418210506439209,False
All,All,Latino_Hispanic,All,0.9815564634523006,0.9827078282833099,0.008964641951165272,0.011060550808906444,False
All,All,Middle Eastern,All,0.9809324563753725,0.9826478362083436,0.010266692723442552,0.011946767568588368,False
All,All,Southeast Asian,All,0.9795721746755369,0.9808176159858704,0.009755046316761306,0.012608632445335388,False
All,All,White,All,0.9810910233945558,0.9825304746627808,0.009458343859524324,0.011302620172500721,False
All,All,All,2001 Reinhard,0.9804119632013605,0.9811751842498779,0.009567746785200887,0.011579886078834534,False
All,All,All,2016 Zhang,0.9785592891007103,0.9799858629703522,0.00934994131101999,0.011820957064628601,False
All,All,All,2017 Zhang,0.9830694859592085,0.9849180281162262,0.009304664890393364,0.011253848671913147,False
All,All,All,2018 Antic,0.9815930747151547,0.9834451973438263,0.009933324219737432,0.011279985308647156,False
All,All,All,2023 Kang,0.978407436850095,0.980021059513092,0.00972380935151018,0.011745750904083363,False
0-2,Female,All,All,0.980323414988332,0.9812504053115845,0.008960822717302048,0.011037558317184448,False
0-2,Male,All,All,0.9793356948084645,0.9808204174041748,0.010081259251819422,0.011271148920059204,False
10-19,Female,All,All,0.9801606767363362,0.9821505546569824,0.00981434741231386,0.01225559413433086,False
10-19,Male,All,All,0.9797887688333338,0.9806561172008514,0.009376698862367326,0.011999994516372792,False
20-29,Female,All,All,0.9813113583372784,0.9826725721359252,0.009865591788146114,0.012799397110939026,False
20-29,Male,All,All,0.9823595487452172,0.9839048087596893,0.008988654135320425,0.011774882674217224,False
3-9,Female,All,All,0.9783773088610017,0.9800315797328948,0.010267100062749416,0.012490645051002502,False
3-9,Male,All,All,0.9802204379787692,0.9812868535518646,0.009272630603250127,0.01119355857372284,False
30-39,Female,All,All,0.981409924990171,0.9832139611244202,0.009921745514446318,0.010991409420967102,False
30-39,Male,All,All,0.9817059564126003,0.9828716218471527,0.009036908772490367,0.012132853269577026,False
40-49,Female,All,All,0.9811301489929101,0.982886552810669,0.010035199885386356,0.011790260672569275,False
