Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.003015211203072161,0.00150909757940095,0.004626970519264839,0.0021321680978872,True
0-2,All,All,All,0.004137703989148198,0.00199188617989415,0.006279182710024091,0.0033428445749450505,True
10-19,All,All,All,0.002986400290390401,0.0015362806734628,0.004621809966301894,0.0019690982153406753,True
20-29,All,All,All,0.003047608815333095,0.0015187962562777,0.004627648658816753,0.002211815648479375,True
3-9,All,All,All,0.003285271744867408,0.00157726329052815,0.004818298053432128,0.002454068147926525,True
30-39,All,All,All,0.0028816658454467988,0.0014670961536466499,0.004356180939398316,0.0019815340056084005,True
40-49,All,All,All,0.0025369605800307877,0.00144910532981155,0.0035899839166730536,0.0016668111493344999,True
50-59,All,All,All,0.0027973585269302293,0.0014115713420324002,0.0045625643757559375,0.0018570359243313,True
60-69,All,All,All,0.0026282803279668704,0.0013922931393607501,0.00391387661979587,0.001805819149012625,True
more than 70,All,All,All,0.0028356507075356615,0.00149544340092685,0.004190337287959567,0.0021512140956474,True
All,Female,All,All,0.0030772954374870052,0.0015005905879661,0.004719091598667484,0.0021906243928242496,True
All,Male,All,All,0.002953126968657316,0.00151724059833205,0.004532468045743225,0.0020531679037957998,True
All,All,Black,All,0.0029045905623316403,0.0014910460449754498,0.004295494814284031,0.0019175479828846,True
All,All,East Asian,All,0.002996437998389722,0.00155116547830395,0.004475762271607502,0.002089604968205025,True
All,All,Indian,All,0.003058763183521385,0.00146215496351935,0.004944903474651687,0.00206982034433165,True
All,All,Latino_Hispanic,All,0.003051205411677689,0.001506088708993,0.004608394296876276,0.0021697558404412502,True
All,All,Middle Eastern,All,0.0029284703338531785,0.00152750016422935,0.0045316260268202365,0.00206420905306,True
All,All,Southeast Asian,All,0.0034844233197358176,0.00164855201728635,0.005405298978030731,0.0025525509554426497,True
All,All,White,All,0.002682587611995696,0.0014366718241943998,0.003955582744272459,0.0019225645228288504,True
All,All,All,2001 Reinhard,0.0063628677057716585,0.00286667910404495,0.008135650987111049,0.006101163540734025,True
All,All,All,2016 Zhang,0.0032057095528428546,0.00186741916695605,0.0028699027674388092,0.0027037832769564755,True
All,All,All,2017 Zhang,0.0019358516574527168,0.00121585308806965,0.0027419449414091534,0.00076483323937285,True
All,All,All,2018 Antic,0.0005102747256575993,0.00024793720513114996,0.0005938489491313601,0.0006121676869951806,True
All,All,All,2023 Kang,0.0030613523736359753,0.0023536903318017,0.0024672693545215014,0.0023780682240612497,True
0-2,Female,All,All,0.003840456664735665,0.0018579073366708498,0.005798413643053183,0.0030000180413481,True
0-2,Male,All,All,0.004434951313560731,0.00221600069198755,0.0067163234329002215,0.0037390167999546997,True
10-19,Female,All,All,0.003209501912238259,0.0015613213763572,0.004899233121362742,0.00224852672545235,True
10-19,Male,All,All,0.0027632986685425438,0.0015137343434616498,0.0043183178705632,0.001755946141202,True
20-29,Female,All,All,0.0031368056667023985,0.0015418606344610002,0.004806327261541604,0.0024032039800658753,True
20-29,Male,All,All,0.002958411963963791,0.00149138574488455,0.004443129263414416,0.0019854267738992253,True
3-9,Female,All,All,0.003390030791541113,0.001569356478285,0.004932378876200791,0.002557282889029025,True
3-9,Male,All,All,0.003180512698193703,0.0015813813661224498,0.0047023231789273725,0.002285856913658825,True
