Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,1.8903695922995372,1.1778045296669006,1.1361305708711085,1.6104149520397188,False
0-2,All,All,All,2.5281351668494088,2.3838119506835938,1.3043796107545143,2.460092604160309,False
10-19,All,All,All,1.6407186878966047,1.0450249910354614,0.9856026357933061,1.0986852049827576,False
20-29,All,All,All,1.6670794009388268,1.0429996252059937,1.003155075318911,1.1902148723602295,False
3-9,All,All,All,1.9777080383393673,1.3601414561271667,1.1759127522654145,1.70761039853096,False
30-39,All,All,All,1.673344876704278,1.0560595989227295,0.970598382345009,1.2401523590087893,False
40-49,All,All,All,1.7405701453035527,1.0835514068603516,1.0242129860770677,1.3348540365695953,False
50-59,All,All,All,1.642519016389723,1.0556139945983887,0.953143809192824,1.1481714248657224,False
60-69,All,All,All,1.869991332060331,1.1202767491340637,1.1153298948348376,1.6214867234230044,False
more than 70,All,All,All,2.2732596662137414,2.1062729358673096,1.2701761584708462,2.2830701172351837,False
All,Female,All,All,1.9260129261154462,1.2479572296142578,1.1461399278353197,1.662377119064331,False
All,Male,All,All,1.854726258483628,1.127975344657898,1.1249860626748527,1.5587138235569,False
All,All,Black,All,1.9048708375054177,1.1865492463111877,1.145240099836236,1.6494035124778748,False
All,All,East Asian,All,1.837583515619991,1.1364700198173523,1.1235049778621933,1.4672488272190094,False
All,All,Indian,All,1.8887531477393527,1.1904497742652893,1.1186835671922584,1.6019831597805023,False
All,All,Latino_Hispanic,All,2.001809210548497,1.4124006032943726,1.1826698470008516,1.7476223707199097,False
All,All,Middle Eastern,All,1.9104909141256352,1.107987344264984,1.1849443443377257,1.7412638068199158,False
All,All,Southeast Asian,All,1.9000458222447019,1.278736650943756,1.0940463056175709,1.610706895589829,False
All,All,White,All,1.789033698313164,1.0953144431114197,1.0900613782335549,1.4442387223243713,False
All,All,All,2001 Reinhard,1.6908474362859822,1.1052278280258179,0.8930588705643987,1.334798514842987,False
All,All,All,2016 Zhang,1.687645187066575,1.0858567357063293,0.9340342939936439,1.2747796773910522,False
All,All,All,2017 Zhang,2.015554629363023,1.2669960856437683,1.2422635653990648,1.8843712508678436,False
All,All,All,2018 Antic,2.04383996120435,1.2950429320335388,1.259816334910412,1.913258522748947,False
All,All,All,2023 Kang,2.0139607475777552,1.2763084173202515,1.2328998840988568,1.8674147427082062,False
0-2,Female,All,All,2.578667349165136,2.3904547691345215,1.3341364790038892,2.5104114413261414,False
0-2,Male,All,All,2.4776029845336813,2.3716068267822266,1.2727886867297304,2.402311861515045,False
10-19,Female,All,All,1.6851203345633172,1.0520324110984802,1.0159626841126466,1.1878680288791656,False
10-19,Male,All,All,1.5963170412298922,1.0403727293014526,0.9528693568560008,0.902466475963593,False
20-29,Female,All,All,1.767696388046463,1.101097822189331,1.0607115553402406,1.3982625007629395,False
20-29,Male,All,All,1.5664624138311907,1.016333281993866,0.9319688457518113,0.938483327627182,False
3-9,Female,All,All,2.116862467202273,1.8068904876708984,1.215556071038677,1.9290287494659424,False
3-9,Male,All,All,1.838553609476461,1.1199833154678345,1.118474367158049,1.506484419107437,False
30-39,Female,All,All,1.7591717520317474,1.1491665244102478,1.0302459561643935,1.3601271808147428,False
30-39,Male,All,All,1.5875180013768084,1.0275721549987793,0.8995493835623288,1.087318867444992,False
40-49,Female,All,All,1.7291255506602201,1.0923858880996704,0.9896987554615823,1.2939026951789856,False
40-49,Male,All,All,1.7520147399468855,1.0739676356315613,1.0581222434795592,1.3927510380744932,False
50-59,Female,All,All,1.6479437331100564,1.0509579181671143,0.9386360525998114,1.176936447620392,False
50-59,Male,All,All,1.6370942996693896,1.0600826740264893,0.9680139738658303,1.0862532556056979,False
60-69,Female,All,All,1.8222788395819727,1.069342851638794,1.094038892476105,1.5520018935203552,False
60-69,Male,All,All,1.9177038245386893,1.1853737235069275,1.1349269580747956,1.6826472282409668,False
more than 70,Female,All,All,2.227249920677829,2.071366310119629,1.2291504294538125,2.2207277417182922,False
