Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.17402211678516896,0.16714497655630106,0.06760845160450947,0.08404659479856488,True
0-2,All,All,All,0.17223119369863726,0.165544681251049,0.07050371644866921,0.09187640622258188,True
10-19,All,All,All,0.1781128172112297,0.17323597520589826,0.06380334033198694,0.0811514034867287,True
20-29,All,All,All,0.1695945659457886,0.16351059824228287,0.06689343277970576,0.08424391597509376,True
3-9,All,All,All,0.18153510695159308,0.17491693049669266,0.0669284835601064,0.07949934527277944,True
30-39,All,All,All,0.16882501472730352,0.1588809937238693,0.06588204827788778,0.08689161390066144,True
40-49,All,All,All,0.1720372942491743,0.16242674738168716,0.06636314067159585,0.08585833385586739,True
50-59,All,All,All,0.18238135022694257,0.1721178069710731,0.07382612757957276,0.08302408084273344,True
60-69,All,All,All,0.17396255583150272,0.1677156165242195,0.06456394714091326,0.08115012571215624,True
more than 70,All,All,All,0.16751915222434888,0.16113355755805964,0.06755380962363913,0.08171419054269792,True
All,Female,All,All,0.17727155094952182,0.17029066383838648,0.06783099410453405,0.08449488133192065,True
All,Male,All,All,0.1707726826208161,0.16423086822032923,0.06723318139228687,0.08308137580752373,True
All,All,Black,All,0.17546834764225147,0.1676687747240066,0.06637618250084043,0.07843366265296942,True
All,All,East Asian,All,0.1758895325342445,0.17074997723102564,0.06427054992634763,0.08114811033010483,True
All,All,Indian,All,0.18060442561209772,0.17214750498533243,0.07123117503130987,0.08705848455429077,True
All,All,Latino_Hispanic,All,0.16809571042788896,0.16053197532892224,0.06657453424452048,0.08571602404117584,True
All,All,Middle Eastern,All,0.16555952896594658,0.15831796079874033,0.0682849042795619,0.08589668944478032,True
All,All,Southeast Asian,All,0.1798472278495819,0.1715793758630752,0.07135149116809827,0.0920489951968193,True
All,All,White,All,0.17269004446417158,0.16694712638854975,0.06342174272968003,0.0798903591930866,True
All,All,All,2001 Reinhard,0.1935726143622745,0.19397918134927744,0.06971710085468366,0.07660576328635216,True
All,All,All,2016 Zhang,0.1820164578315005,0.1754132360219955,0.060627884019659746,0.07362759113311768,True
All,All,All,2017 Zhang,0.15890880117346065,0.14694570749998093,0.06830671376532554,0.08154450729489329,True
All,All,All,2018 Antic,0.16387681600545,0.1525614783167839,0.0679118027922603,0.0822045281529427,True
All,All,All,2023 Kang,0.17173589455315905,0.16313167661428446,0.06530005445404541,0.08184703066945079,True
0-2,Female,All,All,0.16776169126013493,0.16243799775838852,0.06499253020413463,0.08831569366157052,True
0-2,Male,All,All,0.1767006961371396,0.16941662877798075,0.07539216252889142,0.0953702144324779,True
10-19,Female,All,All,0.18317228899444696,0.1758229061961174,0.06432866618732695,0.0780706629157066,True
10-19,Male,All,All,0.17305334542801243,0.17098581790924064,0.06290934597447298,0.08329565078020099,True
20-29,Female,All,All,0.17435250016690576,0.1676139831542968,0.06834470847867051,0.08224568143486974,True
20-29,Male,All,All,0.1648366317246714,0.15978936851024625,0.06510720133047865,0.08231390453875072,True
3-9,Female,All,All,0.1911309922457969,0.1842903047800064,0.06872568722944641,0.08051640167832369,True
3-9,Male,All,All,0.17193922165738926,0.1654725149273872,0.06369495445083098,0.0802211463451386,True
30-39,Female,All,All,0.17081882273974866,0.1588809937238693,0.06546661611158798,0.08788349851965904,True
30-39,Male,All,All,0.1668312067148584,0.1589194387197494,0.06627740291188494,0.08591677062213424,True
40-49,Female,All,All,0.17508463356402013,0.1617690101265907,0.07033671719028795,0.08906099200248715,True
40-49,Male,All,All,0.16898995493432845,0.16359804570674896,0.06203232539247219,0.08254609070718288,True
50-59,Female,All,All,0.18844682201988808,0.1801068484783172,0.07445023522424235,0.08770609274506569,True
50-59,Male,All,All,0.1763158784339971,0.16638534516096115,0.07274041954536051,0.07624081522226334,True
60-69,Female,All,All,0.18004989666764493,0.17526058107614517,0.06477655181868507,0.08204286545515058,True
60-69,Male,All,All,0.1678752149953605,0.16081438958644867,0.06381393065056659,0.07828034088015562,True
more than 70,Female,All,All,0.16462631088711,0.16011051833629605,0.06374330424747034,0.08102959394454956,True
more than 70,Male,All,All,0.17041199356158773,0.16243726760148997,0.07108446439899621,0.08196913823485383,True
0-2,All,Black,All,0.18332676202884282,0.1787193119525909,0.07059640113890663,0.08727579191327095,True
0-2,All,East Asian,All,0.1726957756267273,0.16961202770471565,0.061234385250590356,0.08976513892412188,True
0-2,All,Indian,All,0.15761842365497036,0.1451036185026168,0.06952103324023887,0.0906248167157173,True
0-2,All,Latino_Hispanic,All,0.18400103891835898,0.17084615677595136,0.08096852920216903,0.0877817086875439,True
0-2,All,Middle Eastern,All,0.15277140994208324,0.14583855122327805,0.06400756675848411,0.08142738603055483,True
0-2,All,Southeast Asian,All,0.1759667160004028,0.15861371904611585,0.07700622829923183,0.10803835280239589,True
0-2,All,White,All,0.1792382297190753,0.17471437901258463,0.062135207546941136,0.08381381258368492,True
10-19,All,Black,All,0.18502921767735228,0.17721140384674067,0.06835903458749139,0.07648370414972303,True
10-19,All,East Asian,All,0.17381360632478557,0.17207264155149454,0.05771166930870032,0.07830985635519025,True
10-19,All,Indian,All,0.1795327594130702,0.17300317436456675,0.06030989857193667,0.07677645608782768,True
10-19,All,Latino_Hispanic,All,0.16187536399811506,0.15628295391798014,0.057761293650438285,0.07065243646502495,True
