Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,85.17501861575629,85.11960237096781,19.27050870942544,22.972373342924357,True
0-2,All,All,All,88.07847487552247,87.44602467856632,19.520248866805748,23.23370472501476,True
10-19,All,All,All,87.10162040454536,86.80219557571534,18.34700528718983,23.776048007597893,True
20-29,All,All,All,86.23275603080394,85.68876608366112,20.396505634607376,23.027212261214018,True
3-9,All,All,All,88.07604194636114,88.59548706441132,18.814236431818806,22.96393330393778,True
30-39,All,All,All,84.97066695727395,84.49052072553906,19.30052653944921,23.84488951202063,True
40-49,All,All,All,84.39103608051643,84.26415741759656,17.36905277457659,20.944879243025852,True
50-59,All,All,All,85.92238333599404,85.9394870135709,18.58300760371308,23.035174749058555,True
60-69,All,All,All,81.94179130090966,82.45863720307304,18.205771258641185,20.55132083586517,True
more than 70,All,All,All,79.86039660987949,79.46130741347659,21.067845975014077,23.622700480810693,True
All,Female,All,All,86.0138300177036,86.23467152953404,19.130069420164023,23.090965120258005,True
All,Male,All,All,84.33620721380896,83.91942740037818,19.375026130246468,22.782849114289377,True
All,All,Black,All,86.00849055493038,85.58399483615798,18.59535501080409,22.30536384184515,True
All,All,East Asian,All,86.0475233280167,86.21611434115594,18.509940807002472,23.288775059747394,True
All,All,Indian,All,84.75063659503023,84.34350504881635,19.766925140628366,23.93594794818928,True
All,All,Latino_Hispanic,All,84.65506294442686,84.12531993626895,18.82308531180318,21.49204699212042,True
All,All,Middle Eastern,All,82.58788611694004,82.80198615984852,20.15409250693976,21.231033274527135,True
All,All,Southeast Asian,All,88.50277393383598,89.34437135661601,20.37270568190152,24.724010727936886,True
All,All,White,All,83.67275683711377,84.11151134552486,17.999232103309495,22.46458946739739,True
All,All,All,2001 Reinhard,87.44996798006848,88.55144346636726,27.654887614179877,28.602347195251937,True
All,All,All,2016 Zhang,87.41453216846922,86.44295735145184,15.65650643853132,20.008042096013426,True
All,All,All,2017 Zhang,80.05683500260247,79.6767611176345,17.62162017926872,23.215156578288656,True
All,All,All,2018 Antic,81.7453477919239,81.66075941637695,16.317801682170014,21.231566813355244,True
