Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.9992034124178092,0.9994822542587875,0.0014374621792081742,0.0005715796708539722,False
0-2,All,All,All,0.9991408633142753,0.9994631449596639,0.0013567489451387247,0.0006215804250195855,False
10-19,All,All,All,0.9991712441205677,0.9994835564668354,0.0017292936261954625,0.0005724061760481458,False
20-29,All,All,All,0.9991083798104824,0.9994513316388953,0.001775425560189156,0.0006094103304750131,False
3-9,All,All,All,0.9991323513084323,0.9994926386679794,0.0016790598736686094,0.0006032205398044388,False
30-39,All,All,All,0.9991688261289571,0.9994620561597596,0.0013086658627968909,0.0006014726832709316,False
40-49,All,All,All,0.9992593232239267,0.9994726269957178,0.0013841845621720805,0.000521988845544441,False
50-59,All,All,All,0.9992500276195784,0.9994899279647069,0.0012079221552295807,0.0005215530820414926,False
60-69,All,All,All,0.9992776253988215,0.9994824869462633,0.001177085802860228,0.00053971974949929,False
more than 70,All,All,All,0.9993220708352423,0.9995309536196622,0.0011342382366307617,0.0005415953234118032,False
All,Female,All,All,0.9992009924772223,0.9994832769264413,0.0013718996203425685,0.000578351884682915,False
All,Male,All,All,0.9992058323583961,0.9994812157106965,0.0015002576315946902,0.0005611088980764789,False
All,All,Black,All,0.9992605883534713,0.9994721678723354,0.0010925551677658347,0.0005336942138478573,False
All,All,East Asian,All,0.9992167887414746,0.9994840252419414,0.0013407984763960132,0.0005790651238841704,False
All,All,Indian,All,0.9992030232108311,0.9994841715437073,0.001404198947068642,0.0005985879243169956,False
All,All,Latino_Hispanic,All,0.9991807314869908,0.999495967041576,0.0017227205990641026,0.0005408345019464189,False
All,All,Middle Eastern,All,0.9992242053916909,0.999483119783387,0.0014465203701874132,0.0005405094839842084,False
All,All,Southeast Asian,All,0.9991126258730076,0.9994536217501482,0.0014747623745608573,0.0006594475553385326,False
All,All,White,All,0.9992259238671988,0.9994985559650328,0.0015029614798144411,0.0005625220194503955,False
All,All,All,2001 Reinhard,0.9983995974028869,0.9992406182933302,0.0026966691854047563,0.0010326975877377187,False
All,All,All,2016 Zhang,0.9993315890109923,0.999434243490579,0.00036947137690086974,0.00032102048787607806,False
All,All,All,2017 Zhang,0.9994001936857443,0.9995980317147906,0.0010653623125881611,0.00028343102267736064,False
All,All,All,2018 Antic,0.999922679159482,0.9999368196587339,4.690137719422299e-05,3.769262778707816e-05,False
All,All,All,2023 Kang,0.9989630028299409,0.9991647704871107,0.0007154489547750129,0.0005496850343207349,False
0-2,Female,All,All,0.9991859878846266,0.9994872250939458,0.0014462118433566063,0.0005401857341925664,False
0-2,Male,All,All,0.9990957387439243,0.9994427033551341,0.0012602867416000542,0.0006889520638257984,False
10-19,Female,All,All,0.9991944094820976,0.9994765529302816,0.0012483332293247327,0.0005988597247776895,False
10-19,Male,All,All,0.9991480787590378,0.9994980672386917,0.0021036613644203304,0.0005454810231029228,False
20-29,Female,All,All,0.9991330668539542,0.9994550767863439,0.0016214363987316412,0.000599293520959665,False
20-29,Male,All,All,0.9990836927670109,0.9994448027130527,0.0019178358546901783,0.0006110731435019501,False
3-9,Female,All,All,0.9991243906776351,0.9995029713847849,0.0018113453260963628,0.0006301894854429113,False
3-9,Male,All,All,0.9991403119392293,0.9994789579727235,0.0015365713243346009,0.0005772607455575285,False
30-39,Female,All,All,0.9991923069598669,0.9994780980735216,0.0013008702848345615,0.000596855645487393,False
30-39,Male,All,All,0.9991453452980471,0.999438779135627,0.0013168417165759416,0.0006038611858607545,False
40-49,Female,All,All,0.9992186609204096,0.9994644314105482,0.0013313143009889637,0.0005589794097984324,False
40-49,Male,All,All,0.9992999855274437,0.9994813325574309,0.0014348227746565536,0.0005053321553533108,False
50-59,Female,All,All,0.9992619482781047,0.9994816258099744,0.0010532947780929115,0.0005479093517084532,False
50-59,Male,All,All,0.9992381069610521,0.9994968497200614,0.0013454868155351135,0.0005152531766513535,False
60-69,Female,All,All,0.9991945697797234,0.9994673931407829,0.0013276529626251516,0.0005646944316013425,False
60-69,Male,All,All,0.9993606810179194,0.999499134901983,0.0009981918170885724,0.0005127018453503496,False
more than 70,Female,All,All,0.9993035914585835,0.999534006899669,0.0010180651547412873,0.0005548806241054693,False
more than 70,Male,All,All,0.9993405502119013,0.9995286805247863,0.0012399698302337679,0.0005417370045460723,False
0-2,All,Black,All,0.9993010540397803,0.9994565728613868,0.000752630788464899,0.00046837695908741317,False
0-2,All,East Asian,All,0.9992663159690556,0.9994899002105727,0.000992762887585695,0.0005514015837454478,False
0-2,All,Indian,All,0.9991346501595697,0.9994874660180978,0.0013773477162217944,0.0006879496389586848,False
0-2,All,Latino_Hispanic,All,0.9992294876752622,0.9995156024474934,0.0014129541618692816,0.0005492404683389296,False
0-2,All,Middle Eastern,All,0.9989665378121991,0.9994470939270509,0.0015510731064625957,0.0006434797305471252,False
0-2,All,Southeast Asian,All,0.999015645294734,0.9993993176874316,0.0012660152733992992,0.0008354067050202474,False
0-2,All,White,All,0.999072352249327,0.9994408509601591,0.0018387806013506782,0.0006065308968909999,False
10-19,All,Black,All,0.9991957414977807,0.9994032681355574,0.0012165438622972048,0.0005226212751942017,False
10-19,All,East Asian,All,0.999250905301869,0.9995095345243049,0.0010447883184483986,0.0005840237846282959,False
10-19,All,Indian,All,0.9991765006930368,0.9994847967350413,0.0015712502061185753,0.0006529608920033958,False
10-19,All,Latino_Hispanic,All,0.9989439155077665,0.9995181326238173,0.003107010561039805,0.0005590582011075762,False
10-19,All,Middle Eastern,All,0.999369105177139,0.9995288366365965,0.0008215098679369465,0.0005199571465565045,False
10-19,All,Southeast Asian,All,0.998974110729074,0.9994297255404325,0.002078429591624384,0.0006426404409097808,False
10-19,All,White,All,0.9992884299373086,0.9995103804735012,0.0010841550574642647,0.0005032336668437942,False
20-29,All,Black,All,0.9992168039531605,0.9994159078935945,0.0012666547382237292,0.0005405561451412577,False
20-29,All,East Asian,All,0.9993010901420384,0.9994675348412791,0.0007975099466371139,0.0005502863056728868,False
20-29,All,Indian,All,0.9991638459984492,0.9994604753836727,0.0015557694665594157,0.0005718308508099179,False
20-29,All,Latino_Hispanic,All,0.9990616693014258,0.9994755533219598,0.0021788880800233637,0.0006018703260806113,False
20-29,All,Middle Eastern,All,0.9991159257093454,0.9994233355831856,0.0017844287113456588,0.0005587599153831224,False
20-29,All,Southeast Asian,All,0.9988321055110674,0.9994284226734804,0.001981158917508137,0.0009273163113456828,False
20-29,All,White,All,0.9990672180578908,0.999496867683964,0.0023453981877746216,0.0005947983146098457,False
3-9,All,Black,All,0.9992971806755769,0.9995119164242886,0.0011460290792271203,0.0004987898496272569,False
3-9,All,East Asian,All,0.9991926624621824,0.9994874242767695,0.0011310994204024496,0.0005579585842021562,False
3-9,All,Indian,All,0.9990535734462159,0.9995067813941441,0.001739140626419866,0.0006588085601811899,False
3-9,All,Latino_Hispanic,All,0.9990584281539254,0.9994959495421794,0.0017822976907644853,0.0007028036596510301,False
3-9,All,Middle Eastern,All,0.999037657838492,0.9994957697568116,0.0026207691404891258,0.0005631419402779558,False
3-9,All,Southeast Asian,All,0.9991296134242437,0.9994483790879388,0.0013279864825872538,0.0006798342389134904,False
3-9,All,White,All,0.9991573431583891,0.9994864558417234,0.0015276379616584786,0.0005599115650916087,False
30-39,All,Black,All,0.9989786819362628,0.9994524135579417,0.0017685406387092989,0.0006495119710736574,False
30-39,All,East Asian,All,0.9992570790985411,0.9994411635413365,0.0009311739051283061,0.0006392591432285988,False
30-39,All,Indian,All,0.9991915366660262,0.9994411221658335,0.00117299261607038,0.00063414409156759,False
30-39,All,Latino_Hispanic,All,0.999110862147385,0.9994638035049939,0.001494842224386627,0.0005784799590223821,False
30-39,All,Middle Eastern,All,0.9991962802133953,0.9994832326293384,0.001276048105420608,0.0005280531566638214,False
30-39,All,Southeast Asian,All,0.9991927970499187,0.999420950463253,0.001104025245553114,0.0006080185609260713,False
30-39,All,White,All,0.9992545457911697,0.9995260754348309,0.0012352957765789415,0.0005966476795868925,False
40-49,All,Black,All,0.9993572877645833,0.9994852657190112,0.0006917069636841807,0.0005208944943165816,False
40-49,All,East Asian,All,0.9992794552585216,0.9994610263662906,0.001333737201553284,0.0005317019799058187,False
40-49,All,Indian,All,0.99911648488574,0.9994673297222685,0.001983879631710723,0.0005292213032852544,False
40-49,All,Latino_Hispanic,All,0.9993484469458126,0.9994820955013068,0.0009534471212551063,0.00044611615393230775,False
40-49,All,Middle Eastern,All,0.9992827823166945,0.9994672551702852,0.0009797851863628144,0.00048671534355526624,False
40-49,All,Southeast Asian,All,0.9992553896047279,0.9994742138681547,0.0009600927886749052,0.0006343097760456162,False
40-49,All,White,All,0.9991754157914066,0.9994913093352853,0.0021057506633487505,0.0005606534015725195,False
50-59,All,Black,All,0.9992654399862757,0.9994915679994782,0.0010054162687087446,0.0005079077421468181,False
50-59,All,East Asian,All,0.9990789566954758,0.9994923724728771,0.0015037810878088757,0.0006118467351099444,False
50-59,All,Indian,All,0.9992411495865012,0.9994754870026439,0.0011462875005679365,0.0005218670936621983,False
50-59,All,Latino_Hispanic,All,0.9994044033925322,0.9995077510852484,0.0005748048279566551,0.0004759745568948537,False
50-59,All,Middle Eastern,All,0.9992608284036641,0.999482956895202,0.0014437955223290712,0.000489151192460624,False
50-59,All,Southeast Asian,All,0.9991424381341556,0.9994778225506107,0.0016481345848727335,0.000541235797043238,False
50-59,All,White,All,0.9993569771384443,0.9994980332163386,0.0006775873869034848,0.0004797390812706359,False
60-69,All,Black,All,0.9993058867513652,0.9994731226464386,0.00082733376228024,0.0005356407826717646,False
60-69,All,East Asian,All,0.9990365050141375,0.9994653780852423,0.0020291969812922055,0.0005852606424637807,False
60-69,All,Indian,All,0.999434031976779,0.9995029291386128,0.0004533464660495089,0.0004893439690486501,False
60-69,All,Latino_Hispanic,All,0.9991950384257219,0.9994891188693262,0.001565150367100112,0.0005060463457098319,False
60-69,All,Middle Eastern,All,0.9994057632620129,0.9994992423956741,0.0007285140438546358,0.0004959085541118569,False
60-69,All,Southeast Asian,All,0.9992499238914775,0.9994781005783668,0.000954670257657167,0.000648584959044296,False
60-69,All,White,All,0.9993162284702555,0.9994795151587272,0.0008531195189210961,0.0005387098765490261,False
more than 70,All,Black,All,0.9994272185764564,0.9995517521357924,0.0006265653425401896,0.0004503749888037367,False
more than 70,All,East Asian,All,0.9992881287314505,0.9995466158351862,0.0017759641372895299,0.0005212175767175253,False
more than 70,All,Indian,All,0.9993154354851604,0.9995314401717394,0.0010349245604816093,0.0005517082172574739,False
more than 70,All,Latino_Hispanic,All,0.9992743318330853,0.9995351977798113,0.0010677483556932002,0.0006208750677532127,False
more than 70,All,Middle Eastern,All,0.9993829677922759,0.9994911838707712,0.0006105822021807635,0.0005729721881527761,False
more than 70,All,Southeast Asian,All,0.9992216092176702,0.9995245688187092,0.0014516936066660386,0.0006349164910390837,False
more than 70,All,White,All,0.9993448042105968,0.999528315061907,0.0008796177327521187,0.0005057411237183729,False
0-2,All,All,2001 Reinhard,0.9983321233515356,0.9991886302830846,0.0024271809022610833,0.001363971335450187,False
0-2,All,All,2016 Zhang,0.9992568074616982,0.9994058269879857,0.00044418708530707593,0.0003813223558137846,False
0-2,All,All,2017 Zhang,0.9993484027342293,0.9995903609242338,0.0010847291870971667,0.00026739288678512274,False
0-2,All,All,2018 Antic,0.9999064480952918,0.9999214028161562,5.233978380275946e-05,5.089284836157226e-05,False
0-2,All,All,2023 Kang,0.9988605349286221,0.999105234046166,0.0007616931793800777,0.0006822413494470547,False
10-19,All,All,2001 Reinhard,0.9981799074495111,0.9991951672465654,0.003351537568913964,0.0010711170192273523,False
10-19,All,All,2016 Zhang,0.9993462812617601,0.9994335759837242,0.00034585616025186426,0.00030569763252463744,False
10-19,All,All,2017 Zhang,0.9994066097923933,0.9996111720213268,0.0012042826621113268,0.0002686164230220056,False
10-19,All,All,2018 Antic,0.9999259811759894,0.9999386771765659,5.183682706876092e-05,3.3738883521095e-05,False
10-19,All,All,2023 Kang,0.9989974409231848,0.9991751593287121,0.0007153930896550634,0.0005049907653862373,False
20-29,All,All,2001 Reinhard,0.9980037635907489,0.999161528527564,0.0034204830142639748,0.0013819925052689364,False
20-29,All,All,2016 Zhang,0.9992871136858589,0.999405865727806,0.0004491891978435683,0.00036755614148831217,False
20-29,All,All,2017 Zhang,0.9994119001506727,0.9995740602662864,0.0010756761142433847,0.00032022191517688814,False
20-29,All,All,2018 Antic,0.9999257837073086,0.9999402241576072,4.843826168625166e-05,3.588382067531981e-05,False
20-29,All,All,2023 Kang,0.9989133379178237,0.999118812000132,0.0008268812552640082,0.000587716246968073,False
3-9,All,All,2001 Reinhard,0.998251507905045,0.9991693985528578,0.0029566360795989836,0.0011034284597724042,False
3-9,All,All,2016 Zhang,0.9993368851337292,0.9994397874488636,0.0003612626066082989,0.0003509955586956659,False
3-9,All,All,2017 Zhang,0.9992388401873447,0.9996196227952603,0.0017873191399912936,0.000279590580571476,False
3-9,All,All,2018 Antic,0.9999227532263352,0.9999388950986099,4.452972931235965e-05,4.028472372286096e-05,False
3-9,All,All,2023 Kang,0.9989117700897071,0.9991642710511275,0.0007462563903029388,0.0006508751558201853,False
30-39,All,All,2001 Reinhard,0.9983756412156942,0.9991625817560218,0.0022523025531446194,0.0011346057956311828,False
30-39,All,All,2016 Zhang,0.9993130701722058,0.9994234890226668,0.0004025876236375114,0.00034715533206575167,False
30-39,All,All,2017 Zhang,0.9992578756467689,0.9995565845970439,0.0013080488065245115,0.00031963557670688925,False
30-39,All,All,2018 Antic,0.9999267676488204,0.9999380041985091,4.0168615488506406e-05,2.980132983010364e-05,False
30-39,All,All,2023 Kang,0.9989707759612956,0.9991412323097382,0.0006017286575265436,0.000497157639694823,False
40-49,All,All,2001 Reinhard,0.998461275565066,0.9992239882991558,0.002794650621534934,0.0008687937431903769,False
40-49,All,All,2016 Zhang,0.9993336068280886,0.9994283983584694,0.0003325691599739492,0.0003027141124605226,False
40-49,All,All,2017 Zhang,0.9994939568347865,0.9995760940473972,0.0004744925157350052,0.00028627991539698083,False
40-49,All,All,2018 Antic,0.9999250593188715,0.999938938040374,4.256034045288334e-05,3.682636545354612e-05,False
40-49,All,All,2023 Kang,0.9990827175728213,0.9992306658756426,0.0005305724605756345,0.00044086232595108577,False
50-59,All,All,2001 Reinhard,0.9985128497988156,0.9992911796613291,0.0022864252941451435,0.000992532236053223,False
50-59,All,All,2016 Zhang,0.9993976946809782,0.999455074808979,0.0002597653206305718,0.00025650140985689074,False
50-59,All,All,2017 Zhang,0.9994583917791668,0.999593946209745,0.0006241824779937411,0.00026275104021367124,False
50-59,All,All,2018 Antic,0.9999256126769197,0.9999399822741868,5.0059539053624766e-05,3.3106269061167204e-05,False
50-59,All,All,2023 Kang,0.9989555891620119,0.9991746858138624,0.0006866941760771511,0.0005824199908827099,False
60-69,All,All,2001 Reinhard,0.998615384768204,0.9993014110596097,0.00221113376861619,0.000905282366847171,False
