Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,49.342265277094654,50.56754684448242,15.361078367675596,23.88715744018554,False
0-2,All,All,All,56.74803649976656,59.90185546875,14.15243732500995,19.310551643371582,False
10-19,All,All,All,45.639400712545815,45.855934143066406,14.269284038231424,21.110763549804688,False
20-29,All,All,All,44.42713459064434,44.12768745422363,15.880024941695783,24.938408851623535,False
3-9,All,All,All,50.756033994005875,52.63577842712402,14.541087951773651,21.727020263671875,False
30-39,All,All,All,45.807805078060596,45.808231353759766,14.698554854687119,23.065523147583008,False
40-49,All,All,All,47.642556678474726,48.9257869720459,14.725761927563276,22.014488220214844,False
50-59,All,All,All,46.977993252989535,48.15152931213379,14.948737176630285,22.806208610534668,False
60-69,All,All,All,50.62745679880118,52.39618492126465,15.019371621998221,22.699016571044922,False
more than 70,All,All,All,55.45396988856328,58.39010429382324,14.853842563149653,22.711366653442383,False
All,Female,All,All,49.51632313446221,50.887630462646484,15.309116621387899,23.902442932128906,False
All,Male,All,All,49.168207419727096,50.28232002258301,15.412003726257268,23.825989723205566,False
All,All,Black,All,49.954709236067956,50.74606895446777,14.84637386403936,24.051382064819336,False
All,All,East Asian,All,47.80185275270481,48.27308464050293,15.178123328011841,22.105483055114746,False
All,All,Indian,All,49.70654910309146,51.131290435791016,15.482366766469722,25.754053115844727,False
All,All,Latino_Hispanic,All,51.085560366601655,53.14139938354492,15.300843090068426,22.689877510070794,False
All,All,Middle Eastern,All,48.68151733417704,50.474199295043945,16.09179879518559,25.923720359802246,False
All,All,Southeast Asian,All,49.94841278249567,51.0554141998291,14.592314447359696,22.96021270751953,False
All,All,White,All,48.21725536452399,49.49225997924805,15.747054338261192,23.663809776306152,False
All,All,All,2001 Reinhard,47.39085670398255,48.124589920043945,15.051078899730536,24.61444854736328,False
All,All,All,2016 Zhang,47.869722518742,48.82516860961914,14.886688213836319,22.258222579956055,False
All,All,All,2017 Zhang,51.2881266575355,53.08919143676758,15.435710605490526,23.439415931701653,False
All,All,All,2018 Antic,50.37655190919213,51.8419132232666,15.625832403638572,24.203597068786628,False
All,All,All,2023 Kang,49.786068596021096,51.08984375,15.44488762184826,23.562461853027344,False
0-2,Female,All,All,57.19280690032166,60.18215751647949,13.510086447934937,19.538138389587402,False
0-2,Male,All,All,56.303266099211456,59.74958419799805,14.76227725669089,18.9556303024292,False
10-19,Female,All,All,45.01422711657239,45.47130012512207,14.7588158081741,22.22988224029541,False
10-19,Male,All,All,46.26457430851924,46.07941818237305,13.743520835767272,19.32309341430664,False
20-29,Female,All,All,45.657656678286465,46.214155197143555,16.09367809322015,24.746103286743164,False
20-29,Male,All,All,43.196612503002214,42.605573654174805,15.576890850854927,25.440062046051025,False
3-9,Female,All,All,51.18576506082114,53.62996292114258,15.483248345164101,22.91137981414795,False
3-9,Male,All,All,50.32630292719061,51.496591567993164,13.529990360675543,20.610691070556626,False
30-39,Female,All,All,47.439600659655284,48.705135345458984,14.38974948485115,23.19468116760254,False
30-39,Male,All,All,44.17600949646591,42.64355659484863,14.83167713251829,22.848642349243164,False
40-49,Female,All,All,47.31665466481989,49.18718338012695,14.347584918815263,22.098249435424798,False
40-49,Male,All,All,47.96845869212956,48.687421798706055,15.096761980381984,22.905406951904297,False
