Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,3.972704289503084,3.888273239135742,0.5491430888029437,0.7472220063209534,False
0-2,All,All,All,4.190312096050808,4.182454347610474,0.5329975684862778,0.7815984487533569,False
10-19,All,All,All,3.8892800033866584,3.811553955078125,0.4910072010302476,0.6323343515396118,False
20-29,All,All,All,3.871860652000873,3.7787787914276123,0.520743609342046,0.7036397457122803,False
3-9,All,All,All,4.00190986178138,3.9297558069229126,0.5406594629808887,0.7015967965126038,False
30-39,All,All,All,3.8153469297793006,3.74223256111145,0.47305300910169584,0.6261611580848694,False
40-49,All,All,All,3.8706012193258705,3.7974209785461426,0.4903852875467226,0.6915413737297058,False
50-59,All,All,All,3.8595076934083714,3.787492871284485,0.4762275002660388,0.6596778631210327,False
60-69,All,All,All,3.986550518909058,3.8827730417251587,0.5682913869099897,0.72686767578125,False
more than 70,All,All,All,4.268969630885434,4.198461055755615,0.6414782926556692,0.9600210785865788,False
All,Female,All,All,3.941600977806818,3.860946297645569,0.5435808431924501,0.7525494694709778,False
All,Male,All,All,4.00380760119935,3.917434573173523,0.5529417155564857,0.7422369122505188,False
All,All,Black,All,4.051165065259644,3.9609959125518794,0.5610651407936411,0.7426919341087341,False
All,All,East Asian,All,3.9510618390459005,3.874091386795044,0.5257037303123682,0.7293680310249329,False
All,All,Indian,All,3.9806982544937517,3.879205107688904,0.5700986139038784,0.7895829677581787,False
All,All,Latino_Hispanic,All,3.977993715170658,3.8942251205444336,0.5470536529108139,0.7510691285133362,False
All,All,Middle Eastern,All,3.9295149641807634,3.8325864076614375,0.5580162775700171,0.7394846081733704,False
All,All,Southeast Asian,All,4.011527707239594,3.945986032485962,0.5611449607823722,0.7670877575874329,False
All,All,White,All,3.9069684811312744,3.847907304763794,0.5056671909119607,0.7001610398292546,False
All,All,All,2001 Reinhard,4.232333014537762,4.173029899597168,0.533427631993488,0.7220709323883061,False
All,All,All,2016 Zhang,3.8128763049367875,3.716240167617798,0.5162719340182211,0.6764811277389526,False
All,All,All,2017 Zhang,4.003744814819072,3.9140459299087524,0.5460050270193488,0.72674560546875,False
All,All,All,2018 Antic,3.9816314243479036,3.8843199014663696,0.5191238042270123,0.6824350953102116,False
All,All,All,2023 Kang,3.8329358888738945,3.7423449754714966,0.5253206253954907,0.6990540623664856,False
0-2,Female,All,All,4.189886097784166,4.191903114318848,0.5278122412758575,0.7781650424003606,False
0-2,Male,All,All,4.190738094317449,4.161500692367554,0.5384757317839554,0.7862935066223145,False
10-19,Female,All,All,3.8998599383738135,3.8196194171905518,0.5075958862144931,0.6579284071922302,False
10-19,Male,All,All,3.8787000683995037,3.8048719167709346,0.47393238610970856,0.6081174612045288,False
20-29,Female,All,All,3.8661939797463356,3.771448254585266,0.5565219120240508,0.779399573802948,False
20-29,Male,All,All,3.8775273242554107,3.7914388179779053,0.48261734405582785,0.6477380990982056,False
3-9,Female,All,All,4.00589231949348,3.944553256034851,0.5530658365511951,0.7245457768440247,False
3-9,Male,All,All,3.9979274040692814,3.920183539390564,0.5282914437712112,0.6707643866539001,False
30-39,Female,All,All,3.7768976059826938,3.7000516653060913,0.4643482254171624,0.600385844707489,False
30-39,Male,All,All,3.853796253575907,3.7907005548477173,0.47882092552538036,0.6650946736335754,False
40-49,Female,All,All,3.816080655060805,3.7520893812179565,0.452415559639427,0.637575626373291,False
40-49,Male,All,All,3.925121783590936,3.838952660560608,0.5202265103689622,0.7161566019058228,False
50-59,Female,All,All,3.80361794806146,3.7424685955047607,0.4389563758379012,0.6099433302879333,False
50-59,Male,All,All,3.9153974387552832,3.8637075424194336,0.5049178465803046,0.6908807158470154,False
60-69,Female,All,All,3.885176483996503,3.782914876937866,0.5573123011656145,0.7504173517227173,False
60-69,Male,All,All,4.087924553821614,3.9706637859344482,0.5613849393495399,0.6793912053108215,False
more than 70,Female,All,All,4.230803771762105,4.157785415649414,0.603935937815089,0.8897567987442017,False
more than 70,Male,All,All,4.307135490008763,4.247320890426636,0.6751801479428561,1.0444660186767578,False
0-2,All,Black,All,4.073494686863639,4.03408145904541,0.4678686521989768,0.676569283008575,False
0-2,All,East Asian,All,4.13316635760394,4.234955549240112,0.551113727197902,0.9324401021003719,False
0-2,All,Indian,All,4.193228749795393,4.1593804359436035,0.5220031200515136,0.8396515846252441,False
0-2,All,Latino_Hispanic,All,4.1475992744619194,4.0840044021606445,0.5754394653733957,0.7925277948379512,False
0-2,All,Middle Eastern,All,4.460116417841478,4.388078212738037,0.5179832673001311,0.8024717569351196,False
0-2,All,Southeast Asian,All,4.238371124050834,4.250164031982422,0.4604924318924821,0.603061854839325,False
0-2,All,White,All,4.086208061738447,4.027427434921265,0.5334962992149609,0.851733386516571,False
10-19,All,Black,All,3.9517026760361413,3.8186243772506714,0.5618814570228603,0.6462786197662354,False
10-19,All,East Asian,All,3.9920166730880737,3.946710705757141,0.48174246389970493,0.6642895936965938,False
10-19,All,Indian,All,3.905699023333463,3.7939627170562744,0.5335421920390224,0.7071906924247742,False
10-19,All,Latino_Hispanic,All,3.816204075379805,3.768244743347168,0.38194390170031045,0.5768235921859741,False
10-19,All,Middle Eastern,All,3.838544256036932,3.75210964679718,0.5018217030487366,0.5781702995300293,False
