Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,5.829430994574136,5.7629414060509685,1.5763008248247328,2.290871369588902,True
0-2,All,All,All,5.473862032041343,5.256830873703713,1.3655198416224397,1.7980260987985606,True
10-19,All,All,All,6.199440299600861,6.132612623527547,1.5517528703476002,2.049310051901082,True
20-29,All,All,All,6.277742391751971,6.331611682664563,1.6563584496880057,2.3775711314034416,True
3-9,All,All,All,5.78141480998749,5.674495116559685,1.5266679386506141,2.131779469921172,True
30-39,All,All,All,6.091365212396509,6.017254929122812,1.5307479762391583,2.287057150453931,True
40-49,All,All,All,5.939033926051822,5.93995036481581,1.5150936974982174,2.210084266004653,True
50-59,All,All,All,6.049584880688784,5.971414973220215,1.5089848354331175,2.1241220182209,True
60-69,All,All,All,5.575590398421202,5.59847337015951,1.539270850267788,2.3869768321601326,True
more than 70,All,All,All,5.0768450002272445,4.762637178673427,1.5862515802301538,2.3134245126896475,True
All,Female,All,All,5.783481627854895,5.738585819541197,1.5534353821316467,2.2738331633269864,True
All,Male,All,All,5.875380361293378,5.782388075355614,1.5976302432104925,2.314210657996937,True
All,All,Black,All,5.739030248393284,5.676156030013823,1.5740226479157882,2.235552479336998,True
All,All,East Asian,All,6.024279607162381,6.028713963331364,1.5660666101590948,2.372787957595155,True
All,All,Indian,All,5.76635073096222,5.665981691971081,1.5606091907997894,2.285927001197847,True
All,All,Latino_Hispanic,All,5.698096701298938,5.6194223685775935,1.5510935971388224,2.2295855484842573,True
All,All,Middle Eastern,All,5.947014473448323,5.861682469602338,1.6282163218849355,2.3898684745604513,True
All,All,Southeast Asian,All,5.837102371750806,5.7126881114739145,1.598019674884651,2.295824786610164,True
All,All,White,All,5.794142829003007,5.749498402157549,1.5302960358953037,2.226775783615624,True
All,All,All,2001 Reinhard,5.742654665121256,5.70334844895516,1.4878397880077625,2.168875388757379,True
All,All,All,2016 Zhang,5.86457881651979,5.78469353203502,1.6080711095893139,2.3483198531191194,True
All,All,All,2017 Zhang,5.884756492975777,5.795070991383929,1.6131556812180143,2.3492221081127287,True
All,All,All,2018 Antic,5.914742598174999,5.82874309702304,1.6337695577181215,2.38287014049284,True
All,All,All,2023 Kang,5.740422400078859,5.697267899385219,1.5261511373019765,2.2599614344273755,True
0-2,Female,All,All,5.385532340283551,5.191881469082897,1.309523914462039,1.787661291829438,True
0-2,Male,All,All,5.562191723799133,5.387381655929835,1.41465055679869,1.8266519510627788,True
10-19,Female,All,All,6.215878148112863,5.997898535437729,1.6350523989826327,2.321441545372518,True
10-19,Male,All,All,6.183002451088859,6.238347957471949,1.4646049784220143,1.8808252186561347,True
20-29,Female,All,All,6.144934069586056,6.192964450176138,1.624631375084398,2.3896562277211517,True
20-29,Male,All,All,6.410550713917885,6.446405890735466,1.678053991930618,2.3743876820351266,True
3-9,Female,All,All,5.607231302550954,5.385099008023096,1.5358472627974236,2.2072892949685317,True
3-9,Male,All,All,5.955598317424025,5.888737716565499,1.498290798872836,2.1364348060540443,True
30-39,Female,All,All,5.921339644351783,5.900205880991663,1.4473634931071098,2.2014801809380264,True
30-39,Male,All,All,6.261390780441233,6.175712645731212,1.5926933602859517,2.3081223113100737,True
40-49,Female,All,All,6.022909223244848,6.012991131915777,1.4951591284872534,2.286903679878189,True
40-49,Male,All,All,5.855158628858797,5.758641917548781,1.5311478159812615,2.142127886170864,True
50-59,Female,All,All,6.168531892114564,6.127917970566804,1.467072300054561,1.982755316116811,True
50-59,Male,All,All,5.9306378692630055,5.769791559606617,1.541556611918434,2.3004949601537827,True
60-69,Female,All,All,5.576642160034191,5.637919333325299,1.5036213656761805,2.4159722982843705,True
60-69,Male,All,All,5.5745386368082155,5.55045502114108,1.5750908417833065,2.322293477004651,True
more than 70,Female,All,All,5.008335870415238,4.848420663145614,1.4954785027978168,2.3176491409952957,True
more than 70,Male,All,All,5.145354130039251,4.7181676615840775,1.6702709434831606,2.414317144831691,True
0-2,All,Black,All,5.706169991815186,5.2595710488925835,1.5369348107457321,1.8233223293041796,True
0-2,All,East Asian,All,5.546232025522562,5.660366836205494,1.3090654771299197,2.020281792169625,True
0-2,All,Indian,All,5.144206950203509,4.997465227162486,1.4312970018459257,1.7531283345467772,True
0-2,All,Latino_Hispanic,All,5.472313990110641,5.19324779259836,1.305793476703434,2.0942965580628385,True
0-2,All,Middle Eastern,All,5.35104871272727,4.928590724160433,1.522326348725436,1.3491623189989035,True
0-2,All,Southeast Asian,All,5.453666170876546,5.191148524568202,1.072494301783917,1.4081721321109733,True
0-2,All,White,All,5.6433963830336875,5.60638903490571,1.2622464992593463,1.6723954825763796,True
10-19,All,Black,All,6.405536903392749,6.463161783243399,1.7421412639321392,2.4918318636486614,True
10-19,All,East Asian,All,6.135928341887438,6.071887274245009,1.505281609615257,1.9727401085034302,True
10-19,All,Indian,All,5.887417432279941,5.9131149748455165,1.365960628988258,1.6953355831909906,True
10-19,All,Latino_Hispanic,All,6.234243840279718,6.3982839676702605,1.5359878515229355,2.1761424388780233,True
10-19,All,Middle Eastern,All,6.359673378763244,6.238332029214461,1.5955749030899582,2.082014579506457,True
10-19,All,Southeast Asian,All,6.601041450843619,6.261801027703486,1.574594610626025,2.494055404377881,True
10-19,All,White,All,5.772240749759314,5.72278012498885,1.3613963368379072,2.0472516058955463,True
20-29,All,Black,All,6.565410480661469,6.8001336624113415,1.7019296173540204,2.446524608496289,True
20-29,All,East Asian,All,6.289572485401775,6.527472186671117,1.6171344757293116,2.503541226054474,True
20-29,All,Indian,All,6.376546106799275,6.423359135816912,1.7899117542311498,2.171719027994512,True
20-29,All,Latino_Hispanic,All,6.265292713777885,6.108587400781822,1.7151616324950365,2.4405512848229023,True
20-29,All,Middle Eastern,All,6.233539703285607,6.183170459249762,1.5955364858084058,2.382729413076275,True
20-29,All,Southeast Asian,All,6.0469494129806085,6.183368315419177,1.6428291104631843,2.3613771963527386,True
20-29,All,White,All,6.166885839357178,6.200404625454148,1.4889263440618343,1.7646425742982244,True
3-9,All,Black,All,5.54429439167017,5.577689886860646,1.3400934631244121,1.9250814905872211,True
3-9,All,East Asian,All,5.677542026219809,5.738671383727422,1.5980053904128155,2.71696294934765,True
3-9,All,Indian,All,5.683872597960155,5.733440586244588,1.5183083404189952,2.0151695544057207,True
3-9,All,Latino_Hispanic,All,5.863893489868258,5.595653285839244,1.3677803210946131,2.01418844066594,True
3-9,All,Middle Eastern,All,5.60887400888296,5.283469151623324,1.8205549317486178,2.1303970680095885,True
3-9,All,Southeast Asian,All,5.6727216186677465,5.449903375471834,1.3930864421763385,2.318974243141814,True
3-9,All,White,All,6.418705536643332,6.51228309156652,1.4369110426803298,1.973793943530037,True
30-39,All,Black,All,5.8488129689666195,5.671259815134247,1.4548833278372435,1.880945693262726,True
30-39,All,East Asian,All,6.154266226224257,6.164020933983666,1.499195148201573,2.2841294086661676,True
30-39,All,Indian,All,6.277958454712066,5.9276452529051635,1.4307162503248463,2.4769129231851466,True
30-39,All,Latino_Hispanic,All,5.461104010671323,5.287738948907956,1.1853094113815696,1.6487070629065377,True
30-39,All,Middle Eastern,All,6.424580810002501,6.466881052555504,1.553547729355644,2.037100140538609,True
30-39,All,Southeast Asian,All,6.404333988341035,6.516025907828199,1.6983615513207586,2.2918214979358327,True
30-39,All,White,All,6.068500027857753,5.980674978791579,1.626298138276189,2.4763395090378832,True
40-49,All,Black,All,5.368202547425742,5.173521892794908,1.4284279065656131,2.07536467273221,True
40-49,All,East Asian,All,6.658329988113703,6.555593153148812,1.5424339729326142,1.8064972720569799,True
40-49,All,Indian,All,5.97999164394655,5.626037043167477,1.4276458066546625,2.4214148365777817,True
40-49,All,Latino_Hispanic,All,5.96645408091014,5.904158465395244,1.613277996074232,2.2495222523673313,True
40-49,All,Middle Eastern,All,6.219096353097077,6.289422491504106,1.3223067532170927,1.7968813728261877,True
40-49,All,Southeast Asian,All,5.8453252034105985,5.861314572018225,1.4333297668651677,2.0123605717716684,True
40-49,All,White,All,5.535837665458948,5.58346792224812,1.4723199846523527,1.9032218932491558,True
50-59,All,Black,All,5.937757603121752,5.89509615554427,1.3658697088992489,2.107231623344741,True
50-59,All,East Asian,All,6.336469324680617,6.4376748241578,1.4720042198464998,2.514935540836592,True
50-59,All,Indian,All,5.911414221190901,5.901766820197618,1.5243603447633725,2.001969566449498,True
50-59,All,Latino_Hispanic,All,5.800065992949383,5.752067740618368,1.3194078560791764,1.973903488890878,True
50-59,All,Middle Eastern,All,6.254918159544125,6.256716613904153,1.482491188258991,2.2451827871430288,True
50-59,All,Southeast Asian,All,5.9308904370921685,5.784566934299195,1.5669103218407372,2.1378943891553073,True
50-59,All,White,All,6.175578426242548,6.068538055043097,1.7327198276848788,2.2871820317862968,True
60-69,All,Black,All,5.330461962198479,5.407497290066255,1.3633755630603603,2.3949794089982746,True
60-69,All,East Asian,All,6.001465796471065,5.945982951490359,1.441939266813459,1.8956686752935132,True
60-69,All,Indian,All,5.631228166085053,5.7978347523161275,1.3414522571746257,2.254031723994391,True
60-69,All,Latino_Hispanic,All,5.589139770764444,5.489033740043952,1.6861892558111307,2.393786160271974,True
60-69,All,Middle Eastern,All,5.651943496991033,5.74065585802181,1.6122321113213263,2.483503313414978,True
60-69,All,Southeast Asian,All,5.475007773361393,5.387351685322255,1.8001923614124526,2.7942922747030012,True
60-69,All,White,All,5.349885823076957,5.531483905916687,1.3844323406738992,2.212242209155554,True
more than 70,All,Black,All,4.944625386287397,4.753906999645209,1.5014229396613936,2.182624960982731,True
