Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.025721055138547028,0.0231737103313207,0.011219874094596754,0.012693523429334198,True
0-2,All,All,All,0.026793436103730188,0.023658373393118347,0.01182274401820046,0.013854717835783896,True
10-19,All,All,All,0.02566679095692154,0.02351468149572605,0.010815306459120544,0.012479038443416326,True
20-29,All,All,All,0.025979899007270622,0.02329568471759555,0.01162066837012285,0.012776614632457526,True
3-9,All,All,All,0.02661495777572706,0.0236458890140056,0.012624547104178874,0.013451354112476128,True
30-39,All,All,All,0.026015701836168525,0.02352041937410825,0.011430467529358265,0.013002564199268825,True
40-49,All,All,All,0.025046273201171795,0.0231724372133612,0.01001871974424845,0.011565140914171951,True
50-59,All,All,All,0.025330133161616357,0.02283241599798195,0.010940380426648728,0.011737270280718824,True
60-69,All,All,All,0.02518720074387432,0.022620501928031403,0.010734944601930273,0.012551424559205725,True
more than 70,All,All,All,0.024855103460442857,0.02246730029582975,0.0106181316135824,0.012621299829334024,True
All,Female,All,All,0.02594030589929644,0.023132032714784097,0.011436707743065632,0.013073897454887674,True
All,Male,All,All,0.025501804377797616,0.0232251016423106,0.01099522067344185,0.012439002282917524,True
All,All,Black,All,0.025594976857172824,0.0234065540134906,0.010782540444887646,0.012344471178948851,True
All,All,East Asian,All,0.025811555811834263,0.0233046431094408,0.011242687940971987,0.012952377088367873,True
All,All,Indian,All,0.025645146815275553,0.023007880896329852,0.011184363125314243,0.012818570248782652,True
All,All,Latino_Hispanic,All,0.025730008015296176,0.02287602610886095,0.011655402612536427,0.012483617756515748,True
All,All,Middle Eastern,All,0.02518538234689541,0.02293999865651125,0.010759462614823665,0.011781184468418374,True
All,All,Southeast Asian,All,0.026922814403613507,0.02367802243679755,0.012378166485543598,0.014175917953252778,True
All,All,White,All,0.02515750171974146,0.0228964369744062,0.010340034080601877,0.012090709991753074,True
All,All,All,2001 Reinhard,0.02954599233868313,0.0257904883474111,0.013582970227795496,0.013630620669573525,True
All,All,All,2016 Zhang,0.026114365851982284,0.0246541732922196,0.004983517346800287,0.005229681730270424,True
All,All,All,2017 Zhang,0.022054378769103752,0.0202533230185508,0.008850210989410278,0.0040724016726017,True
All,All,All,2018 Antic,0.014835838011088282,0.014605309814214651,0.0014321391977598834,0.0012942319735885256,True
All,All,All,2023 Kang,0.036054700721877685,0.03381370007991785,0.009290144740114515,0.010773721616715151,True
0-2,Female,All,All,0.025959346067257083,0.023068557493388597,0.011084194399138058,0.013279228471219522,True
0-2,Male,All,All,0.02762752614020329,0.02461412176489825,0.012469311528451205,0.014729552436620077,True
10-19,Female,All,All,0.02602283588864582,0.02374386414885515,0.010843178256138423,0.01318405987694865,True
10-19,Male,All,All,0.025310746025197253,0.023172874003648702,0.010782645082481394,0.01216990500688555,True
20-29,Female,All,All,0.026264358868266034,0.02348100766539565,0.011789895413591513,0.0131756472401321,True
20-29,Male,All,All,0.02569543914627521,0.0230339346453547,0.01144953240069813,0.012567896395921652,True
