Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,49.54216977390548,49.254940032958984,12.810572093032553,18.014594078063958,True
0-2,All,All,All,46.59846278908965,45.4967098236084,11.619179077538957,15.682064056396484,True
10-19,All,All,All,52.9785781711727,53.08603858947754,12.057931331647854,16.61899471282959,True
20-29,All,All,All,52.36980072244421,52.53703308105469,13.372111267651569,18.745003700256348,True
3-9,All,All,All,49.04739542874423,48.856536865234375,12.243268561955851,16.604386329650886,True
30-39,All,All,All,51.06021047567393,50.974802017211914,12.524014126215674,18.017118453979492,True
40-49,All,All,All,50.41137092268312,50.89826774597168,12.080171897271859,16.450879096984863,True
50-59,All,All,All,51.19317644664219,50.504751205444336,13.11106170820729,17.196317672729492,True
60-69,All,All,All,47.825782499065646,47.0948486328125,12.485792954634437,18.429309844970703,True
more than 70,All,All,All,44.394750509633646,43.35143280029297,13.19771112915326,18.559828758239746,True
All,Female,All,All,48.781536798215704,48.11587333679199,12.625618448565902,17.939722061157227,True
All,Male,All,All,50.30280274959526,50.24607467651367,12.949195576237171,17.970921516418457,True
All,All,Black,All,48.95935166002524,47.76857566833496,12.633132090592097,17.944488525390625,True
All,All,East Asian,All,51.04289501459912,51.06406593322754,12.736337578968515,18.11465835571289,True
All,All,Indian,All,48.48966460757785,47.48427772521973,12.171638643954589,16.373600959777825,True
All,All,Latino_Hispanic,All,48.68205743365817,48.37082290649414,12.242664498118232,17.901021003723145,True
All,All,Middle Eastern,All,49.78852252671213,49.75073432922363,13.315621591151148,18.304497718811035,True
All,All,Southeast Asian,All,50.56917005452243,50.101539611816406,13.071159077617853,18.54520606994629,True
All,All,White,All,49.26352712024342,49.48806953430176,13.252721108304556,18.407456398010254,True
All,All,All,2001 Reinhard,49.547351734290736,49.31998062133789,12.619051563414247,17.529741287231445,True
All,All,All,2016 Zhang,50.06077396542823,49.79681968688965,12.980229795895797,18.270403861999505,True
All,All,All,2017 Zhang,50.19008844755429,49.856727600097656,12.963576141120773,18.030602455139167,True
All,All,All,2018 Antic,50.03279347405977,49.69281196594238,13.018937957283264,18.208428382873535,True
All,All,All,2023 Kang,47.879841248194374,47.58561325073242,12.32163334462201,17.298272132873535,True
0-2,Female,All,All,45.78380503097138,44.21933364868164,11.616458230568842,16.05696201324463,True
0-2,Male,All,All,47.41312054720792,46.97929763793945,11.57216669677319,15.102083206176758,True
10-19,Female,All,All,52.52590689473338,52.091142654418945,12.660074095414629,17.603205680847168,True
10-19,Male,All,All,53.43124944761202,53.950815200805664,11.414405500892157,14.7389497756958,True
20-29,Female,All,All,51.126072383236576,51.52228546142578,13.679400473059951,20.13082504272461,True
20-29,Male,All,All,53.613529061651846,53.53561019897461,12.947413097815788,17.909707069396973,True
3-9,Female,All,All,47.368151055373154,46.68273162841797,12.080975190265024,16.469308853149414,True
3-9,Male,All,All,50.7266398021153,50.6525936126709,12.181672989835842,16.742276191711426,True
30-39,Female,All,All,49.71740044680509,49.51051139831543,12.376849085281734,17.961050033569336,True
30-39,Male,All,All,52.40302050454276,52.408403396606445,12.53429163022468,17.103199005126953,True
40-49,Female,All,All,50.66604720028964,50.75381660461426,11.936902938326401,15.022345542907715,True
40-49,Male,All,All,50.156694645076605,51.1356143951416,12.224210908105976,17.656594276428223,True
50-59,Female,All,All,51.28499026112742,50.63816452026367,12.606590121065663,17.773609161376953,True
50-59,Male,All,All,51.10136263215696,50.28011512756348,13.604426458222255,16.50472640991211,True
60-69,Female,All,All,47.41334364754813,46.93738555908203,11.469488306720475,16.871435165405273,True
60-69,Male,All,All,48.23822135058316,47.537981033325195,13.420244398833521,19.646543502807617,True
more than 70,Female,All,All,43.14811426385656,41.92171859741211,12.123005023407172,17.082602500915527,True
more than 70,Male,All,All,45.64138675541073,44.055416107177734,14.089221517409346,19.777213096618652,True
0-2,All,Black,All,47.714182116768576,46.13472938537598,11.922705059801995,15.842318534851074,True
0-2,All,East Asian,All,48.794378982890734,48.48519325256348,11.53011270052463,14.399626731872559,True
0-2,All,Indian,All,46.56706725900823,45.26642417907715,11.817874888019098,13.872695922851562,True
0-2,All,Latino_Hispanic,All,45.94870184985074,43.276084899902344,10.65137665919996,13.3360013961792,True
0-2,All,Middle Eastern,All,45.98924863988703,45.2147216796875,11.525895565317848,16.948570251464844,True
0-2,All,Southeast Asian,All,45.57586541609331,44.827476501464844,10.576885916120915,15.399068832397461,True
0-2,All,White,All,45.59979525912892,44.70457077026367,12.917661053215614,19.110016822814934,True
10-19,All,Black,All,54.268778497522526,54.350900650024414,12.629717358171293,17.158340454101562,True
10-19,All,East Asian,All,52.458705806732176,52.549583435058594,11.899757659082914,17.825302124023438,True
10-19,All,Indian,All,49.93974735086614,50.68985176086426,10.703466590812198,17.16660499572754,True
10-19,All,Latino_Hispanic,All,54.17998560125177,53.31290245056152,10.811765724060663,14.919229507446289,True
10-19,All,Middle Eastern,All,53.77258586883545,53.911603927612305,13.244024629248232,17.03715419769287,True
10-19,All,Southeast Asian,All,56.52386276938699,55.49448585510254,12.014998901220476,15.2618989944458,True
10-19,All,White,All,49.70638130361384,51.078773498535156,11.52025235309492,16.802050590515137,True
20-29,All,Black,All,54.64401872808283,54.08765983581543,14.117359010890144,24.051122665405273,True
20-29,All,East Asian,All,52.973016851598565,52.276079177856445,12.648238920523001,14.846858978271484,True
20-29,All,Indian,All,50.819690244848076,50.45661926269531,12.089642607607292,17.732707977294922,True
20-29,All,Latino_Hispanic,All,50.587431742928246,50.455596923828125,11.738980993096215,17.041193962097168,True
20-29,All,Middle Eastern,All,52.95776257948442,54.05940818786621,14.692193685458644,22.608269691467285,True
20-29,All,Southeast Asian,All,53.00619489496405,55.07002258300781,14.424620621196565,20.47882080078125,True
20-29,All,White,All,51.600490015203306,51.47636413574219,13.300613955864844,15.048425674438477,True
3-9,All,Black,All,46.44893131256104,45.849557876586914,10.969711115033755,17.437827110290527,True
3-9,All,East Asian,All,49.800049868496984,50.31986618041992,12.65642398349616,20.94337272644043,True
3-9,All,Indian,All,48.00109213915738,48.35330009460449,12.691595425991558,20.185382843017578,True
3-9,All,Latino_Hispanic,All,50.312122509696266,51.090620040893555,11.282988559094502,13.951882362365723,True
3-9,All,Middle Eastern,All,46.29522940028797,44.27370071411133,14.59319352459428,16.376330375671387,True
3-9,All,Southeast Asian,All,48.89887969277122,47.71246337890625,10.694659075396856,11.777975082397461,True
3-9,All,White,All,53.57546307823875,51.90736770629883,10.902494351649882,14.644577980041504,True
30-39,All,Black,All,51.23384100307118,50.393245697021484,12.30358989690611,20.113018035888672,True
30-39,All,East Asian,All,50.57730084332553,51.22068977355957,12.795147220237965,17.99413013458252,True
30-39,All,Indian,All,50.95681777433916,47.55092239379883,11.786653650212031,17.011327743530273,True
30-39,All,Latino_Hispanic,All,46.744642587141556,46.633108139038086,11.276445709647197,15.143647193908691,True
30-39,All,Middle Eastern,All,52.83856997056441,54.8765926361084,12.117884179988451,16.000052452087402,True
30-39,All,Southeast Asian,All,54.05453956777399,54.03403282165527,13.024867858585388,19.257019996643066,True
30-39,All,White,All,51.01576158350164,51.219186782836914,13.168733878291272,18.687271118164062,True
