Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,23.746290785512883,23.62385654449463,4.551968465979468,4.869461536407467,False
0-2,All,All,All,23.25450802035146,23.096850395202637,4.574577868895466,4.806198596954346,False
10-19,All,All,All,23.41152549409247,23.204188346862793,4.093194870515825,5.070611000061035,False
20-29,All,All,All,24.29193657775978,24.058866500854492,4.462347841180699,4.631749629974365,False
3-9,All,All,All,22.80049496625925,22.655241012573242,4.212472107822797,4.988142490386966,False
30-39,All,All,All,24.109582820496,24.011911392211914,4.54354956306265,5.233553886413574,False
40-49,All,All,All,23.95283812981147,24.06586456298828,4.044056115067646,5.028602123260498,False
50-59,All,All,All,23.59485093463551,23.695880889892578,4.344434640209412,4.74501466751099,False
60-69,All,All,All,24.039917325973512,23.895816802978516,4.788069408201891,4.582380294799805,False
more than 70,All,All,All,24.26096280023649,23.863627433776855,5.509883090844478,4.566039085388184,False
All,Female,All,All,23.602220069588004,23.4708890914917,4.388108771548343,4.7810282707214355,False
All,Male,All,All,23.890361501437763,23.784811973571777,4.706039406627894,4.937168121337891,False
All,All,Black,All,23.5398264986096,23.437650680541992,4.60592190395045,4.775972366333011,False
All,All,East Asian,All,23.597166728491736,23.55604362487793,4.239379111993309,4.737373352050781,False
All,All,Indian,All,23.692256008494983,23.605233192443848,4.544037389637518,5.095743656158447,False
All,All,Latino_Hispanic,All,23.912411434481843,23.870217323303223,4.425471819034588,4.806936740875244,False
All,All,Middle Eastern,All,24.27284752046219,23.935327529907227,4.973672409091583,4.832328796386719,False
All,All,Southeast Asian,All,23.386926381274908,23.245975494384766,4.832221078581255,5.064819812774658,False
All,All,White,All,23.82260092677492,23.65176773071289,4.134025545706683,4.709608078002926,False
All,All,All,2001 Reinhard,25.121037349384412,24.09907341003418,6.857395120869607,4.674080848693848,False
All,All,All,2016 Zhang,22.76740787968491,22.959630012512207,3.1072511873185067,4.062095642089844,False
All,All,All,2017 Zhang,24.223603659377986,24.4084529876709,3.973962071210754,5.54793119430542,False
All,All,All,2018 Antic,23.91387585196832,24.132396697998047,3.9188484562495263,5.353633403778076,False
All,All,All,2023 Kang,22.705529187148784,22.858844757080078,3.408023095215834,4.6159443855285645,False
0-2,Female,All,All,23.700766508919852,23.40570640563965,4.698503405630088,4.550957202911377,False
0-2,Male,All,All,22.808249531783066,22.812583923339844,4.405223359370954,5.254493713378906,False
10-19,Female,All,All,23.258982667055996,23.06325912475586,3.8538224049767313,4.889341831207275,False
10-19,Male,All,All,23.564068321128943,23.379243850708008,4.316448687757023,5.0621995925903285,False
20-29,Female,All,All,23.934987327030726,23.640798568725586,4.27015049211328,4.811705112457275,False
20-29,Male,All,All,24.648885828488833,24.52182102203369,4.621866339396011,4.5612263679504395,False
3-9,Female,All,All,22.493032070258995,22.140153884887695,4.571719039450436,5.057962894439701,False
3-9,Male,All,All,23.107957862259507,23.08187198638916,3.7977612006830093,4.868070125579834,False
