Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,65.40311416471847,67.88478469848633,8.425117423571661,11.805814743041992,False
0-2,All,All,All,68.83944056870101,71.25670623779297,7.524572188436766,6.399530410766602,False
10-19,All,All,All,64.22802471804928,65.92999267578125,8.441543408143545,12.186814308166504,False
20-29,All,All,All,62.92684062858681,65.12823867797852,9.563222474445084,14.978198051452644,False
3-9,All,All,All,66.50035776410785,69.30416870117188,8.230230786604476,10.671173095703125,False
30-39,All,All,All,64.2476253360897,65.92654800415039,8.262596677597863,12.69172191619873,False
40-49,All,All,All,64.94481862798914,66.95650482177734,8.080241132479063,11.104924201965332,False
50-59,All,All,All,64.03887166109952,66.20406341552734,8.614299750010177,12.456718444824219,False
60-69,All,All,All,65.45574955630612,67.40846252441406,7.951255395376619,11.210373878479004,False
more than 70,All,All,All,67.44629862153685,69.48351287841797,7.281839888015833,8.670965194702148,False
All,Female,All,All,65.62271686900746,68.19144439697266,8.4299254241953,11.632074356079094,False
All,Male,All,All,65.18351146042949,67.47842025756836,8.41518533410409,11.983572959899902,False
All,All,Black,All,65.76053457934447,68.27102661132812,8.355841516878414,11.475919723510742,False
All,All,East Asian,All,65.09695799278491,67.48211669921875,8.510189567808787,12.232534408569336,False
All,All,Indian,All,65.22892423109575,67.47179412841797,8.542420572296175,12.353569030761719,False
All,All,Latino_Hispanic,All,66.3829357436209,69.07777404785156,8.017706881114087,9.94310188293457,False
All,All,Middle Eastern,All,64.66884128878814,67.57686996459961,9.118364693828465,13.338631629943848,False
All,All,Southeast Asian,All,65.93033808505896,68.34526443481445,8.060261048240319,11.34195327758789,False
All,All,White,All,64.75326723233619,66.63557434082031,8.187095224697858,11.523687362670898,False
All,All,All,2001 Reinhard,63.83930073637639,66.10993194580078,7.842637422102081,10.822906494140625,False
All,All,All,2016 Zhang,65.55564143303324,68.15863037109375,8.093682537008448,11.495672225952148,False
All,All,All,2017 Zhang,65.30916734588095,68.09115600585938,8.626467523335323,12.122332572937012,False
All,All,All,2018 Antic,65.8461408449974,68.67002868652344,8.922462470691345,12.338695526123047,False
All,All,All,2023 Kang,66.4653204633044,68.9955825805664,8.376814177003077,12.236427307128906,False
0-2,Female,All,All,68.86322350440088,71.16425704956055,7.231647156788377,6.201732635498047,False
0-2,Male,All,All,68.81565763300115,71.3228759765625,7.811155288514331,6.461755752563477,False
10-19,Female,All,All,63.90359552556818,65.75758743286133,8.901676845862221,12.668169021606445,False
10-19,Male,All,All,64.55245391053039,66.23090362548828,7.94741106028001,11.777584075927734,False
20-29,Female,All,All,63.825126608316,66.7296371459961,9.443289412229227,14.301753997802734,False
