Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,1.6311306632527394,1.4443492889404297,0.8882363247351243,1.0288888812065125,True
0-2,All,All,All,1.634147468034795,1.4705249071121216,0.8979845301197834,1.027106374502182,True
10-19,All,All,All,1.6272938734138167,1.4717968702316284,0.825900457143448,1.0749333202838898,True
20-29,All,All,All,1.5549378301896906,1.3922494649887085,0.8489243373551164,0.9676976799964906,True
3-9,All,All,All,1.7588750081003777,1.5850680470466614,0.923633110711522,1.0669951438903809,True
30-39,All,All,All,1.5683810995480456,1.3611836433410645,0.8767159333329977,1.0098926126956935,True
40-49,All,All,All,1.6129594235357454,1.411297082901001,0.8988573115682038,1.0520217418670654,True
50-59,All,All,All,1.6618023872562961,1.441227674484253,0.92907002394286,0.9994972944259644,True
60-69,All,All,All,1.6470830804523227,1.4636741876602173,0.8598438418692449,0.9891275465488434,True
more than 70,All,All,All,1.6146957987435646,1.431490957736969,0.9140787042879005,1.0130330324172978,True
All,Female,All,All,1.6226260412198157,1.4353309869766235,0.8754721508269486,1.0267650187015533,True
All,Male,All,All,1.639635285285663,1.4557365775108337,0.9008025511907114,1.0299604833126068,True
All,All,Black,All,1.6606298188119186,1.473397433757782,0.8688771622361551,0.9830537140369418,True
All,All,East Asian,All,1.6368320019783997,1.4545034170150757,0.8745286085596731,1.0187530517578125,True
All,All,Indian,All,1.6545988875467124,1.4880657196044922,0.8757727406930454,1.0043890476226813,True
All,All,Latino_Hispanic,All,1.6007870282309902,1.388676643371582,0.8836776838675574,1.005983591079712,True
All,All,Middle Eastern,All,1.5557545771968146,1.357853889465332,0.9106729949927761,1.0265741497278214,True
All,All,Southeast Asian,All,1.7206052073512716,1.5447540879249573,0.9534346634570834,1.1298031806945799,True
All,All,White,All,1.5887071216530684,1.4030573964118958,0.837432530878114,0.9865411221981046,True
All,All,All,2001 Reinhard,1.7695452479637546,1.6760818362236023,0.8642652412033193,1.044537216424942,True
All,All,All,2016 Zhang,1.4540175634166186,1.2966836094856262,0.6656884111483431,0.6900950074195862,True
All,All,All,2017 Zhang,1.5743206652579493,1.3347083926200867,0.9422429290829043,1.1340347826480865,True
All,All,All,2018 Antic,1.6375190140758433,1.3775258660316467,1.0831719845255086,1.2536253482103348,True
All,All,All,2023 Kang,1.720250825549531,1.53352290391922,0.7956245713265027,0.9566977024078371,True
0-2,Female,All,All,1.5792023665187034,1.3982908129692078,0.8689925343234021,1.0286791622638702,True
0-2,Male,All,All,1.6890925695508863,1.520574927330017,0.9233673329709177,1.0319041013717651,True
10-19,Female,All,All,1.6186277098034496,1.4632695317268372,0.7994453554466545,0.9912622570991516,True
10-19,Male,All,All,1.6359600370241838,1.4786199927330017,0.8519664693542871,1.1218424439430237,True
20-29,Female,All,All,1.6309909628758619,1.4474833011627197,0.8909173089550421,0.9964141547679901,True
20-29,Male,All,All,1.478884697503519,1.3454934358596802,0.7981010988886246,0.9411386996507645,True
3-9,Female,All,All,1.7668347663717805,1.5850680470466614,0.9439672956597871,1.0576930940151215,True
3-9,Male,All,All,1.7509152498289748,1.5852486491203308,0.9033850071897586,1.0797129571437836,True
30-39,Female,All,All,1.6022824308605164,1.3810957670211792,0.8871099901995141,0.9943752139806747,True
30-39,Male,All,All,1.534479768235575,1.3564345240592957,0.8654452328907107,1.0133769512176514,True
40-49,Female,All,All,1.576209388531188,1.3729950785636902,0.8559246127564085,1.0189353972673416,True
40-49,Male,All,All,1.6497094585403025,1.4383598566055298,0.938950472989837,1.080969661474228,True
