Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.9270556097967706,0.9407960081507647,0.05110245078152521,0.051857503369048596,False
0-2,All,All,All,0.9218295383510791,0.936341076165432,0.05374519927410388,0.05510842428337703,False
10-19,All,All,All,0.9233453928380196,0.9359980727639741,0.04917697560398409,0.055670056144114466,False
20-29,All,All,All,0.9244735536473822,0.9399227365834089,0.05496784141248862,0.05354701466966594,False
3-9,All,All,All,0.9213508215413138,0.93652378071741,0.05605521444097967,0.05221892282406271,False
30-39,All,All,All,0.9269959533280047,0.9408225788998099,0.050771727323756156,0.05434451930335904,False
40-49,All,All,All,0.9295861720609643,0.9434663995380116,0.051469626027469635,0.047842564932984444,False
50-59,All,All,All,0.9268679536875425,0.943098168731047,0.053300157294593864,0.05029174442908291,False
60-69,All,All,All,0.9337016081795774,0.9446815411858034,0.04324100086833334,0.046727753660580795,False
more than 70,All,All,All,0.9353494945370523,0.9459139421988703,0.043689200352143534,0.04714645671962314,False
All,Female,All,All,0.9248978123106661,0.9387162789968517,0.05117723866522339,0.052429169351854155,False
All,Male,All,All,0.929213407282875,0.9429445406304615,0.05093991125770463,0.050792531118462714,False
All,All,Black,All,0.9315828501422367,0.9438545886209766,0.046306419052900415,0.04744133068063461,False
All,All,East Asian,All,0.9266613723878289,0.9399620644838858,0.0488463700796223,0.05251288759613337,False
All,All,Indian,All,0.927596530288061,0.939503108684477,0.047780830454399,0.053851969586030446,False
All,All,Latino_Hispanic,All,0.9283462450206837,0.9440965377859327,0.05329991277832571,0.046655722504433284,False
All,All,Middle Eastern,All,0.9282208936249216,0.9430587281371803,0.05211664338772134,0.0510175336478923,False
All,All,Southeast Asian,All,0.9159963587071863,0.9336538855503687,0.060429500347743546,0.06355866680303413,False
All,All,White,All,0.9309850184064762,0.9420199521867862,0.045873025718869774,0.048570614056374195,False
All,All,All,2001 Reinhard,0.9064982932637944,0.9228777153137182,0.06775646945158724,0.08497520008146797,False
All,All,All,2016 Zhang,0.925580329352238,0.9363121210475578,0.04368825792223847,0.04614412240949828,False
All,All,All,2017 Zhang,0.9434612114229325,0.95568625424275,0.042049976085641545,0.03849008222817918,False
All,All,All,2018 Antic,0.9363712124247112,0.9479544879219988,0.04357342125238277,0.044082581681729516,False
All,All,All,2023 Kang,0.923367002520177,0.935428215756642,0.045826074588994924,0.04812900758877303,False
0-2,Female,All,All,0.928153707230935,0.942440899722922,0.04922368501015692,0.04971834830306909,False
0-2,Male,All,All,0.9155053694712229,0.9304642822042832,0.05725193200895612,0.05908218894835149,False
10-19,Female,All,All,0.9190054202797427,0.9320060987013756,0.049180948940899694,0.05594897704674362,False
10-19,Male,All,All,0.9276853653962966,0.9410797895938481,0.04882017248013475,0.0530155006707973,False
20-29,Female,All,All,0.920538412128101,0.9375821984453043,0.058030532012545495,0.056069396450453945,False
20-29,Male,All,All,0.9284086951666634,0.9420790401283006,0.05146166207296664,0.05164584316934595,False
3-9,Female,All,All,0.9171787571144088,0.9329791357890829,0.05741764973029122,0.055710452301571234,False
3-9,Male,All,All,0.9255228859682187,0.9406004743558941,0.05437661434700674,0.04789712267249191,False
30-39,Female,All,All,0.9277278787327269,0.9424929591828477,0.05066079298891456,0.05072534211653046,False
30-39,Male,All,All,0.9262640279232824,0.9396014496490404,0.05090481240661653,0.05941595697043922,False
40-49,Female,All,All,0.9246027650642633,0.9370154380878282,0.05022615288626173,0.05087139845027555,False
40-49,Male,All,All,0.934569579057665,0.9501811504903444,0.052242607002228804,0.04553024362837166,False
50-59,Female,All,All,0.9221543182295706,0.93866477177063,0.053128521631242466,0.051642885404521444,False
50-59,Male,All,All,0.9315815891455144,0.9463009133259158,0.05308835567324269,0.04818109262248427,False
60-69,Female,All,All,0.9284882195401011,0.9414689631070576,0.04559932005933478,0.050063613015863595,False
60-69,Male,All,All,0.9389149968190537,0.9484942291050042,0.04010326970760247,0.04364295854041589,False
more than 70,Female,All,All,0.9362308324761467,0.9467425485442273,0.04267109671212912,0.048338076154703646,False
more than 70,Male,All,All,0.9344681565979582,0.9447843828133662,0.04469447999065168,0.04511340180749357,False
0-2,All,Black,All,0.935484081931121,0.9448931562921306,0.042478583741315565,0.043629187964469796,False
0-2,All,East Asian,All,0.9302063265712496,0.9356131490341055,0.0374152479749468,0.049361713466909096,False
0-2,All,Indian,All,0.9223324757682914,0.9351696084415877,0.05070486445891083,0.05524617141944954,False
0-2,All,Latino_Hispanic,All,0.9163069814783796,0.938450987342818,0.06783815702262017,0.048248637301916864,False
0-2,All,Middle Eastern,All,0.910739037830989,0.9294574934549482,0.06522129660045961,0.06384187734574764,False
