Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.5702327118442,0.5595816075801849,0.08029723227990689,0.10390710830688477,False
0-2,All,All,All,0.5642029819550453,0.5527656376361847,0.08034845198156533,0.09847290813922882,False
10-19,All,All,All,0.567120626046286,0.5544555187225342,0.07633183620581616,0.09872095286846161,False
20-29,All,All,All,0.5815996946646022,0.5692397356033325,0.08497660041614111,0.11000566184520721,False
3-9,All,All,All,0.5596831527429742,0.5499599874019623,0.07294936069059933,0.09563101828098297,False
30-39,All,All,All,0.5809143698447711,0.5719619691371918,0.08236966560393158,0.1138274222612381,False
40-49,All,All,All,0.5787278564912932,0.5716176331043243,0.07884134911493286,0.10666380822658539,False
50-59,All,All,All,0.5665461201752935,0.5590362846851349,0.07621413534816897,0.10143527388572693,False
60-69,All,All,All,0.5698545436193416,0.5608833730220795,0.07947042871597801,0.09842534363269806,False
more than 70,All,All,All,0.563445061058193,0.5501977205276489,0.08706001066712817,0.10292883217334747,False
All,Female,All,All,0.568368313989426,0.5576159954071045,0.07957411003283232,0.10218951106071472,False
All,Male,All,All,0.572097109698974,0.5620205998420715,0.08097672260920151,0.10599981248378754,False
All,All,Black,All,0.5672550336429567,0.5586116909980774,0.07967459967027289,0.10338948667049408,False
All,All,East Asian,All,0.5680770496226321,0.5562807023525238,0.07581305214700508,0.09543022513389587,False
All,All,Indian,All,0.5640389260920611,0.554640382528305,0.07895219030737374,0.10679072141647339,False
All,All,Latino_Hispanic,All,0.5733161811575745,0.563919872045517,0.08237543627388598,0.11187662184238434,False
All,All,Middle Eastern,All,0.5784481512175665,0.5682942569255829,0.08399441520375561,0.10527454316616058,False
All,All,Southeast Asian,All,0.5659520769059055,0.5542520880699158,0.08073197441230273,0.10085800290107727,False
All,All,White,All,0.5745415642707035,0.5647107660770416,0.07937052519045237,0.10153035819530487,False
All,All,All,2001 Reinhard,0.5389791363460505,0.5157777070999146,0.09525383351154784,0.06878877431154251,False
All,All,All,2016 Zhang,0.5771095491891988,0.5761057436466217,0.0646740446781252,0.08728693425655365,False
All,All,All,2017 Zhang,0.5809169490358014,0.5700820684432983,0.08158816317879057,0.11553794145584106,False
