Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.3493301048536192,0.33239515125751495,0.1187671150296848,0.15599211305379868,False
0-2,All,All,All,0.41631625300974817,0.4189648777246475,0.11847298260765281,0.17158150672912603,False
10-19,All,All,All,0.3272662573094879,0.3117336928844452,0.10713981934182287,0.13017216324806213,False
20-29,All,All,All,0.32130398521465914,0.3069539964199066,0.11881144112531085,0.1542138755321503,False
3-9,All,All,All,0.35789861508294357,0.3442375510931015,0.11407662800449521,0.14778822660446161,False
30-39,All,All,All,0.3291416328835797,0.31650565564632416,0.11010106193940575,0.13598858565092092,False
40-49,All,All,All,0.33509894149837555,0.31883423030376434,0.1121627749641749,0.13156044483184814,False
50-59,All,All,All,0.3208489179707967,0.3090080469846725,0.10569463253117606,0.13342665135860438,False
60-69,All,All,All,0.34702276315588454,0.3276869058609009,0.11406712990223287,0.1510898545384407,False
more than 70,All,All,All,0.38907357755709776,0.36977240443229675,0.12903263641428261,0.18240702152252203,False
All,Female,All,All,0.3505358374243519,0.33315473794937134,0.11849605636622605,0.15835011005401606,False
All,Male,All,All,0.34812437228288656,0.33173538744449615,0.11903389259689366,0.15368743240833288,False
All,All,Black,All,0.3504528664579295,0.33227261900901794,0.11436620590126541,0.1525294035673142,False
All,All,East Asian,All,0.3409906119296346,0.32467319071292877,0.1184742212195512,0.14509969204664236,False
All,All,Indian,All,0.34668260655093075,0.33231234550476074,0.12025994369264059,0.16196160763502127,False
All,All,Latino_Hispanic,All,0.3624253471805291,0.3466787040233612,0.12244395492024378,0.15630283951759338,False
All,All,Middle Eastern,All,0.3485579103193801,0.328148752450943,0.12391039836178246,0.1671548634767533,False
All,All,Southeast Asian,All,0.3567223522172432,0.3399221003055572,0.11279234627210392,0.16116842627525324,False
All,All,White,All,0.3394790393196874,0.32410153746604914,0.11719096525137483,0.14683319628238678,False
All,All,All,2001 Reinhard,0.3317569841833686,0.3174463510513305,0.11856962002105895,0.16070521622896194,False
All,All,All,2016 Zhang,0.3401602247023006,0.32521264255046844,0.11154303058291004,0.1457869410514832,False
All,All,All,2017 Zhang,0.35981857178875204,0.34276798367500305,0.1184732119139991,0.15500441193580627,False
All,All,All,2018 Antic,0.35626427824427553,0.3383757174015045,0.12085615733154957,0.15829537808895117,False
All,All,All,2023 Kang,0.3586504653493993,0.339629977941513,0.12152239874357942,0.15878382325172424,False
0-2,Female,All,All,0.4198889671595066,0.4214827865362167,0.1130255261241052,0.17721159011125565,False
0-2,Male,All,All,0.4127435388599897,0.4159184992313385,0.12365118668210866,0.1610165312886238,False
10-19,Female,All,All,0.32469881651076404,0.3067013919353485,0.11232022320133368,0.14166232943534848,False
10-19,Male,All,All,0.3298336981082117,0.31556814908981323,0.10170435433292008,0.11098259687423712,False
20-29,Female,All,All,0.33098277891804645,0.3150108903646469,0.11827698107049066,0.1575431227684021,False
20-29,Male,All,All,0.3116251915112718,0.2953399419784546,0.11863232111332643,0.14386393874883652,False
3-9,Female,All,All,0.36494711172077565,0.3526187837123871,0.12400772350530048,0.16179794818162924,False
3-9,Male,All,All,0.35085011844511155,0.3359238505363464,0.10279333345054631,0.13070287555456167,False
30-39,Female,All,All,0.335914106821859,0.32112962007522583,0.10802220946985361,0.13737787306308752,False
30-39,Male,All,All,0.3223691589453004,0.30897641181945795,0.11180161668232955,0.13362507522106165,False
40-49,Female,All,All,0.33260110365105916,0.32149358093738556,0.11030726243176268,0.12003693729639048,False
