Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.9799563622319853,0.9849306046962738,0.019156266095779518,0.019476085901260265,False
0-2,All,All,All,0.9765451855473705,0.9824161529541016,0.02083450157476144,0.024139150977134705,False
10-19,All,All,All,0.9803795891535747,0.9840676486492157,0.017949757666795296,0.01960580050945293,False
20-29,All,All,All,0.9784205902319449,0.9842856228351592,0.022544912150913102,0.019690245389938354,False
3-9,All,All,All,0.9794306794544319,0.9844737350940704,0.020137371975463222,0.02016383409500133,False
30-39,All,All,All,0.9795587203719399,0.9846780598163605,0.019350176735012024,0.019709497690200806,False
40-49,All,All,All,0.9812143475978405,0.985287070274353,0.0171590309470504,0.01781083643436443,False
50-59,All,All,All,0.9813790497841773,0.9858277440071106,0.017931302271920923,0.0175599902868272,False
60-69,All,All,All,0.9815972489583028,0.9864277243614196,0.01726490744184099,0.018598750233650208,False
more than 70,All,All,All,0.9810818489882853,0.9862199425697327,0.01799595570637236,0.01820102334022533,False
All,Female,All,All,0.9797804383402435,0.985067516565323,0.019603124987816835,0.019526898860931396,False
All,Male,All,All,0.9801322861237272,0.9847600758075714,0.018698492056857714,0.019403204321861378,False
All,All,Black,All,0.9812459538079271,0.985492080450058,0.017718613395611878,0.019153445959091187,False
All,All,East Asian,All,0.9794047543496797,0.9844619333744048,0.01890862794235369,0.02084217965602886,False
All,All,Indian,All,0.980341443118423,0.9855333864688873,0.019094351757067973,0.0192437320947646,False
All,All,Latino_Hispanic,All,0.9803530999506362,0.9851645827293396,0.018470401150809754,0.018571943044662587,False
All,All,Middle Eastern,All,0.9798330299179964,0.9848977029323578,0.01927785094316174,0.018505528569221497,False
All,All,Southeast Asian,All,0.9776294828966411,0.9835210144519806,0.021414571657352145,0.02161875367164623,False
All,All,White,All,0.9808867715825939,0.9856500923633575,0.0188101790046008,0.018579736351966858,False
All,All,All,2001 Reinhard,0.9759729041853681,0.9827583730220796,0.025461664474080912,0.023219197988510243,False
All,All,All,2016 Zhang,0.9757559339248428,0.9803898930549622,0.015301739039799804,0.012768208980560303,False
All,All,All,2017 Zhang,0.9867229548324582,0.9891036450862885,0.008974667164593556,0.006566762924194225,False
All,All,All,2018 Antic,0.9958754111118991,0.9975957274436951,0.0044161199482084905,0.0034445524215699352,False
All,All,All,2023 Kang,0.9654546071053584,0.96884423494339,0.01759672516739062,0.020532727241516002,False
0-2,Female,All,All,0.9779851466804356,0.9835907816886902,0.019296087500463143,0.021859988570213318,False
0-2,Male,All,All,0.9751052244143052,0.9809308350086212,0.02218616728569724,0.025389879941940197,False
10-19,Female,All,All,0.9794202957834516,0.9840484857559204,0.01846447612106682,0.019840627908706554,False
10-19,Male,All,All,0.9813388825236977,0.9842411279678345,0.017378918807274824,0.018974602222442516,False
20-29,Female,All,All,0.9778060797747079,0.9837777018547058,0.023758007285006894,0.019314214587211498,False
20-29,Male,All,All,0.979035100689182,0.9849181175231934,0.02126047841843103,0.020813196897506603,False
3-9,Female,All,All,0.9788518990015055,0.984178215265274,0.021485768187822614,0.020077362656593323,False
3-9,Male,All,All,0.9800094599073583,0.9849634170532227,0.018688117795967463,0.02026413381099712,False
30-39,Female,All,All,0.9801162011437602,0.9857227206230164,0.019309879818329517,0.01987306773662567,False
30-39,Male,All,All,0.9790012396001196,0.9834686517715454,0.019386896272018957,0.019345566630363464,False
40-49,Female,All,All,0.9808175803004922,0.9855659306049347,0.017613843899414346,0.018729761242866627,False
40-49,Male,All,All,0.9816111148951889,0.9851250648498535,0.016693855398837328,0.016380205750465393,False
50-59,Female,All,All,0.9810611253434961,0.9857906103134155,0.018485111029100863,0.018508031964302174,False
50-59,Male,All,All,0.9816969742248585,0.9858521223068237,0.017366046594316762,0.017123207449913136,False
60-69,Female,All,All,0.9807694972335518,0.9865683019161224,0.01873309586520806,0.019989952445030212,False
60-69,Male,All,All,0.9824250006830537,0.9863105714321136,0.015628200979586684,0.017584264278412087,False
more than 70,Female,All,All,0.9811961198007906,0.9860989451408386,0.01826181890532885,0.017908677458763123,False
more than 70,Male,All,All,0.9809675781757801,0.9862651824951172,0.01773724334083953,0.018576815724372975,False
0-2,All,Black,All,0.9822183549404144,0.9854366779327393,0.01599918718990056,0.01760806143283855,False
0-2,All,East Asian,All,0.9771725882183422,0.9820855855941772,0.0180858195810143,0.023923352360725403,False
0-2,All,Indian,All,0.973788298260082,0.9808998703956604,0.02351722750510434,0.028774768114090188,False
0-2,All,Latino_Hispanic,All,0.9789365077560598,0.9862235188484192,0.02038505780031658,0.021682754158973805,False
0-2,All,Middle Eastern,All,0.9702927112579346,0.9753116071224213,0.024372718635307402,0.026231497526168823,False
0-2,All,Southeast Asian,All,0.9744566708803177,0.9796567857265472,0.021370521057279535,0.02723938226699829,False
0-2,All,White,All,0.9789511675184424,0.9826990962028503,0.018773434246753314,0.019085705280304177,False
10-19,All,Black,All,0.9805702764879574,0.9839314520359039,0.018850992026862044,0.02080528438091267,False
10-19,All,East Asian,All,0.9788490008224141,0.9833656251430511,0.01970331299086184,0.01964798569679249,False
10-19,All,Indian,All,0.9801621894944798,0.9839996993541718,0.017032319162683888,0.019898295402527078,False
10-19,All,Latino_Hispanic,All,0.9808905344117772,0.9840676486492157,0.01716266510553653,0.01880323886871338,False
10-19,All,Middle Eastern,All,0.9815849122675983,0.9846729040145874,0.01453364216214959,0.01643201708793629,False
10-19,All,Southeast Asian,All,0.9785716371102766,0.9835381507873535,0.021579715321167703,0.02165992558002472,False
10-19,All,White,All,0.9820285734805194,0.9858447909355164,0.01577533734782648,0.018080130219459534,False
20-29,All,Black,All,0.981814180450006,0.9852505326271057,0.017369336978707607,0.019235044717788696,False
20-29,All,East Asian,All,0.978727016936649,0.983683705329895,0.018978409019953,0.019861355423927196,False
20-29,All,Indian,All,0.9788495559584011,0.985835075378418,0.022603947614407524,0.017727717757225037,False
20-29,All,Latino_Hispanic,All,0.9774129962379282,0.984566628932953,0.02438336187489047,0.019867464900016896,False
20-29,All,Middle Eastern,All,0.9794316825541582,0.9843817353248596,0.020582243577390514,0.019164994359016307,False
20-29,All,Southeast Asian,All,0.9746713765642859,0.9823764860630035,0.025264867537426093,0.025248989462852367,False
20-29,All,White,All,0.9780373229221864,0.9837341010570526,0.02672770781131674,0.019517600536346436,False
3-9,All,Black,All,0.9810597622936422,0.985485076904297,0.018577296108797704,0.017554640769958274,False
3-9,All,East Asian,All,0.9778926201842048,0.9830728471279144,0.019124066381496028,0.02272285521030437,False
3-9,All,Indian,All,0.9785804572430524,0.9841030538082123,0.021929414020387044,0.022700324654579163,False
3-9,All,Latino_Hispanic,All,0.9795561703768644,0.9837100803852081,0.01857180990371203,0.01919795572757721,False
3-9,All,Middle Eastern,All,0.9788795972412283,0.9847407937049866,0.024489388003877895,0.018130376935005077,False
3-9,All,Southeast Asian,All,0.9782116071744399,0.9840734302997588,0.020597111694522375,0.021420225501060597,False
3-9,All,White,All,0.9818345416675914,0.9859868884086609,0.01660393074292554,0.0189501792192458,False
30-39,All,Black,All,0.9772821705449711,0.9825421869754791,0.02147544670396091,0.02365604043006886,False
30-39,All,East Asian,All,0.9787162428552454,0.9832470715045928,0.018132555072820883,0.02211982011795044,False
30-39,All,Indian,All,0.9812014425342733,0.985234558582306,0.01806134211988096,0.01860833168029785,False
30-39,All,Latino_Hispanic,All,0.9790508145635778,0.9844422936439514,0.01912304947737652,0.02151082456111908,False
30-39,All,Middle Eastern,All,0.980367771061984,0.9857858121395111,0.01881421309663093,0.01694224774837494,False
30-39,All,Southeast Asian,All,0.9793761543252252,0.9846165478229523,0.019879140610063142,0.01822860538959492,False
30-39,All,White,All,0.9809164467183027,0.9855988919734955,0.019717737549891676,0.016724109649658092,False
40-49,All,Black,All,0.98257517516613,0.9871490299701691,0.016756985426729612,0.016241446137428284,False
40-49,All,East Asian,All,0.9803978524424813,0.985148549079895,0.018186070514704278,0.018594861030578613,False
40-49,All,Indian,All,0.9808376878499985,0.9850082695484161,0.01710454858659262,0.020330026745796315,False
40-49,All,Latino_Hispanic,All,0.9836817958138205,0.9854350984096527,0.014829651954025646,0.01570260524749756,False
40-49,All,Middle Eastern,All,0.9824069237167184,0.9854094684123992,0.016149389882104605,0.01626649498939503,False
40-49,All,Southeast Asian,All,0.9785794548012994,0.9839990735054016,0.018921036512981736,0.019566282629966736,False
40-49,All,White,All,0.9800215433944356,0.9849694073200226,0.01753994680175177,0.019391924142837746,False
50-59,All,Black,All,0.9821204407648607,0.9862442910671234,0.016209905870902735,0.01748141646385204,False
50-59,All,East Asian,All,0.9803444884040139,0.985883355140686,0.021546816006224188,0.01759113371372223,False
50-59,All,Indian,All,0.9832408279180527,0.9867401719093322,0.015884181502131826,0.01608048379421234,False
50-59,All,Latino_Hispanic,All,0.9822879582643509,0.9854404032230377,0.013926535330693053,0.017569348216056713,False
50-59,All,Middle Eastern,All,0.9823733413761312,0.9862222075462341,0.015973253481788432,0.016702428460121266,False
50-59,All,Southeast Asian,All,0.9779934322292154,0.9846557974815369,0.021862218416214652,0.018975257873535156,False
50-59,All,White,All,0.9812928595326164,0.9855905771255493,0.01829459728470036,0.018956288695335388,False
60-69,All,Black,All,0.9804643660783767,0.9858008325099946,0.017129308829209,0.01951354742050171,False
60-69,All,East Asian,All,0.9800702103159644,0.9860779345035552,0.019904349620840187,0.021877452731132507,False
60-69,All,Indian,All,0.9849437047134746,0.9879784882068634,0.013135942114209737,0.015434026718139537,False
60-69,All,Latino_Hispanic,All,0.9808590544895692,0.9857114553451538,0.01833954671707404,0.017060741782188416,False
60-69,All,Middle Eastern,All,0.9837073466994546,0.9868455827236176,0.014347360111200767,0.016246914863586315,False
60-69,All,Southeast Asian,All,0.978477599404075,0.9840792715549469,0.020244774978422083,0.02387551963329304,False
60-69,All,White,All,0.9826584610072049,0.986507385969162,0.015802209566029804,0.019131794571876526,False
more than 70,All,Black,All,0.9831088575449857,0.9873186945915222,0.016015880627298133,0.015514403581619374,False
more than 70,All,East Asian,All,0.9824727689678019,0.9863361716270446,0.015791119945624658,0.017350926995277405,False
more than 70,All,Indian,All,0.981468824093992,0.9871580302715302,0.01831717356781156,0.018005535006523132,False
more than 70,All,Latino_Hispanic,All,0.9805020676417784,0.985251247882843,0.01699694827186491,0.018201440572738647,False
more than 70,All,Middle Eastern,All,0.9794529830867594,0.9845237731933594,0.0181568471681142,0.02133864164352417,False
more than 70,All,Southeast Asian,All,0.9783274135806344,0.9832889437675476,0.022195137566443646,0.019855931401252747,False
more than 70,All,White,All,0.9822400280020454,0.9874527156352997,0.017466594775584685,0.01522110402584076,False
0-2,All,All,2001 Reinhard,0.9749243025268827,0.9807115197181702,0.02304563588326288,0.02511543035507202,False
0-2,All,All,2016 Zhang,0.9702302014285867,0.9771868586540222,0.02069074233643728,0.018735095858574025,False
