Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,0.9741568090067447,0.9767657157818528,0.014385751275372654,0.018287687130453367,False
0-2,All,All,All,0.9717424560149004,0.9746615943353629,0.015396124946456216,0.018971357572259095,False
10-19,All,All,All,0.9732537735158551,0.9763170967161658,0.015108272004934933,0.019375391577675316,False
20-29,All,All,All,0.9767631543423609,0.9788955614093535,0.012776375588355,0.017240616573736656,False
3-9,All,All,All,0.9715242864359401,0.973785474813918,0.014670488958169157,0.01958123219063923,False
30-39,All,All,All,0.9764142172127173,0.9787830459823654,0.013501315302742227,0.0175598779974373,False
40-49,All,All,All,0.9755799308304974,0.9785231858225665,0.0142194377541461,0.017369833057338635,False
50-59,All,All,All,0.9739237853793691,0.9765964667830784,0.01431367721862354,0.017016772429006344,False
60-69,All,All,All,0.974527986719944,0.9773115042149628,0.014257577499146466,0.017485079081989485,False
more than 70,All,All,All,0.9736816906091166,0.9759851381081778,0.014117438242140302,0.018947733800853794,False
All,Female,All,All,0.9739903126812447,0.9763775505397686,0.014085544625896326,0.01791448599649259,False
All,Male,All,All,0.9743233053322443,0.9773202948651082,0.014678948506380683,0.018624949406893077,False
All,All,Black,All,0.9732072344733097,0.9765495005742212,0.015715147745161234,0.01871618379717932,False
All,All,East Asian,All,0.9743366303692812,0.976650330048351,0.013333090219211995,0.01736319110464013,False
All,All,Indian,All,0.9731310459457297,0.9758584587568223,0.015060908629005448,0.020502468896406945,False
All,All,Latino_Hispanic,All,0.9749003182138722,0.9774930054647938,0.014226170377315842,0.018309923710564502,False
All,All,Middle Eastern,All,0.9756033584950039,0.977813048099344,0.013451130799371032,0.017210577856974996,False
All,All,Southeast Asian,All,0.9731476828144116,0.9756919038173484,0.014643802521054563,0.01864151745346887,False
All,All,White,All,0.9747713927356036,0.9772016964557138,0.013925507701152268,0.017258235346253148,False
All,All,All,2001 Reinhard,0.9702015931048413,0.9725893270340105,0.017079656112490415,0.02106257829948799,False
All,All,All,2016 Zhang,0.9737840509727326,0.975742203833802,0.012319232138590113,0.015971017675511345,False
All,All,All,2017 Zhang,0.9773866285932175,0.980519341993999,0.014074648931900802,0.01789331541874506,False
All,All,All,2018 Antic,0.9749843440119688,0.978451591506877,0.014914386546638833,0.01880473117799797,False
All,All,All,2023 Kang,0.9744274283509626,0.9765279672671973,0.01200220540779633,0.01578913439144758,False
0-2,Female,All,All,0.9734664490001735,0.976048457519463,0.01409632111584235,0.016580829653737972,False
0-2,Male,All,All,0.9700184630296274,0.9732052686511758,0.016423497481614188,0.020975259381080136,False
10-19,Female,All,All,0.972876654851118,0.9750934009194061,0.014242680672379257,0.018385999003177056,False
10-19,Male,All,All,0.9736308921805923,0.9771125463434462,0.015927266973877065,0.020453868603795722,False
20-29,Female,All,All,0.9766285685728734,0.9782658313584824,0.012365303517653735,0.016939537358826473,False
20-29,Male,All,All,0.9768977401118485,0.979474605122685,0.013181305386206033,0.017381489055750543,False
3-9,Female,All,All,0.9703764937464265,0.9723163830492811,0.014431664106744296,0.01910517264216438,False
3-9,Male,All,All,0.9726720791254535,0.975044915242398,0.014826164553888799,0.018993676681937632,False
30-39,Female,All,All,0.9768428109577625,0.9787839549750144,0.01269454612025485,0.017034190151741457,False
30-39,Male,All,All,0.9759856234676717,0.9787812773486394,0.014257934911839175,0.017950029944622692,False
40-49,Female,All,All,0.9758032766925745,0.978842263892583,0.014101318974097003,0.017476738845296103,False
40-49,Male,All,All,0.9753565849684205,0.9783518090780505,0.014342268154190133,0.017429070057890628,False
50-59,Female,All,All,0.9725376026163421,0.9751850155010378,0.01497650485943917,0.01724038630536673,False
50-59,Male,All,All,0.9753099681423963,0.9781755034539619,0.013486490878349949,0.01574821477335442,False
60-69,Female,All,All,0.9737745902080882,0.976664449589704,0.014117482845519,0.017030443528177286,False
60-69,Male,All,All,0.9752813832317999,0.9782103322147184,0.014365979358916049,0.01739227636320473,False
more than 70,Female,All,All,0.9736063674858436,0.9757169715554685,0.014354337603675387,0.019608700928564815,False
