Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,-0.04691610216903159,-0.046558866277337005,0.015029071574483062,0.020151200704276555,False
0-2,All,All,All,-0.04819181627298457,-0.04803490266203875,0.015410270086094588,0.020671045407652897,False
10-19,All,All,All,-0.04765494148006549,-0.0471988748759031,0.014374552423335508,0.019955977797508198,False
20-29,All,All,All,-0.04598934651319767,-0.045367572456598254,0.014754421300010583,0.019462933763861677,False
3-9,All,All,All,-0.048399690846604386,-0.04784385487437245,0.014438032703414313,0.018862333148717825,False
30-39,All,All,All,-0.04578071538307519,-0.045031912624835954,0.014943312966384287,0.020247148349881228,False
40-49,All,All,All,-0.046449619994004356,-0.04571293294429775,0.01467729284696408,0.020700623281300054,False
50-59,All,All,All,-0.04744395835607839,-0.0469399653375148,0.014321651598465499,0.01973904389888055,False
60-69,All,All,All,-0.04639663509162768,-0.0463483445346355,0.015315394715603422,0.019350639544427423,False
more than 70,All,All,All,-0.04593819558364657,-0.0458769854158163,0.016647237247972704,0.02136805374175315,False
All,Female,All,All,-0.047295249284801937,-0.046941852197051,0.014983164440496898,0.02009489946067332,False
All,Male,All,All,-0.04653695505326123,-0.04619980417191975,0.015066380447088678,0.020326833240687896,False
All,All,Black,All,-0.04757674896667444,-0.0473752226680517,0.014750531611145494,0.019836151041090447,False
All,All,East Asian,All,-0.04749885308322542,-0.04758324101567265,0.014307320117124296,0.018539335578680052,False
All,All,Indian,All,-0.04709962367273089,-0.0467097200453281,0.014963266546697628,0.019912782125175076,False
All,All,Latino_Hispanic,All,-0.04577119946507928,-0.044829161837697,0.015242475198491902,0.02149622701108453,False
All,All,Middle Eastern,All,-0.04560291444294202,-0.0454463735222816,0.015400823852118335,0.020267432555556297,False
All,All,Southeast Asian,All,-0.047510680579139354,-0.04692693240940565,0.015286465204078838,0.020645744167268325,False
All,All,White,All,-0.04735269497342971,-0.04671881534159179,0.015100762331757419,0.020183982327580473,False
All,All,All,2001 Reinhard,-0.05105777482814508,-0.052857613191008554,0.017840557781174767,0.021238512359559557,False
All,All,All,2016 Zhang,-0.051731809987155694,-0.05111109279096125,0.013205049725708322,0.01783478632569315,False
All,All,All,2017 Zhang,-0.0411747076596008,-0.040649376809596946,0.01317483614934011,0.01766863837838175,False
All,All,All,2018 Antic,-0.04346256719181151,-0.04310180619359015,0.012985876084586487,0.017561739310622146,False
All,All,All,2023 Kang,-0.047153651178444854,-0.04642310924828045,0.014474137994181754,0.019254864193499102,False
0-2,Female,All,All,-0.047786312950344564,-0.04761786386370655,0.015146492721861493,0.019871272146701806,False
0-2,Male,All,All,-0.048597319595624563,-0.048577738925814545,0.0156689541747695,0.021415861323475803,False
10-19,Female,All,All,-0.04834005280772776,-0.04794537462294095,0.014398535367988831,0.019743336364626878,False
10-19,Male,All,All,-0.04696983015240323,-0.0468374472111463,0.014327121653787224,0.020210046321153627,False
20-29,Female,All,All,-0.04646104272033913,-0.046117275953292805,0.014117777552474346,0.01865354832261803,False
20-29,Male,All,All,-0.04551765030605621,-0.045113213360309545,0.015359419430531367,0.020608744584024,False
3-9,Female,All,All,-0.04974235027403224,-0.049678543582558604,0.015205830226563504,0.018968633376061902,False
3-9,Male,All,All,-0.047057031419176505,-0.04596065357327455,0.013503970592610423,0.01758423913270235,False
30-39,Female,All,All,-0.04635552836449013,-0.045015340670943205,0.014839032941975678,0.01950680464506155,False
30-39,Male,All,All,-0.04520590240166022,-0.045031912624835954,0.01503452717633492,0.021155228838324505,False
40-49,Female,All,All,-0.04612001521246769,-0.04503514431416985,0.014531134771158222,0.019423986785113805,False
40-49,Male,All,All,-0.04677922477554103,-0.046397166326641995,0.014824120397702742,0.02141795773059127,False
50-59,Female,All,All,-0.04845477490604234,-0.048513101413846,0.01437206999668277,0.02011563722044233,False
50-59,Male,All,All,-0.046433141806114464,-0.04551352746784685,0.014208574105656745,0.01956748496741057,False
60-69,Female,All,All,-0.046694187646393034,-0.04622942768037315,0.01514892472664345,0.019795374944806127,False
60-69,Male,All,All,-0.04609908253686232,-0.04644475877284995,0.01548419924051195,0.018993014469742782,False
more than 70,Female,All,All,-0.045702978681380575,-0.0459007434546947,0.016540590441971488,0.021841160953044843,False
more than 70,Male,All,All,-0.04617341248591256,-0.0458769854158163,0.01676065224595071,0.02091432921588427,False
0-2,All,Black,All,-0.05117366933475498,-0.051708433777093846,0.014088422171262816,0.018270656466484042,False
0-2,All,East Asian,All,-0.04991818296535211,-0.048164587467908804,0.014966600335685781,0.0194499250501394,False
0-2,All,Indian,All,-0.04576102296266315,-0.0448876824229955,0.016146388399205305,0.02010671701282262,False
0-2,All,Latino_Hispanic,All,-0.0479045222979886,-0.04695300757884975,0.015329383021602113,0.02067872509360312,False
0-2,All,Middle Eastern,All,-0.04461419266881416,-0.043967913836240755,0.016897119026237778,0.024742899462580695,False
0-2,All,Southeast Asian,All,-0.04836808690716592,-0.04843785986304275,0.015958180951942017,0.021727290004491855,False
0-2,All,White,All,-0.04960303677415301,-0.04912918433547015,0.013328618034177788,0.018440291285514783,False
10-19,All,Black,All,-0.048892858484759875,-0.0491542350500822,0.013739502861078926,0.0183123564347625,False
10-19,All,East Asian,All,-0.046142768039135224,-0.04630252160131925,0.015090563325383216,0.020160656422376626,False
10-19,All,Indian,All,-0.04727955043146552,-0.046809559687972,0.013287057712024002,0.019030258059501655,False
10-19,All,Latino_Hispanic,All,-0.04712453692389478,-0.0453440342098474,0.014886407008574286,0.022133587859570925,False
10-19,All,Middle Eastern,All,-0.047152431463738015,-0.048133969306945745,0.01460820563960783,0.019099353812634896,False
10-19,All,Southeast Asian,All,-0.05114994755607432,-0.051993770524859345,0.01351762893636513,0.017866143025457873,False
10-19,All,White,All,-0.04584249746139072,-0.04474536888301365,0.014872596528058448,0.019267843104898902,False
20-29,All,Black,All,-0.04581447073724116,-0.04449450038373465,0.01407329001755759,0.0178916491568089,False
20-29,All,East Asian,All,-0.04797986127774819,-0.04842795804142945,0.013320131292237268,0.016075743362307597,False
20-29,All,Indian,All,-0.045422385818396374,-0.0453538168221712,0.014188153412089195,0.0206805393099785,False
20-29,All,Latino_Hispanic,All,-0.04560408921388439,-0.044719645753502804,0.017655747743741134,0.02331975288689135,False
20-29,All,Middle Eastern,All,-0.043909838706762905,-0.0435485057532787,0.01512693033625044,0.01989913638681172,False
20-29,All,Southeast Asian,All,-0.04863046727312556,-0.04860873520374295,0.015017235786643868,0.022459791041910725,False
20-29,All,White,All,-0.04456431256522504,-0.044185303151607444,0.013003325705593526,0.017626206390559673,False
3-9,All,Black,All,-0.048582241964124265,-0.048715390264987904,0.013115309563656335,0.016282635740935747,False
3-9,All,East Asian,All,-0.04919057677245948,-0.04884072393178935,0.01449252613944708,0.0179951852187515,False
3-9,All,Indian,All,-0.04813781699631358,-0.04843880422413345,0.01500276905121676,0.016904142685234547,False
3-9,All,Latino_Hispanic,All,-0.04787078833376814,-0.0462744161486625,0.014534530911143791,0.02082500793039803,False
3-9,All,Middle Eastern,All,-0.04650324212217868,-0.0462912060320377,0.013662538130501898,0.018665106035769,False
3-9,All,Southeast Asian,All,-0.048265826494686935,-0.04596065357327455,0.014372466655217877,0.01921388600021602,False
3-9,All,White,All,-0.05024734324269954,-0.049899268895387594,0.01565961369741443,0.0202966248616576,False
30-39,All,Black,All,-0.04711961763572282,-0.047341734170913655,0.016595352145494815,0.02309438027441505,False
30-39,All,East Asian,All,-0.043742259447886137,-0.04316471517086025,0.01337446870663312,0.019250585697591277,False
30-39,All,Indian,All,-0.0478078843094408,-0.04850477352738375,0.014366184819045618,0.019865390844643102,False
30-39,All,Latino_Hispanic,All,-0.04406335014024406,-0.04191280528903005,0.015367127138225481,0.020626375451684026,False
30-39,All,Middle Eastern,All,-0.04618911752477283,-0.0451788231730461,0.01491719386319978,0.020173206925392193,False
30-39,All,Southeast Asian,All,-0.04563224002803586,-0.04543484002351755,0.013877084436820572,0.019747907295823056,False
30-39,All,White,All,-0.04591053859542373,-0.044781614094972555,0.015622074810992969,0.019187556579709074,False
40-49,All,Black,All,-0.04519594200378787,-0.04397270828485485,0.014159380902137256,0.02148262970149517,False
40-49,All,East Asian,All,-0.04848959118614646,-0.04876731522381305,0.014501100152923411,0.01832674909383058,False
40-49,All,Indian,All,-0.04610128106380046,-0.04414819367229935,0.01466712238473187,0.021417191252112402,False
40-49,All,Latino_Hispanic,All,-0.04484827126460992,-0.0441769957542419,0.012922156754935254,0.01695883926004168,False
40-49,All,Middle Eastern,All,-0.047623117369684255,-0.04622072540223595,0.013690558178551152,0.02075765561312435,False
40-49,All,Southeast Asian,All,-0.045003943885306104,-0.0448787827044725,0.015326821078565733,0.021730354987084873,False
40-49,All,White,All,-0.04788519318469541,-0.04614174924790855,0.016871057510137833,0.022334789857268326,False
50-59,All,Black,All,-0.04945713012394575,-0.0465288739651441,0.015149939238879664,0.022169309668242897,False
50-59,All,East Asian,All,-0.048536394045434174,-0.048877203837037,0.013461244423993688,0.01620915066450837,False
50-59,All,Indian,All,-0.04825071316127745,-0.0488488487899303,0.01464513338044467,0.02103648986667398,False
50-59,All,Latino_Hispanic,All,-0.04527375697242938,-0.045057108625769546,0.014672304013424946,0.01974006555974485,False
50-59,All,Middle Eastern,All,-0.04505634832788592,-0.043529085814952795,0.01358149420425497,0.0183577425777912,False
50-59,All,Southeast Asian,All,-0.04885230907662344,-0.04745415970683095,0.013809786155372678,0.01749099977314475,False
