Age,Gender,Race,Model,Mean,Median,Standard Deviation,IQR,Lower Better
All,All,All,All,-0.6543556300413612,-0.7784433662891388,0.3322986997645962,0.5213337317109108,False
0-2,All,All,All,-0.49301081168663374,-0.5121064484119415,0.3430569088804388,0.6272071823477745,False
10-19,All,All,All,-0.6973595216453027,-0.8317655622959137,0.32009531120459817,0.47563186287879944,False
20-29,All,All,All,-0.7098828117560456,-0.8373976945877075,0.3251201363782902,0.45499897748231904,False
3-9,All,All,All,-0.6622367910939865,-0.7946034669876099,0.32429501186065096,0.4929919466376304,False
30-39,All,All,All,-0.7200203082161624,-0.8231512308120728,0.29889015415385467,0.40174373984336853,False
40-49,All,All,All,-0.6923414618502766,-0.7964924275875092,0.3030939401534865,0.43058324605226533,False
50-59,All,All,All,-0.709353824300399,-0.8230908215045929,0.29569353942608523,0.3887670338153839,False
60-69,All,All,All,-0.6587827801603772,-0.7843114733695984,0.3344041942854276,0.5486241951584816,False
more than 70,All,All,All,-0.5462123596630672,-0.6165278851985931,0.3624083891326757,0.6193998195230962,False
All,Female,All,All,-0.6564292621041767,-0.7767540514469147,0.33184730769816745,0.5312184542417526,False
All,Male,All,All,-0.6522819979785457,-0.7800891995429993,0.3327605013136972,0.5122098326683044,False
All,All,Black,All,-0.6679005226367588,-0.7836790084838867,0.32760188819040703,0.4918075874447823,False
All,All,East Asian,All,-0.6574384744922899,-0.7946270704269409,0.3339015329124818,0.5083730071783066,False
All,All,Indian,All,-0.6438769576473046,-0.7702087163925171,0.34450025558934627,0.579150952398777,False
All,All,Latino_Hispanic,All,-0.6334524590130913,-0.7531701922416687,0.3369211639374905,0.5139291137456894,False
All,All,Middle Eastern,All,-0.6502498295403913,-0.7736320197582245,0.33391863822335854,0.5328102111816406,False
All,All,Southeast Asian,All,-0.6387483509950048,-0.7499957978725433,0.3300619027865413,0.5348279699683188,False
All,All,White,All,-0.6888228159646876,-0.8104144036769867,0.31567462483554487,0.4794366359710694,False
All,All,All,2001 Reinhard,-0.6485177158100555,-0.7708095014095306,0.32746097242355904,0.5194374099373817,False
All,All,All,2016 Zhang,-0.6835089162668264,-0.8228549957275391,0.34600742940926255,0.5447038933634757,False
All,All,All,2017 Zhang,-0.6402391021926868,-0.7678366005420685,0.32879449809974093,0.5136761963367462,False
All,All,All,2018 Antic,-0.6300273496593628,-0.7507604360580444,0.3244755527084711,0.5120251253247261,False
All,All,All,2023 Kang,-0.6694850662778745,-0.7864217460155487,0.33169981413881905,0.5069600939750671,False
0-2,Female,All,All,-0.4763058887697853,-0.49433198571205134,0.3283381373926493,0.6119061335921288,False
0-2,Male,All,All,-0.5097157346034822,-0.5283699929714203,0.3566011198857578,0.6196756027638913,False
10-19,Female,All,All,-0.6768376541922667,-0.8180419504642487,0.3330738982262828,0.49070259183645254,False
10-19,Male,All,All,-0.7178813890983387,-0.8534925580024719,0.30540734227384636,0.4381198287010193,False
20-29,Female,All,All,-0.6983094295908624,-0.8040339946746826,0.32506098536365663,0.4462542086839676,False
20-29,Male,All,All,-0.7214561939212288,-0.85915607213974,0.32497812621163286,0.46386021375656133,False
3-9,Female,All,All,-0.64197721313534,-0.7743864357471466,0.3349653103995501,0.5290794298052788,False
3-9,Male,All,All,-0.682496369052633,-0.8156185448169708,0.31216588576161414,0.42345851659774786,False
30-39,Female,All,All,-0.7283146016396957,-0.8259287774562836,0.2975236934377,0.3573192209005355,False
30-39,Male,All,All,-0.7117260147926289,-0.8192342221736908,0.3002144260156729,0.4382789582014083,False
40-49,Female,All,All,-0.708219895002095,-0.8184552490711212,0.3021230058631718,0.42214159667491913,False
40-49,Male,All,All,-0.6764630286984581,-0.7740670740604401,0.30342728783059725,0.4320557564496995,False
50-59,Female,All,All,-0.7393787890869229,-0.8446447849273682,0.2737503772876246,0.3572351932525635,False
50-59,Male,All,All,-0.679328859513875,-0.7944449186325073,0.3134300990826402,0.4440338090062142,False
60-69,Female,All,All,-0.6734066527323039,-0.8041355609893799,0.346222364234076,0.5684546455740929,False
60-69,Male,All,All,-0.6441589075884504,-0.7632501721382141,0.3217134609567758,0.5234809517860414,False
more than 70,Female,All,All,-0.5651132347883185,-0.6165278851985931,0.35039161554678094,0.5816248282790184,False
more than 70,Male,All,All,-0.5273114845378161,-0.6165737807750702,0.37331056044643646,0.6844900958240032,False
0-2,All,Black,All,-0.6201564061106183,-0.7095725238323212,0.31310322087308506,0.45904555171728134,False
0-2,All,East Asian,All,-0.49387063146145505,-0.5086843073368073,0.3519134480126826,0.6260974481701851,False
0-2,All,Indian,All,-0.48585676305334674,-0.42107316851615906,0.3213045228702894,0.5158878937363625,False
0-2,All,Latino_Hispanic,All,-0.4972425266084346,-0.5885565876960754,0.3688276152199794,0.6984420195221901,False
0-2,All,Middle Eastern,All,-0.2545835336781403,-0.20204236358404154,0.2905066139897338,0.37290158960968256,False
0-2,All,Southeast Asian,All,-0.5275584608369338,-0.5848442018032074,0.31209171868635616,0.6137391626834869,False
0-2,All,White,All,-0.5718073600575074,-0.6277195811271667,0.3213173507961632,0.5986785367131233,False
10-19,All,Black,All,-0.6979091495592994,-0.8279282748699188,0.32135555741494504,0.4127439856529236,False
10-19,All,East Asian,All,-0.64703082958321,-0.8043652176856995,0.335006306131604,0.5888540148735046,False
10-19,All,Indian,All,-0.6508325242839584,-0.8348167538642883,0.4066511897861756,0.757534597069025,False
10-19,All,Latino_Hispanic,All,-0.7259083604482426,-0.840985894203186,0.27622817076472067,0.4200837165117264,False
10-19,All,Middle Eastern,All,-0.7514697912487794,-0.8605607748031616,0.2900897445626989,0.28610554337501515,False
10-19,All,Southeast Asian,All,-0.6770410643805834,-0.8134545683860779,0.29999766195997885,0.48915673047304153,False
10-19,All,White,All,-0.7313249320130456,-0.857964038848877,0.28047202413019534,0.3750559836626053,False
20-29,All,Black,All,-0.7698934790678322,-0.8566103577613831,0.2760404894625922,0.32353289425373066,False
20-29,All,East Asian,All,-0.6544564906354274,-0.7787489593029022,0.33538376907477296,0.43203040957450867,False
20-29,All,Indian,All,-0.6733304730277847,-0.8277310729026794,0.3595234400181901,0.582023024559021,False
20-29,All,Latino_Hispanic,All,-0.6838827223347669,-0.824183851480484,0.33824733200209633,0.4940916970372201,False
20-29,All,Middle Eastern,All,-0.7433532326016575,-0.8975720107555389,0.324755499911836,0.49073265492916107,False
20-29,All,Southeast Asian,All,-0.7240942838400687,-0.8614800870418549,0.3064941798737634,0.42499558627605427,False
20-29,All,White,All,-0.7201690007847819,-0.8402553200721741,0.3176542738819135,0.46376505494117737,False
3-9,All,Black,All,-0.6415127797499405,-0.7892481684684753,0.3377735718487308,0.5299816802144051,False
3-9,All,East Asian,All,-0.6353211878587238,-0.8151680529117584,0.3637726193302724,0.6080600917339325,False
3-9,All,Indian,All,-0.595867506349036,-0.7240374982357025,0.3517051989343403,0.6244905889034271,False
3-9,All,Latino_Hispanic,All,-0.703426357483576,-0.8120056390762329,0.3041445449668057,0.34447625279426564,False
3-9,All,Middle Eastern,All,-0.623864742452067,-0.7378605008125305,0.326123618668905,0.49441405385732656,False
3-9,All,Southeast Asian,All,-0.6263417384925891,-0.6463614702224731,0.30726138693888866,0.5123858451843262,False
3-9,All,White,All,-0.8093232252719728,-0.8744342625141144,0.2094486550910614,0.1945471614599228,False
30-39,All,Black,All,-0.7149389062076807,-0.7822898328304291,0.28561110281842855,0.3931530714035034,False
30-39,All,East Asian,All,-0.707054494897073,-0.8525264859199524,0.33258179009336314,0.5380856171250343,False
30-39,All,Indian,All,-0.7156250161457468,-0.8195565044879913,0.3043584707617498,0.35118526220321655,False
30-39,All,Latino_Hispanic,All,-0.6544708760476418,-0.737354040145874,0.30297813279339314,0.31260937452316284,False
30-39,All,Middle Eastern,All,-0.7934557445855304,-0.913166344165802,0.27590414736166535,0.30696310102939617,False
30-39,All,Southeast Asian,All,-0.7203261759809473,-0.8246981501579285,0.2859833638395106,0.37831784784793854,False
30-39,All,White,All,-0.7342709436485165,-0.8527246415615082,0.28830364252768886,0.43429094552993786,False
40-49,All,Black,All,-0.6567417221842333,-0.7285113632678986,0.31156581660391486,0.5620896592736244,False
40-49,All,East Asian,All,-0.7248081958175383,-0.8501713275909424,0.3053190859767083,0.3774661123752594,False
40-49,All,Indian,All,-0.7321664856238799,-0.8214655816555023,0.28964945859375907,0.3185148835182189,False
40-49,All,Latino_Hispanic,All,-0.6724565399768339,-0.772312730550766,0.29504936822282896,0.4421871155500412,False
40-49,All,Middle Eastern,All,-0.7264466140773782,-0.8087236881256104,0.2611465588930295,0.3750992864370347,False
40-49,All,Southeast Asian,All,-0.630787690597671,-0.7504900991916656,0.34236984234515366,0.5435799285769463,False
40-49,All,White,All,-0.7029829846744012,-0.8044014275074005,0.2991804402415824,0.4707278534770012,False
50-59,All,Black,All,-0.6979202721675393,-0.8194480538368225,0.31312261093929583,0.4472428783774376,False
50-59,All,East Asian,All,-0.7555199364369566,-0.8632403314113617,0.2731542090929634,0.3696599155664444,False
50-59,All,Indian,All,-0.6784064830873501,-0.7746647596359253,0.3034866694133293,0.40792885422706593,False
50-59,All,Latino_Hispanic,All,-0.7146327655319262,-0.8066679239273071,0.2778353588739252,0.2362174093723297,False
50-59,All,Middle Eastern,All,-0.7288613779808987,-0.8158887028694153,0.2551111661346624,0.27426475286483776,False
50-59,All,Southeast Asian,All,-0.6649879465556957,-0.8247242867946625,0.3255885293736054,0.5138648077845573,False
50-59,All,White,All,-0.725147988342426,-0.8249326944351196,0.309063512220283,0.32340122759342194,False
60-69,All,Black,All,-0.638870038816028,-0.7914802730083466,0.3789981644682065,0.6821281239390373,False
60-69,All,East Asian,All,-0.7052718004042452,-0.8075127899646759,0.301474434293259,0.3934398889541626,False
60-69,All,Indian,All,-0.7003009008364726,-0.8040100634098053,0.3157694780394344,0.3739715665578842,False
60-69,All,Latino_Hispanic,All,-0.6129366198279471,-0.7076363265514374,0.3676548745502452,0.626858614385128,False
60-69,All,Middle Eastern,All,-0.6670097493566572,-0.7697156071662903,0.28991934348955867,0.5334408208727837,False
60-69,All,Southeast Asian,All,-0.6243527569892732,-0.7781837582588196,0.3372108245651342,0.5822568163275719,False
60-69,All,White,All,-0.6627375948920169,-0.7983576357364655,0.33314943368072375,0.48637785017490376,False
more than 70,All,Black,All,-0.5731619498676578,-0.6436802744865417,0.36116832435816415,0.6573009565472603,False
more than 70,All,East Asian,All,-0.5936127033359795,-0.6650494933128357,0.32664415959810383,0.5178094580769539,False
more than 70,All,Indian,All,-0.562506466418166,-0.6815083920955658,0.3608173980826382,0.599497850984335,False
more than 70,All,Latino_Hispanic,All,-0.43611536285845265,-0.4177740663290024,0.3639953464361344,0.6626178659498692,False
more than 70,All,Middle Eastern,All,-0.5632036798824133,-0.7179257571697235,0.34097159282630396,0.565122939646244,False
more than 70,All,Southeast Asian,All,-0.5532450412812812,-0.6935113370418549,0.39194271411730425,0.6594842225313189,False
more than 70,All,White,All,-0.5416413139975207,-0.5829625129699707,0.37078968543221713,0.5959325209259987,False
0-2,All,All,2001 Reinhard,-0.4876507029591987,-0.4995885342359543,0.3435952310672236,0.6406047530472279,False
0-2,All,All,2016 Zhang,-0.513255661566645,-0.526163786649704,0.3597360872384287,0.648098710924387,False
0-2,All,All,2017 Zhang,-0.48196479041687235,-0.5031527280807495,0.34194018896449724,0.6225998066365719,False
0-2,All,All,2018 Antic,-0.4720199607613545,-0.5050091445446014,0.33416229087817384,0.6102797202765942,False
0-2,All,All,2023 Kang,-0.5101629427290981,-0.5478952825069427,0.3355871173032488,0.6074073985219002,False
10-19,All,All,2001 Reinhard,-0.6902037801662484,-0.8238150179386139,0.3157370028026455,0.4744123220443726,False
10-19,All,All,2016 Zhang,-0.7279023979215992,-0.8817945420742035,0.3327830216194364,0.482393428683281,False
10-19,All,All,2017 Zhang,-0.6814541332242261,-0.8185560703277588,0.3194085300518257,0.4671340361237526,False
10-19,All,All,2018 Antic,-0.6698016512552397,-0.8084215223789215,0.31062675907531345,0.46522421389818186,False
10-19,All,All,2023 Kang,-0.7174356456592001,-0.8418093025684357,0.3198241623290136,0.4532775282859802,False
