,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[0, 0]",5.06,0.352,4.348,5.702,0.018,0.013,387.0,623.0,1.01
"beta[0, 1]",21.85,0.362,21.14,22.502,0.015,0.01,608.0,806.0,1.0
"beta[0, 2]",39.707,0.414,38.893,40.447,0.011,0.008,1333.0,1654.0,1.0
"beta[1, 0]",0.6,0.357,-0.118,1.253,0.019,0.015,368.0,555.0,1.01
"beta[1, 1]",2.873,0.381,2.165,3.584,0.016,0.012,541.0,669.0,1.0
"beta[1, 2]",6.509,0.472,5.655,7.411,0.012,0.009,1440.0,1609.0,1.0
"beta[2, 0]",0.895,0.356,0.273,1.63,0.02,0.015,339.0,484.0,1.01
"beta[2, 1]",2.907,0.401,2.147,3.626,0.016,0.011,661.0,993.0,1.0
"beta[2, 2]",4.44,0.525,3.511,5.437,0.013,0.009,1632.0,1747.0,1.0
"beta[3, 0]",0.644,0.354,-0.01,1.333,0.018,0.014,379.0,583.0,1.01
"beta[3, 1]",3.237,0.391,2.55,4.001,0.015,0.01,706.0,850.0,1.0
"beta[3, 2]",5.906,0.514,4.95,6.886,0.012,0.009,1734.0,1668.0,1.0
"beta[4, 0]",0.592,0.35,-0.025,1.324,0.017,0.012,411.0,612.0,1.01
"beta[4, 1]",2.708,0.401,1.928,3.433,0.015,0.011,716.0,1158.0,1.01
"beta[4, 2]",7.002,0.552,5.992,8.009,0.014,0.01,1544.0,1640.0,1.0
"beta[5, 0]",0.819,0.351,0.142,1.488,0.018,0.012,399.0,668.0,1.01
"beta[5, 1]",4.154,0.399,3.355,4.873,0.015,0.011,684.0,1019.0,1.0
"beta[5, 2]",5.059,0.539,4.043,6.04,0.014,0.01,1578.0,1569.0,1.0
"beta[6, 0]",0.752,0.355,0.108,1.447,0.018,0.013,377.0,604.0,1.01
"beta[6, 1]",2.872,0.395,2.133,3.59,0.015,0.011,700.0,1201.0,1.0
"beta[6, 2]",6.163,0.546,5.054,7.163,0.013,0.009,1753.0,1663.0,1.0
"beta[7, 0]",0.674,0.359,0.014,1.372,0.02,0.015,341.0,714.0,1.01
"beta[7, 1]",3.023,0.392,2.314,3.759,0.014,0.01,738.0,1166.0,1.0
"beta[7, 2]",4.673,0.535,3.616,5.592,0.014,0.01,1430.0,1321.0,1.0
"beta[8, 0]",0.121,0.015,0.094,0.148,0.001,0.0,751.0,1065.0,1.0
"beta[8, 1]",-2.186,0.216,-2.603,-1.8,0.008,0.005,778.0,1188.0,1.0
"beta[8, 2]",2.074,0.451,1.256,2.924,0.01,0.007,1999.0,1198.0,1.0
"beta[9, 0]",0.141,0.014,0.114,0.168,0.001,0.0,737.0,1121.0,1.0
"beta[9, 1]",-0.725,0.209,-1.1,-0.334,0.008,0.005,754.0,1581.0,1.0
"beta[9, 2]",4.969,0.446,4.135,5.788,0.011,0.008,1533.0,1479.0,1.0
"beta[10, 0]",0.161,0.014,0.135,0.188,0.001,0.0,663.0,835.0,1.0
"beta[10, 1]",-1.013,0.215,-1.401,-0.607,0.007,0.005,905.0,1135.0,1.0
"beta[10, 2]",4.215,0.451,3.421,5.066,0.01,0.007,1937.0,1450.0,1.0
"beta[11, 0]",-0.014,0.015,-0.04,0.015,0.001,0.0,623.0,942.0,1.0
"beta[11, 1]",-2.111,0.21,-2.504,-1.716,0.007,0.005,925.0,1291.0,1.0
"beta[11, 2]",3.668,0.451,2.744,4.42,0.011,0.008,1812.0,1697.0,1.0
"beta[12, 0]",-0.027,0.022,-0.064,0.015,0.001,0.0,1020.0,1562.0,1.0
"beta[12, 1]",0.067,0.329,-0.553,0.68,0.01,0.007,1041.0,1432.0,1.0
"beta[12, 2]",-0.053,0.684,-1.271,1.257,0.014,0.016,2293.0,1853.0,1.0
"beta[13, 0]",-0.028,0.021,-0.065,0.014,0.001,0.0,971.0,1383.0,1.0
"beta[13, 1]",-0.177,0.317,-0.741,0.424,0.01,0.007,1081.0,1431.0,1.0
"beta[13, 2]",0.428,0.693,-0.981,1.679,0.013,0.013,2692.0,1577.0,1.0
"beta[14, 0]",-0.056,0.021,-0.096,-0.017,0.001,0.0,1027.0,1058.0,1.0
"beta[14, 1]",0.652,0.333,0.07,1.33,0.009,0.007,1259.0,1243.0,1.0
"beta[14, 2]",0.41,0.717,-0.915,1.718,0.014,0.015,2682.0,1419.0,1.0
"beta[15, 0]",-0.019,0.021,-0.06,0.018,0.001,0.0,1093.0,1382.0,1.0
"beta[15, 1]",-0.729,0.326,-1.328,-0.121,0.01,0.007,1104.0,1346.0,1.0
"beta[15, 2]",0.255,0.708,-1.18,1.445,0.013,0.016,2817.0,1459.0,1.0
"beta[16, 0]",-0.06,0.022,-0.1,-0.019,0.001,0.0,1050.0,1267.0,1.0
"beta[16, 1]",-0.102,0.338,-0.717,0.499,0.01,0.007,1211.0,1628.0,1.0
"beta[16, 2]",0.217,0.708,-1.091,1.493,0.014,0.014,2655.0,1621.0,1.0
"beta[17, 0]",-0.021,0.021,-0.063,0.018,0.001,0.0,1011.0,1435.0,1.0
"beta[17, 1]",0.283,0.326,-0.306,0.891,0.009,0.007,1196.0,1231.0,1.0
"beta[17, 2]",0.277,0.717,-1.049,1.618,0.014,0.015,2570.0,1467.0,1.0
"beta[18, 0]",-0.024,0.021,-0.061,0.017,0.001,0.0,1245.0,1891.0,1.0
"beta[18, 1]",0.014,0.324,-0.585,0.637,0.009,0.006,1270.0,1400.0,1.0
"beta[18, 2]",0.291,0.682,-1.032,1.499,0.013,0.013,2836.0,1730.0,1.0
"beta[19, 0]",-0.016,0.02,-0.053,0.022,0.001,0.0,877.0,1407.0,1.0
"beta[19, 1]",-0.231,0.314,-0.785,0.378,0.008,0.006,1400.0,1454.0,1.0
"beta[19, 2]",0.672,0.695,-0.652,1.93,0.013,0.011,2730.0,1726.0,1.0
"beta[20, 0]",-0.048,0.02,-0.086,-0.011,0.001,0.0,1037.0,1628.0,1.0
"beta[20, 1]",0.808,0.329,0.233,1.417,0.008,0.006,1532.0,1680.0,1.0
"beta[20, 2]",0.956,0.718,-0.389,2.272,0.015,0.012,2251.0,1719.0,1.0
"beta[21, 0]",-0.014,0.021,-0.054,0.024,0.001,0.0,879.0,1329.0,1.0
"beta[21, 1]",-0.632,0.328,-1.201,0.011,0.009,0.006,1402.0,1795.0,1.0
"beta[21, 2]",0.596,0.704,-0.798,1.806,0.014,0.014,2636.0,1376.0,1.0
"beta[22, 0]",-0.053,0.021,-0.093,-0.013,0.001,0.0,1067.0,1212.0,1.0
"beta[22, 1]",-0.224,0.321,-0.834,0.342,0.009,0.006,1280.0,1456.0,1.01
"beta[22, 2]",0.601,0.705,-0.727,1.909,0.015,0.012,2358.0,1807.0,1.0
"beta[23, 0]",-0.026,0.021,-0.063,0.014,0.001,0.0,1075.0,932.0,1.0
"beta[23, 1]",0.193,0.32,-0.368,0.802,0.009,0.006,1360.0,1600.0,1.0
"beta[23, 2]",0.474,0.687,-0.706,1.816,0.014,0.013,2328.0,1565.0,1.0
"beta[24, 0]",-0.013,0.021,-0.054,0.025,0.001,0.0,1063.0,1373.0,1.0
"beta[24, 1]",0.078,0.318,-0.543,0.623,0.009,0.006,1215.0,1697.0,1.0
"beta[24, 2]",0.144,0.696,-1.185,1.401,0.013,0.014,2782.0,1667.0,1.0
"beta[25, 0]",-0.009,0.022,-0.047,0.034,0.001,0.001,901.0,1348.0,1.0
"beta[25, 1]",-0.199,0.333,-0.829,0.404,0.01,0.007,1224.0,1574.0,1.0
"beta[25, 2]",0.65,0.708,-0.626,1.978,0.014,0.012,2654.0,1640.0,1.0
"beta[26, 0]",-0.024,0.021,-0.065,0.013,0.001,0.001,781.0,1061.0,1.0
"beta[26, 1]",0.548,0.329,-0.067,1.161,0.009,0.006,1330.0,1529.0,1.0
"beta[26, 2]",0.761,0.715,-0.557,2.109,0.014,0.012,2662.0,1430.0,1.0
"beta[27, 0]",-0.005,0.021,-0.045,0.033,0.001,0.0,921.0,1252.0,1.0
"beta[27, 1]",-0.619,0.321,-1.239,-0.033,0.009,0.007,1299.0,1443.0,1.0
"beta[27, 2]",0.398,0.7,-0.925,1.678,0.016,0.014,2027.0,1358.0,1.0
"beta[28, 0]",-0.044,0.022,-0.085,-0.002,0.001,0.0,1004.0,1321.0,1.0
"beta[28, 1]",-0.156,0.329,-0.779,0.462,0.009,0.007,1242.0,1339.0,1.0
"beta[28, 2]",0.548,0.737,-0.873,1.889,0.015,0.014,2362.0,1324.0,1.0
"beta[29, 0]",-0.023,0.021,-0.061,0.016,0.001,0.001,825.0,1374.0,1.0
"beta[29, 1]",0.129,0.32,-0.454,0.736,0.009,0.006,1362.0,1416.0,1.0
"beta[29, 2]",0.471,0.71,-0.807,1.851,0.016,0.014,2091.0,1542.0,1.0
"beta[30, 0]",-0.023,0.021,-0.061,0.019,0.001,0.0,1112.0,1469.0,1.0
"beta[30, 1]",-0.076,0.32,-0.626,0.564,0.009,0.006,1327.0,1267.0,1.0
"beta[30, 2]",0.45,0.694,-0.914,1.663,0.014,0.013,2312.0,1627.0,1.0
"beta[31, 0]",0.001,0.021,-0.038,0.04,0.001,0.001,861.0,1295.0,1.0
"beta[31, 1]",-0.499,0.321,-1.134,0.077,0.009,0.006,1320.0,1687.0,1.0
"beta[31, 2]",0.313,0.68,-0.928,1.622,0.014,0.013,2529.0,1540.0,1.0
"beta[32, 0]",-0.029,0.022,-0.07,0.01,0.001,0.001,858.0,1445.0,1.0
"beta[32, 1]",0.67,0.325,0.086,1.289,0.008,0.006,1564.0,1805.0,1.0
"beta[32, 2]",0.816,0.722,-0.499,2.225,0.014,0.012,2681.0,1603.0,1.0
"beta[33, 0]",-0.021,0.021,-0.059,0.019,0.001,0.001,879.0,1588.0,1.0
