Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.4009898900985718,ARNIQA,False
train,71972,60-69,Female,East Asian,2016 Zhang,0.35108834505081177,ARNIQA,False
train,41737,60-69,Female,East Asian,2016 Zhang,0.1949828714132309,ARNIQA,False
train,42570,60-69,Female,East Asian,2016 Zhang,0.4068044424057007,ARNIQA,False
train,16040,60-69,Female,East Asian,2016 Zhang,0.5665318965911865,ARNIQA,False
train,2433,60-69,Female,East Asian,2016 Zhang,0.5615323781967163,ARNIQA,False
train,70466,60-69,Female,East Asian,2016 Zhang,0.2632504403591156,ARNIQA,False
train,1015,60-69,Female,East Asian,2016 Zhang,0.5157854557037354,ARNIQA,False
train,59682,60-69,Female,East Asian,2016 Zhang,0.34040555357933044,ARNIQA,False
train,66648,60-69,Female,East Asian,2016 Zhang,0.36197397112846375,ARNIQA,False
train,74110,60-69,Female,East Asian,2016 Zhang,0.2657788097858429,ARNIQA,False
train,47121,60-69,Female,East Asian,2016 Zhang,0.44039401412010193,ARNIQA,False
train,17688,60-69,Female,East Asian,2016 Zhang,0.21777530014514923,ARNIQA,False
train,45897,60-69,Female,East Asian,2016 Zhang,0.3501882553100586,ARNIQA,False
train,65204,60-69,Female,East Asian,2016 Zhang,0.38448217511177063,ARNIQA,False
val,7091,60-69,Female,East Asian,2016 Zhang,0.45121216773986816,ARNIQA,False
train,38116,60-69,Female,East Asian,2016 Zhang,0.4598411023616791,ARNIQA,False
val,8830,60-69,Female,East Asian,2016 Zhang,0.49946343898773193,ARNIQA,False
train,79103,60-69,Female,East Asian,2016 Zhang,0.2745697796344757,ARNIQA,False
train,41703,60-69,Female,East Asian,2016 Zhang,0.33002686500549316,ARNIQA,False
train,24808,60-69,Female,East Asian,2016 Zhang,0.25517362356185913,ARNIQA,False
train,619,60-69,Female,East Asian,2016 Zhang,0.6737760305404663,ARNIQA,False
train,10342,60-69,Female,Indian,2016 Zhang,0.6636999845504761,ARNIQA,False
val,5997,60-69,Female,Indian,2016 Zhang,0.6157028675079346,ARNIQA,False
train,15763,60-69,Female,Indian,2016 Zhang,0.27910128235816956,ARNIQA,False
train,41118,60-69,Female,Indian,2016 Zhang,0.39854854345321655,ARNIQA,False
train,71974,60-69,Female,Indian,2016 Zhang,0.29176294803619385,ARNIQA,False
train,5638,60-69,Female,Indian,2016 Zhang,0.5977109670639038,ARNIQA,False
train,26848,60-69,Female,Indian,2016 Zhang,0.39610883593559265,ARNIQA,False
train,86022,60-69,Female,Indian,2016 Zhang,0.690618634223938,ARNIQA,False
train,3615,60-69,Female,Indian,2016 Zhang,0.6176679134368896,ARNIQA,False
train,19476,60-69,Female,Indian,2016 Zhang,0.5099260210990906,ARNIQA,False
val,2126,60-69,Female,Indian,2016 Zhang,0.34554213285446167,ARNIQA,False
train,65625,60-69,Female,Indian,2016 Zhang,0.3371810019016266,ARNIQA,False
train,30397,60-69,Female,Indian,2016 Zhang,0.46834975481033325,ARNIQA,False
train,29227,60-69,Female,Indian,2016 Zhang,0.5310205817222595,ARNIQA,False
train,15050,60-69,Female,Indian,2016 Zhang,0.2967667877674103,ARNIQA,False
train,82847,60-69,Female,Indian,2016 Zhang,0.6641101241111755,ARNIQA,False
train,53213,60-69,Female,Indian,2016 Zhang,0.41987526416778564,ARNIQA,False
train,19481,60-69,Female,Indian,2016 Zhang,0.4327661395072937,ARNIQA,False
train,62624,60-69,Female,Indian,2016 Zhang,0.4135410487651825,ARNIQA,False
train,74119,60-69,Female,Indian,2016 Zhang,0.2675338387489319,ARNIQA,False
