Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.6478546857833862,CKDN1,False
train,71972,60-69,Female,East Asian,2016 Zhang,0.5408458113670349,CKDN1,False
train,41737,60-69,Female,East Asian,2016 Zhang,0.5247138142585754,CKDN1,False
train,42570,60-69,Female,East Asian,2016 Zhang,0.4742584824562073,CKDN1,False
train,16040,60-69,Female,East Asian,2016 Zhang,0.5804054141044617,CKDN1,False
train,2433,60-69,Female,East Asian,2016 Zhang,0.5961179733276367,CKDN1,False
train,70466,60-69,Female,East Asian,2016 Zhang,0.4996488094329834,CKDN1,False
train,1015,60-69,Female,East Asian,2016 Zhang,0.5864965319633484,CKDN1,False
train,59682,60-69,Female,East Asian,2016 Zhang,0.6243038177490234,CKDN1,False
train,66648,60-69,Female,East Asian,2016 Zhang,0.5270857810974121,CKDN1,False
train,74110,60-69,Female,East Asian,2016 Zhang,0.5438637733459473,CKDN1,False
train,47121,60-69,Female,East Asian,2016 Zhang,0.5869719982147217,CKDN1,False
train,17688,60-69,Female,East Asian,2016 Zhang,0.516837477684021,CKDN1,False
train,45897,60-69,Female,East Asian,2016 Zhang,0.5691362023353577,CKDN1,False
train,65204,60-69,Female,East Asian,2016 Zhang,0.569559633731842,CKDN1,False
val,7091,60-69,Female,East Asian,2016 Zhang,0.5924131870269775,CKDN1,False
train,38116,60-69,Female,East Asian,2016 Zhang,0.6243476867675781,CKDN1,False
val,8830,60-69,Female,East Asian,2016 Zhang,0.6432675719261169,CKDN1,False
train,79103,60-69,Female,East Asian,2016 Zhang,0.5470497012138367,CKDN1,False
train,41703,60-69,Female,East Asian,2016 Zhang,0.445813924074173,CKDN1,False
train,24808,60-69,Female,East Asian,2016 Zhang,0.5353376269340515,CKDN1,False
train,619,60-69,Female,East Asian,2016 Zhang,0.6295688152313232,CKDN1,False
train,10342,60-69,Female,Indian,2016 Zhang,0.6091518998146057,CKDN1,False
val,5997,60-69,Female,Indian,2016 Zhang,0.5992525815963745,CKDN1,False
train,15763,60-69,Female,Indian,2016 Zhang,0.5308281779289246,CKDN1,False
train,41118,60-69,Female,Indian,2016 Zhang,0.5669522285461426,CKDN1,False
train,71974,60-69,Female,Indian,2016 Zhang,0.5316441059112549,CKDN1,False
train,5638,60-69,Female,Indian,2016 Zhang,0.5957018136978149,CKDN1,False
train,26848,60-69,Female,Indian,2016 Zhang,0.5759727954864502,CKDN1,False
train,86022,60-69,Female,Indian,2016 Zhang,0.5953590273857117,CKDN1,False
train,3615,60-69,Female,Indian,2016 Zhang,0.6239504218101501,CKDN1,False
train,19476,60-69,Female,Indian,2016 Zhang,0.5901833772659302,CKDN1,False
val,2126,60-69,Female,Indian,2016 Zhang,0.5509931445121765,CKDN1,False
train,65625,60-69,Female,Indian,2016 Zhang,0.5857018232345581,CKDN1,False
train,30397,60-69,Female,Indian,2016 Zhang,0.6041684746742249,CKDN1,False
train,29227,60-69,Female,Indian,2016 Zhang,0.6337980031967163,CKDN1,False
train,15050,60-69,Female,Indian,2016 Zhang,0.5753987431526184,CKDN1,False
train,82847,60-69,Female,Indian,2016 Zhang,0.6522254347801208,CKDN1,False
train,53213,60-69,Female,Indian,2016 Zhang,0.5542949438095093,CKDN1,False
train,19481,60-69,Female,Indian,2016 Zhang,0.5757587552070618,CKDN1,False
train,62624,60-69,Female,Indian,2016 Zhang,0.5587967038154602,CKDN1,False
train,74119,60-69,Female,Indian,2016 Zhang,0.5549583435058594,CKDN1,False
train,20777,60-69,Female,Indian,2016 Zhang,0.5307701230049133,CKDN1,False
train,50552,60-69,Female,Indian,2016 Zhang,0.6478020548820496,CKDN1,False
train,30327,40-49,Male,Southeast Asian,2016 Zhang,0.5630598068237305,CKDN1,False
train,5149,40-49,Male,Southeast Asian,2016 Zhang,0.5433450937271118,CKDN1,False
train,18691,40-49,Male,Southeast Asian,2016 Zhang,0.5659255385398865,CKDN1,False
train,34582,40-49,Male,Southeast Asian,2016 Zhang,0.6323241591453552,CKDN1,False
train,75800,40-49,Male,Southeast Asian,2016 Zhang,0.6233418583869934,CKDN1,False
train,79801,40-49,Male,Southeast Asian,2016 Zhang,0.6254188418388367,CKDN1,False
train,75803,40-49,Male,Southeast Asian,2016 Zhang,0.5795620679855347,CKDN1,False
train,40067,40-49,Male,Southeast Asian,2016 Zhang,0.5797168016433716,CKDN1,False
train,81367,40-49,Male,Southeast Asian,2016 Zhang,0.5648395419120789,CKDN1,False
train,1402,40-49,Male,Southeast Asian,2016 Zhang,0.5983816981315613,CKDN1,False
val,9516,40-49,Male,Southeast Asian,2016 Zhang,0.6452779173851013,CKDN1,False
train,82280,40-49,Male,Southeast Asian,2016 Zhang,0.5604391694068909,CKDN1,False
val,10926,40-49,Male,Southeast Asian,2016 Zhang,0.6372156739234924,CKDN1,False
val,1613,40-49,Male,Southeast Asian,2016 Zhang,0.6628416776657104,CKDN1,False
train,42879,40-49,Male,Southeast Asian,2016 Zhang,0.6347599625587463,CKDN1,False
train,23679,40-49,Male,Southeast Asian,2016 Zhang,0.559578001499176,CKDN1,False
train,78872,40-49,Male,Southeast Asian,2016 Zhang,0.5236955285072327,CKDN1,False
train,22996,40-49,Male,Southeast Asian,2016 Zhang,0.6737269759178162,CKDN1,False
train,68437,40-49,Male,Southeast Asian,2016 Zhang,0.5804722905158997,CKDN1,False
train,36979,40-49,Male,Southeast Asian,2016 Zhang,0.6256976127624512,CKDN1,False
train,79129,40-49,Male,Southeast Asian,2016 Zhang,0.5568448305130005,CKDN1,False
train,69249,40-49,Male,Southeast Asian,2016 Zhang,0.5803179144859314,CKDN1,False
val,367,10-19,Female,East Asian,2016 Zhang,0.7031489610671997,CKDN1,False
train,81262,10-19,Female,East Asian,2016 Zhang,0.5835307240486145,CKDN1,False
train,4130,10-19,Female,East Asian,2016 Zhang,0.601860523223877,CKDN1,False
train,77681,10-19,Female,East Asian,2016 Zhang,0.6444886922836304,CKDN1,False
train,21389,10-19,Female,East Asian,2016 Zhang,0.5619328618049622,CKDN1,False
train,49419,10-19,Female,East Asian,2016 Zhang,0.4808697998523712,CKDN1,False
train,32481,10-19,Female,East Asian,2016 Zhang,0.5951735973358154,CKDN1,False
val,8697,10-19,Female,East Asian,2016 Zhang,0.6221755743026733,CKDN1,False
train,54659,10-19,Female,East Asian,2016 Zhang,0.6289925575256348,CKDN1,False
train,22556,10-19,Female,East Asian,2016 Zhang,0.5267771482467651,CKDN1,False
train,22432,10-19,Female,East Asian,2016 Zhang,0.577059805393219,CKDN1,False
train,69223,10-19,Female,East Asian,2016 Zhang,0.6147779226303101,CKDN1,False
train,64454,10-19,Female,East Asian,2016 Zhang,0.5790261626243591,CKDN1,False
train,51572,10-19,Female,East Asian,2016 Zhang,0.6167263388633728,CKDN1,False
train,63072,10-19,Female,East Asian,2016 Zhang,0.5633096694946289,CKDN1,False
train,85642,10-19,Female,East Asian,2016 Zhang,0.6193885207176208,CKDN1,False
train,15902,10-19,Female,East Asian,2016 Zhang,0.6084406971931458,CKDN1,False
train,61884,10-19,Female,East Asian,2016 Zhang,0.5856192708015442,CKDN1,False
train,12936,10-19,Female,East Asian,2016 Zhang,0.6179434061050415,CKDN1,False
train,32089,10-19,Female,East Asian,2016 Zhang,0.4817887544631958,CKDN1,False
train,59362,10-19,Female,East Asian,2016 Zhang,0.6043124794960022,CKDN1,False
train,83863,10-19,Female,East Asian,2016 Zhang,0.5170707702636719,CKDN1,False
train,79057,more than 70,Female,Middle Eastern,2016 Zhang,0.5785837173461914,CKDN1,False
val,6044,more than 70,Female,Middle Eastern,2016 Zhang,0.5796661376953125,CKDN1,False
train,39464,more than 70,Female,Middle Eastern,2016 Zhang,0.6093791127204895,CKDN1,False
train,83063,more than 70,Female,Middle Eastern,2016 Zhang,0.6497771739959717,CKDN1,False
val,10789,more than 70,Female,Middle Eastern,2016 Zhang,0.6836876273155212,CKDN1,False
train,3301,more than 70,Female,Middle Eastern,2016 Zhang,0.6654669642448425,CKDN1,False
train,83841,more than 70,Female,Middle Eastern,2016 Zhang,0.6030272841453552,CKDN1,False
train,22057,more than 70,Female,Middle Eastern,2016 Zhang,0.5929827690124512,CKDN1,False
val,5301,more than 70,Female,Middle Eastern,2016 Zhang,0.5652413368225098,CKDN1,False
train,24708,more than 70,Female,Middle Eastern,2016 Zhang,0.627959668636322,CKDN1,False
train,5288,more than 70,Female,Middle Eastern,2016 Zhang,0.6349003314971924,CKDN1,False
train,78848,more than 70,Female,Middle Eastern,2016 Zhang,0.48791247606277466,CKDN1,False
train,33283,more than 70,Female,Middle Eastern,2016 Zhang,0.5488839149475098,CKDN1,False
