Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.3759576082229614,CLIPIQA,False
train,1485,0-2,Female,Black,2001 Reinhard,0.3032199442386627,CLIPIQA,False
train,30628,0-2,Female,Black,2001 Reinhard,0.7228987812995911,CLIPIQA,False
train,33271,0-2,Female,Black,2001 Reinhard,0.4210788309574127,CLIPIQA,False
train,35651,0-2,Female,Black,2001 Reinhard,0.4733220040798187,CLIPIQA,False
train,39588,0-2,Female,Black,2001 Reinhard,0.49432292580604553,CLIPIQA,False
train,46642,0-2,Female,Black,2001 Reinhard,0.1783038228750229,CLIPIQA,False
train,57663,0-2,Female,Black,2001 Reinhard,0.2830035090446472,CLIPIQA,False
train,57702,0-2,Female,Black,2001 Reinhard,0.23041453957557678,CLIPIQA,False
train,63347,0-2,Female,Black,2001 Reinhard,0.2908095717430115,CLIPIQA,False
train,65859,0-2,Female,Black,2001 Reinhard,0.42992034554481506,CLIPIQA,False
train,66196,0-2,Female,Black,2001 Reinhard,0.3406549394130707,CLIPIQA,False
train,66787,0-2,Female,Black,2001 Reinhard,0.4344823956489563,CLIPIQA,False
train,75619,0-2,Female,Black,2001 Reinhard,0.43559250235557556,CLIPIQA,False
train,77414,0-2,Female,Black,2001 Reinhard,0.5077040195465088,CLIPIQA,False
train,77430,0-2,Female,Black,2001 Reinhard,0.28197401762008667,CLIPIQA,False
train,77690,0-2,Female,Black,2001 Reinhard,0.5467220544815063,CLIPIQA,False
train,78106,0-2,Female,Black,2001 Reinhard,0.6571004390716553,CLIPIQA,False
train,82568,0-2,Female,Black,2001 Reinhard,0.2778181731700897,CLIPIQA,False
train,83117,0-2,Female,Black,2001 Reinhard,0.4929608702659607,CLIPIQA,False
train,86118,0-2,Female,Black,2001 Reinhard,0.5073150396347046,CLIPIQA,False
val,2789,0-2,Female,Black,2001 Reinhard,0.404503732919693,CLIPIQA,False
train,10372,10-19,Female,Black,2001 Reinhard,0.514565646648407,CLIPIQA,False
train,1987,10-19,Female,Black,2001 Reinhard,0.6947676539421082,CLIPIQA,False
train,21146,10-19,Female,Black,2001 Reinhard,0.49646130204200745,CLIPIQA,False
train,30285,10-19,Female,Black,2001 Reinhard,0.2669277489185333,CLIPIQA,False
train,39460,10-19,Female,Black,2001 Reinhard,0.47069039940834045,CLIPIQA,False
train,39553,10-19,Female,Black,2001 Reinhard,0.26871252059936523,CLIPIQA,False
train,59021,10-19,Female,Black,2001 Reinhard,0.3694981038570404,CLIPIQA,False
train,59299,10-19,Female,Black,2001 Reinhard,0.19807417690753937,CLIPIQA,False
