Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.6896904110908508,CNNIQA,False
train,1485,0-2,Female,Black,2001 Reinhard,0.26207485795021057,CNNIQA,False
train,30628,0-2,Female,Black,2001 Reinhard,0.6341562867164612,CNNIQA,False
train,33271,0-2,Female,Black,2001 Reinhard,0.43212148547172546,CNNIQA,False
train,35651,0-2,Female,Black,2001 Reinhard,0.36297228932380676,CNNIQA,False
train,39588,0-2,Female,Black,2001 Reinhard,0.6648396253585815,CNNIQA,False
train,46642,0-2,Female,Black,2001 Reinhard,0.3493676781654358,CNNIQA,False
train,57663,0-2,Female,Black,2001 Reinhard,0.3186397850513458,CNNIQA,False
train,57702,0-2,Female,Black,2001 Reinhard,0.2669062912464142,CNNIQA,False
train,63347,0-2,Female,Black,2001 Reinhard,0.666846513748169,CNNIQA,False
train,65859,0-2,Female,Black,2001 Reinhard,0.4090394377708435,CNNIQA,False
train,66196,0-2,Female,Black,2001 Reinhard,0.7016515731811523,CNNIQA,False
train,66787,0-2,Female,Black,2001 Reinhard,0.29647380113601685,CNNIQA,False
train,75619,0-2,Female,Black,2001 Reinhard,0.5045115947723389,CNNIQA,False
train,77414,0-2,Female,Black,2001 Reinhard,0.3078736364841461,CNNIQA,False
train,77430,0-2,Female,Black,2001 Reinhard,0.2542878985404968,CNNIQA,False
train,77690,0-2,Female,Black,2001 Reinhard,0.6074653267860413,CNNIQA,False
train,78106,0-2,Female,Black,2001 Reinhard,0.3949930965900421,CNNIQA,False
train,82568,0-2,Female,Black,2001 Reinhard,0.7013341784477234,CNNIQA,False
train,83117,0-2,Female,Black,2001 Reinhard,0.44831785559654236,CNNIQA,False
train,86118,0-2,Female,Black,2001 Reinhard,0.2608901262283325,CNNIQA,False
val,2789,0-2,Female,Black,2001 Reinhard,0.2993300259113312,CNNIQA,False
train,10372,10-19,Female,Black,2001 Reinhard,0.5604449510574341,CNNIQA,False
train,1987,10-19,Female,Black,2001 Reinhard,0.6194896101951599,CNNIQA,False
train,21146,10-19,Female,Black,2001 Reinhard,0.32135188579559326,CNNIQA,False
train,30285,10-19,Female,Black,2001 Reinhard,0.27639493346214294,CNNIQA,False
train,39460,10-19,Female,Black,2001 Reinhard,0.499558687210083,CNNIQA,False
train,39553,10-19,Female,Black,2001 Reinhard,0.28952786326408386,CNNIQA,False
train,59021,10-19,Female,Black,2001 Reinhard,0.6108402609825134,CNNIQA,False
train,59299,10-19,Female,Black,2001 Reinhard,0.21737328171730042,CNNIQA,False
train,59451,10-19,Female,Black,2001 Reinhard,0.2854042947292328,CNNIQA,False
train,60633,10-19,Female,Black,2001 Reinhard,0.31586939096450806,CNNIQA,False
train,61647,10-19,Female,Black,2001 Reinhard,0.3008437156677246,CNNIQA,False
train,63420,10-19,Female,Black,2001 Reinhard,0.6918231844902039,CNNIQA,False
train,66469,10-19,Female,Black,2001 Reinhard,0.3067300021648407,CNNIQA,False
train,69227,10-19,Female,Black,2001 Reinhard,0.5661748647689819,CNNIQA,False
train,72594,10-19,Female,Black,2001 Reinhard,0.29164332151412964,CNNIQA,False
train,76550,10-19,Female,Black,2001 Reinhard,0.21056576073169708,CNNIQA,False
train,82340,10-19,Female,Black,2001 Reinhard,0.7097407579421997,CNNIQA,False
train,85202,10-19,Female,Black,2001 Reinhard,0.3422960937023163,CNNIQA,False
val,1455,10-19,Female,Black,2001 Reinhard,0.6507017016410828,CNNIQA,False
val,2846,10-19,Female,Black,2001 Reinhard,0.20093335211277008,CNNIQA,False
val,3819,10-19,Female,Black,2001 Reinhard,0.4062857925891876,CNNIQA,False
val,4512,10-19,Female,Black,2001 Reinhard,0.7146070599555969,CNNIQA,False
train,13981,20-29,Female,Black,2001 Reinhard,0.3552521765232086,CNNIQA,False
train,15029,20-29,Female,Black,2001 Reinhard,0.3261672854423523,CNNIQA,False
train,21989,20-29,Female,Black,2001 Reinhard,0.36807742714881897,CNNIQA,False
train,25780,20-29,Female,Black,2001 Reinhard,0.25928211212158203,CNNIQA,False
train,26174,20-29,Female,Black,2001 Reinhard,0.44208797812461853,CNNIQA,False
train,27354,20-29,Female,Black,2001 Reinhard,0.29702624678611755,CNNIQA,False
train,27461,20-29,Female,Black,2001 Reinhard,0.7012331485748291,CNNIQA,False
train,31776,20-29,Female,Black,2001 Reinhard,0.2454315572977066,CNNIQA,False
train,31918,20-29,Female,Black,2001 Reinhard,0.4653300344944,CNNIQA,False
train,33683,20-29,Female,Black,2001 Reinhard,0.2950599491596222,CNNIQA,False
train,34669,20-29,Female,Black,2001 Reinhard,0.4342733919620514,CNNIQA,False
train,34869,20-29,Female,Black,2001 Reinhard,0.31028255820274353,CNNIQA,False
train,49215,20-29,Female,Black,2001 Reinhard,0.23167718946933746,CNNIQA,False
train,50990,20-29,Female,Black,2001 Reinhard,0.46079614758491516,CNNIQA,False
train,51443,20-29,Female,Black,2001 Reinhard,0.6702282428741455,CNNIQA,False
train,54661,20-29,Female,Black,2001 Reinhard,0.7338682413101196,CNNIQA,False
train,58080,20-29,Female,Black,2001 Reinhard,0.2439747303724289,CNNIQA,False
train,7140,20-29,Female,Black,2001 Reinhard,0.21197360754013062,CNNIQA,False
train,8093,20-29,Female,Black,2001 Reinhard,0.31625956296920776,CNNIQA,False
train,82348,20-29,Female,Black,2001 Reinhard,0.7094062566757202,CNNIQA,False
val,5107,20-29,Female,Black,2001 Reinhard,0.5531995296478271,CNNIQA,False
val,7575,20-29,Female,Black,2001 Reinhard,0.26151910424232483,CNNIQA,False
train,11054,30-39,Female,Black,2001 Reinhard,0.5117350816726685,CNNIQA,False
train,15004,30-39,Female,Black,2001 Reinhard,0.37700968980789185,CNNIQA,False
train,18597,30-39,Female,Black,2001 Reinhard,0.49795961380004883,CNNIQA,False
train,19923,30-39,Female,Black,2001 Reinhard,0.22421227395534515,CNNIQA,False
train,21094,30-39,Female,Black,2001 Reinhard,0.4895164370536804,CNNIQA,False
train,32185,30-39,Female,Black,2001 Reinhard,0.30920538306236267,CNNIQA,False
train,35877,30-39,Female,Black,2001 Reinhard,0.3108617961406708,CNNIQA,False
train,39496,30-39,Female,Black,2001 Reinhard,0.2724158465862274,CNNIQA,False
train,39823,30-39,Female,Black,2001 Reinhard,0.4022741913795471,CNNIQA,False
train,40347,30-39,Female,Black,2001 Reinhard,0.5638731122016907,CNNIQA,False
train,43250,30-39,Female,Black,2001 Reinhard,0.2866766154766083,CNNIQA,False
train,43966,30-39,Female,Black,2001 Reinhard,0.41644853353500366,CNNIQA,False
train,44288,30-39,Female,Black,2001 Reinhard,0.370049387216568,CNNIQA,False
train,46402,30-39,Female,Black,2001 Reinhard,0.29299196600914,CNNIQA,False
train,49242,30-39,Female,Black,2001 Reinhard,0.30445191264152527,CNNIQA,False
train,51925,30-39,Female,Black,2001 Reinhard,0.4821775257587433,CNNIQA,False
train,58712,30-39,Female,Black,2001 Reinhard,0.3705267012119293,CNNIQA,False
train,67463,30-39,Female,Black,2001 Reinhard,0.3182850182056427,CNNIQA,False
val,6526,30-39,Female,Black,2001 Reinhard,0.4140103757381439,CNNIQA,False
val,7014,30-39,Female,Black,2001 Reinhard,0.28167393803596497,CNNIQA,False
val,8164,30-39,Female,Black,2001 Reinhard,0.3467390537261963,CNNIQA,False
val,8317,30-39,Female,Black,2001 Reinhard,0.4611765444278717,CNNIQA,False
train,10833,3-9,Female,Black,2001 Reinhard,0.2986743748188019,CNNIQA,False
train,16463,3-9,Female,Black,2001 Reinhard,0.48880988359451294,CNNIQA,False
train,18869,3-9,Female,Black,2001 Reinhard,0.3587523400783539,CNNIQA,False
train,300,3-9,Female,Black,2001 Reinhard,0.4036008417606354,CNNIQA,False
train,30552,3-9,Female,Black,2001 Reinhard,0.2809939682483673,CNNIQA,False
train,34704,3-9,Female,Black,2001 Reinhard,0.3443254232406616,CNNIQA,False
train,44880,3-9,Female,Black,2001 Reinhard,0.5751180052757263,CNNIQA,False
train,46627,3-9,Female,Black,2001 Reinhard,0.6055535078048706,CNNIQA,False
train,51045,3-9,Female,Black,2001 Reinhard,0.7081297039985657,CNNIQA,False
train,55193,3-9,Female,Black,2001 Reinhard,0.28487348556518555,CNNIQA,False
train,56830,3-9,Female,Black,2001 Reinhard,0.5001440644264221,CNNIQA,False
train,57351,3-9,Female,Black,2001 Reinhard,0.35870248079299927,CNNIQA,False
train,62386,3-9,Female,Black,2001 Reinhard,0.2642686367034912,CNNIQA,False
