Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.999676751592768,CW-SSIM,False
train,71972,60-69,Female,East Asian,2016 Zhang,0.9990088415759815,CW-SSIM,False
train,41737,60-69,Female,East Asian,2016 Zhang,0.9996080411329102,CW-SSIM,False
train,42570,60-69,Female,East Asian,2016 Zhang,0.9996721478818156,CW-SSIM,False
train,16040,60-69,Female,East Asian,2016 Zhang,0.9964329855248619,CW-SSIM,False
train,2433,60-69,Female,East Asian,2016 Zhang,0.9988895543416711,CW-SSIM,False
train,70466,60-69,Female,East Asian,2016 Zhang,0.9990365720322741,CW-SSIM,False
train,1015,60-69,Female,East Asian,2016 Zhang,0.9996707242074829,CW-SSIM,False
train,59682,60-69,Female,East Asian,2016 Zhang,0.9997226169672203,CW-SSIM,False
train,66648,60-69,Female,East Asian,2016 Zhang,0.9997091321901479,CW-SSIM,False
train,74110,60-69,Female,East Asian,2016 Zhang,0.9994126386277401,CW-SSIM,False
train,47121,60-69,Female,East Asian,2016 Zhang,0.999748930760358,CW-SSIM,False
train,17688,60-69,Female,East Asian,2016 Zhang,0.9994559027125481,CW-SSIM,False
train,45897,60-69,Female,East Asian,2016 Zhang,0.9993600283398469,CW-SSIM,False
train,65204,60-69,Female,East Asian,2016 Zhang,0.9992787968362998,CW-SSIM,False
val,7091,60-69,Female,East Asian,2016 Zhang,0.9994811603264981,CW-SSIM,False
train,38116,60-69,Female,East Asian,2016 Zhang,0.9990121395180678,CW-SSIM,False
val,8830,60-69,Female,East Asian,2016 Zhang,0.9993974176601704,CW-SSIM,False
train,79103,60-69,Female,East Asian,2016 Zhang,0.991690867739569,CW-SSIM,False
train,41703,60-69,Female,East Asian,2016 Zhang,0.9996555570040273,CW-SSIM,False
train,24808,60-69,Female,East Asian,2016 Zhang,0.9995219979852046,CW-SSIM,False
train,619,60-69,Female,East Asian,2016 Zhang,0.9993566965428726,CW-SSIM,False
train,10342,60-69,Female,Indian,2016 Zhang,0.9980388878454793,CW-SSIM,False
val,5997,60-69,Female,Indian,2016 Zhang,0.9994078695562746,CW-SSIM,False
train,15763,60-69,Female,Indian,2016 Zhang,0.9993325527363489,CW-SSIM,False
train,41118,60-69,Female,Indian,2016 Zhang,0.9997826303391839,CW-SSIM,False
train,71974,60-69,Female,Indian,2016 Zhang,0.999664339534721,CW-SSIM,False
train,5638,60-69,Female,Indian,2016 Zhang,0.993033556385957,CW-SSIM,False
train,26848,60-69,Female,Indian,2016 Zhang,0.9992576084683182,CW-SSIM,False
train,86022,60-69,Female,Indian,2016 Zhang,0.9994797895260931,CW-SSIM,False
train,3615,60-69,Female,Indian,2016 Zhang,0.9996706417817411,CW-SSIM,False
train,19476,60-69,Female,Indian,2016 Zhang,0.9996398819090069,CW-SSIM,False
val,2126,60-69,Female,Indian,2016 Zhang,0.9993174796842764,CW-SSIM,False
train,65625,60-69,Female,Indian,2016 Zhang,0.9996681285938496,CW-SSIM,False
train,30397,60-69,Female,Indian,2016 Zhang,0.999462606083131,CW-SSIM,False
train,29227,60-69,Female,Indian,2016 Zhang,0.99970164713434,CW-SSIM,False
train,15050,60-69,Female,Indian,2016 Zhang,0.9995993500210945,CW-SSIM,False
train,82847,60-69,Female,Indian,2016 Zhang,0.9997880529240761,CW-SSIM,False
train,53213,60-69,Female,Indian,2016 Zhang,0.9993399638821685,CW-SSIM,False
train,19481,60-69,Female,Indian,2016 Zhang,0.9996819150467083,CW-SSIM,False
train,62624,60-69,Female,Indian,2016 Zhang,0.998636305332894,CW-SSIM,False
train,74119,60-69,Female,Indian,2016 Zhang,0.9997269955180772,CW-SSIM,False
train,20777,60-69,Female,Indian,2016 Zhang,0.9996095433788733,CW-SSIM,False
train,50552,60-69,Female,Indian,2016 Zhang,0.9990357595042394,CW-SSIM,False
train,30327,40-49,Male,Southeast Asian,2016 Zhang,0.9997295249909202,CW-SSIM,False
train,5149,40-49,Male,Southeast Asian,2016 Zhang,0.9996187724812429,CW-SSIM,False
train,18691,40-49,Male,Southeast Asian,2016 Zhang,0.9992006823320938,CW-SSIM,False
train,34582,40-49,Male,Southeast Asian,2016 Zhang,0.9977221394129375,CW-SSIM,False
train,75800,40-49,Male,Southeast Asian,2016 Zhang,0.9994759376009672,CW-SSIM,False
train,79801,40-49,Male,Southeast Asian,2016 Zhang,0.999515509866422,CW-SSIM,False
train,75803,40-49,Male,Southeast Asian,2016 Zhang,0.9996456379231908,CW-SSIM,False
train,40067,40-49,Male,Southeast Asian,2016 Zhang,0.9991176136264326,CW-SSIM,False
train,81367,40-49,Male,Southeast Asian,2016 Zhang,0.9986377815755941,CW-SSIM,False
train,1402,40-49,Male,Southeast Asian,2016 Zhang,0.9996640521072959,CW-SSIM,False
val,9516,40-49,Male,Southeast Asian,2016 Zhang,0.9995630548429659,CW-SSIM,False
train,82280,40-49,Male,Southeast Asian,2016 Zhang,0.9988312588418711,CW-SSIM,False
val,10926,40-49,Male,Southeast Asian,2016 Zhang,0.9987485295518778,CW-SSIM,False
val,1613,40-49,Male,Southeast Asian,2016 Zhang,0.9996171118442678,CW-SSIM,False
train,42879,40-49,Male,Southeast Asian,2016 Zhang,0.9997149181726233,CW-SSIM,False
train,23679,40-49,Male,Southeast Asian,2016 Zhang,0.999345685777622,CW-SSIM,False
train,78872,40-49,Male,Southeast Asian,2016 Zhang,0.9997695474599029,CW-SSIM,False
