Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.4845898151397705,DBCNN,False
train,1485,0-2,Female,Black,2001 Reinhard,0.2693062126636505,DBCNN,False
train,30628,0-2,Female,Black,2001 Reinhard,0.5719383955001831,DBCNN,False
train,33271,0-2,Female,Black,2001 Reinhard,0.3767753839492798,DBCNN,False
train,35651,0-2,Female,Black,2001 Reinhard,0.35027387738227844,DBCNN,False
train,39588,0-2,Female,Black,2001 Reinhard,0.5261645913124084,DBCNN,False
train,46642,0-2,Female,Black,2001 Reinhard,0.22407449781894684,DBCNN,False
train,57663,0-2,Female,Black,2001 Reinhard,0.3040817081928253,DBCNN,False
train,57702,0-2,Female,Black,2001 Reinhard,0.2272297739982605,DBCNN,False
train,63347,0-2,Female,Black,2001 Reinhard,0.449129581451416,DBCNN,False
train,65859,0-2,Female,Black,2001 Reinhard,0.30337727069854736,DBCNN,False
train,66196,0-2,Female,Black,2001 Reinhard,0.3773600459098816,DBCNN,False
train,66787,0-2,Female,Black,2001 Reinhard,0.32945969700813293,DBCNN,False
train,75619,0-2,Female,Black,2001 Reinhard,0.41227540373802185,DBCNN,False
train,77414,0-2,Female,Black,2001 Reinhard,0.3495999574661255,DBCNN,False
train,77430,0-2,Female,Black,2001 Reinhard,0.2919894754886627,DBCNN,False
train,77690,0-2,Female,Black,2001 Reinhard,0.4667664170265198,DBCNN,False
train,78106,0-2,Female,Black,2001 Reinhard,0.46508172154426575,DBCNN,False
train,82568,0-2,Female,Black,2001 Reinhard,0.37370333075523376,DBCNN,False
train,83117,0-2,Female,Black,2001 Reinhard,0.4731018841266632,DBCNN,False
train,86118,0-2,Female,Black,2001 Reinhard,0.3133574426174164,DBCNN,False
val,2789,0-2,Female,Black,2001 Reinhard,0.30541154742240906,DBCNN,False
train,10372,10-19,Female,Black,2001 Reinhard,0.3361970782279968,DBCNN,False
train,1987,10-19,Female,Black,2001 Reinhard,0.5237119197845459,DBCNN,False
train,21146,10-19,Female,Black,2001 Reinhard,0.29589101672172546,DBCNN,False
train,30285,10-19,Female,Black,2001 Reinhard,0.2611753046512604,DBCNN,False
train,39460,10-19,Female,Black,2001 Reinhard,0.42200180888175964,DBCNN,False
train,39553,10-19,Female,Black,2001 Reinhard,0.2080598622560501,DBCNN,False
train,59021,10-19,Female,Black,2001 Reinhard,0.400347501039505,DBCNN,False
train,59299,10-19,Female,Black,2001 Reinhard,0.20989809930324554,DBCNN,False
train,59451,10-19,Female,Black,2001 Reinhard,0.19429908692836761,DBCNN,False
train,60633,10-19,Female,Black,2001 Reinhard,0.2513706386089325,DBCNN,False
train,61647,10-19,Female,Black,2001 Reinhard,0.24819815158843994,DBCNN,False
train,63420,10-19,Female,Black,2001 Reinhard,0.4045124650001526,DBCNN,False
train,66469,10-19,Female,Black,2001 Reinhard,0.31028351187705994,DBCNN,False
train,69227,10-19,Female,Black,2001 Reinhard,0.4215388894081116,DBCNN,False
train,72594,10-19,Female,Black,2001 Reinhard,0.29996949434280396,DBCNN,False
train,76550,10-19,Female,Black,2001 Reinhard,0.24002009630203247,DBCNN,False
train,82340,10-19,Female,Black,2001 Reinhard,0.5499954223632812,DBCNN,False
train,85202,10-19,Female,Black,2001 Reinhard,0.36144065856933594,DBCNN,False
val,1455,10-19,Female,Black,2001 Reinhard,0.5141316056251526,DBCNN,False
val,2846,10-19,Female,Black,2001 Reinhard,0.24023723602294922,DBCNN,False
val,3819,10-19,Female,Black,2001 Reinhard,0.367456316947937,DBCNN,False
val,4512,10-19,Female,Black,2001 Reinhard,0.3519909679889679,DBCNN,False
train,13981,20-29,Female,Black,2001 Reinhard,0.2820671498775482,DBCNN,False
train,15029,20-29,Female,Black,2001 Reinhard,0.39292386174201965,DBCNN,False
train,21989,20-29,Female,Black,2001 Reinhard,0.3347836136817932,DBCNN,False
train,25780,20-29,Female,Black,2001 Reinhard,0.24142684042453766,DBCNN,False
train,26174,20-29,Female,Black,2001 Reinhard,0.4478408992290497,DBCNN,False
train,27354,20-29,Female,Black,2001 Reinhard,0.23847965896129608,DBCNN,False
train,27461,20-29,Female,Black,2001 Reinhard,0.5873348712921143,DBCNN,False
train,31776,20-29,Female,Black,2001 Reinhard,0.2536265254020691,DBCNN,False
train,31918,20-29,Female,Black,2001 Reinhard,0.3915571868419647,DBCNN,False
train,33683,20-29,Female,Black,2001 Reinhard,0.3070192039012909,DBCNN,False
train,34669,20-29,Female,Black,2001 Reinhard,0.32201287150382996,DBCNN,False
train,34869,20-29,Female,Black,2001 Reinhard,0.2805688977241516,DBCNN,False
train,49215,20-29,Female,Black,2001 Reinhard,0.2217603474855423,DBCNN,False
train,50990,20-29,Female,Black,2001 Reinhard,0.4279881417751312,DBCNN,False
train,51443,20-29,Female,Black,2001 Reinhard,0.3432776927947998,DBCNN,False
train,54661,20-29,Female,Black,2001 Reinhard,0.22597210109233856,DBCNN,False
train,58080,20-29,Female,Black,2001 Reinhard,0.28196650743484497,DBCNN,False
train,7140,20-29,Female,Black,2001 Reinhard,0.25797057151794434,DBCNN,False
train,8093,20-29,Female,Black,2001 Reinhard,0.35161200165748596,DBCNN,False
train,82348,20-29,Female,Black,2001 Reinhard,0.4760007858276367,DBCNN,False
val,5107,20-29,Female,Black,2001 Reinhard,0.2284267246723175,DBCNN,False
val,7575,20-29,Female,Black,2001 Reinhard,0.26105356216430664,DBCNN,False
train,11054,30-39,Female,Black,2001 Reinhard,0.6573997139930725,DBCNN,False
train,15004,30-39,Female,Black,2001 Reinhard,0.34275850653648376,DBCNN,False
train,18597,30-39,Female,Black,2001 Reinhard,0.37523555755615234,DBCNN,False
train,19923,30-39,Female,Black,2001 Reinhard,0.24026399850845337,DBCNN,False
train,21094,30-39,Female,Black,2001 Reinhard,0.4650247097015381,DBCNN,False
train,32185,30-39,Female,Black,2001 Reinhard,0.29225537180900574,DBCNN,False
train,35877,30-39,Female,Black,2001 Reinhard,0.285765141248703,DBCNN,False
train,39496,30-39,Female,Black,2001 Reinhard,0.24402038753032684,DBCNN,False
train,39823,30-39,Female,Black,2001 Reinhard,0.27402544021606445,DBCNN,False
train,40347,30-39,Female,Black,2001 Reinhard,0.3557901382446289,DBCNN,False
train,43250,30-39,Female,Black,2001 Reinhard,0.20837976038455963,DBCNN,False
train,43966,30-39,Female,Black,2001 Reinhard,0.4491454064846039,DBCNN,False
train,44288,30-39,Female,Black,2001 Reinhard,0.322562575340271,DBCNN,False
train,46402,30-39,Female,Black,2001 Reinhard,0.2580645978450775,DBCNN,False
train,49242,30-39,Female,Black,2001 Reinhard,0.24784915149211884,DBCNN,False
train,51925,30-39,Female,Black,2001 Reinhard,0.37992218136787415,DBCNN,False
train,58712,30-39,Female,Black,2001 Reinhard,0.27391913533210754,DBCNN,False
train,67463,30-39,Female,Black,2001 Reinhard,0.3043087422847748,DBCNN,False
val,6526,30-39,Female,Black,2001 Reinhard,0.3704553246498108,DBCNN,False
val,7014,30-39,Female,Black,2001 Reinhard,0.2671962380409241,DBCNN,False
val,8164,30-39,Female,Black,2001 Reinhard,0.35393717885017395,DBCNN,False
val,8317,30-39,Female,Black,2001 Reinhard,0.41766059398651123,DBCNN,False
train,10833,3-9,Female,Black,2001 Reinhard,0.285517156124115,DBCNN,False
train,16463,3-9,Female,Black,2001 Reinhard,0.47025540471076965,DBCNN,False
train,18869,3-9,Female,Black,2001 Reinhard,0.36544209718704224,DBCNN,False
train,300,3-9,Female,Black,2001 Reinhard,0.3070652186870575,DBCNN,False
