Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.09361183643341064,DISTS,True
train,1485,0-2,Female,Black,2001 Reinhard,0.1295260190963745,DISTS,True
train,30628,0-2,Female,Black,2001 Reinhard,0.16444891691207886,DISTS,True
train,33271,0-2,Female,Black,2001 Reinhard,0.13218319416046143,DISTS,True
train,35651,0-2,Female,Black,2001 Reinhard,0.18586421012878418,DISTS,True
train,39588,0-2,Female,Black,2001 Reinhard,0.1459125280380249,DISTS,True
train,46642,0-2,Female,Black,2001 Reinhard,0.15740042924880981,DISTS,True
train,57663,0-2,Female,Black,2001 Reinhard,0.14141607284545898,DISTS,True
train,57702,0-2,Female,Black,2001 Reinhard,0.00862419605255127,DISTS,True
train,63347,0-2,Female,Black,2001 Reinhard,0.1929166316986084,DISTS,True
train,65859,0-2,Female,Black,2001 Reinhard,0.14223885536193848,DISTS,True
train,66196,0-2,Female,Black,2001 Reinhard,0.18608355522155762,DISTS,True
train,66787,0-2,Female,Black,2001 Reinhard,0.12163394689559937,DISTS,True
train,75619,0-2,Female,Black,2001 Reinhard,0.19035255908966064,DISTS,True
train,77414,0-2,Female,Black,2001 Reinhard,0.22015118598937988,DISTS,True
train,77430,0-2,Female,Black,2001 Reinhard,0.11802941560745239,DISTS,True
train,77690,0-2,Female,Black,2001 Reinhard,0.13408547639846802,DISTS,True
train,78106,0-2,Female,Black,2001 Reinhard,0.1327776312828064,DISTS,True
train,82568,0-2,Female,Black,2001 Reinhard,0.1774524450302124,DISTS,True
train,83117,0-2,Female,Black,2001 Reinhard,0.1285495162010193,DISTS,True
train,86118,0-2,Female,Black,2001 Reinhard,0.17668652534484863,DISTS,True
val,2789,0-2,Female,Black,2001 Reinhard,0.19553864002227783,DISTS,True
train,10372,10-19,Female,Black,2001 Reinhard,0.16558301448822021,DISTS,True
train,1987,10-19,Female,Black,2001 Reinhard,0.18437618017196655,DISTS,True
train,21146,10-19,Female,Black,2001 Reinhard,0.10886943340301514,DISTS,True
train,30285,10-19,Female,Black,2001 Reinhard,0.1537158489227295,DISTS,True
train,39460,10-19,Female,Black,2001 Reinhard,0.1798120141029358,DISTS,True
train,39553,10-19,Female,Black,2001 Reinhard,0.17291802167892456,DISTS,True
train,59021,10-19,Female,Black,2001 Reinhard,0.11051589250564575,DISTS,True
train,59299,10-19,Female,Black,2001 Reinhard,0.16183370351791382,DISTS,True
train,59451,10-19,Female,Black,2001 Reinhard,0.190779447555542,DISTS,True
train,60633,10-19,Female,Black,2001 Reinhard,0.1678069829940796,DISTS,True
train,61647,10-19,Female,Black,2001 Reinhard,0.1806214451789856,DISTS,True
train,63420,10-19,Female,Black,2001 Reinhard,0.16771763563156128,DISTS,True
train,66469,10-19,Female,Black,2001 Reinhard,0.20297527313232422,DISTS,True
train,69227,10-19,Female,Black,2001 Reinhard,0.15879201889038086,DISTS,True
train,72594,10-19,Female,Black,2001 Reinhard,0.15338939428329468,DISTS,True
train,76550,10-19,Female,Black,2001 Reinhard,0.1999063491821289,DISTS,True
train,82340,10-19,Female,Black,2001 Reinhard,0.16440480947494507,DISTS,True
train,85202,10-19,Female,Black,2001 Reinhard,0.13994693756103516,DISTS,True
val,1455,10-19,Female,Black,2001 Reinhard,0.1744534969329834,DISTS,True
val,2846,10-19,Female,Black,2001 Reinhard,0.12459653615951538,DISTS,True
val,3819,10-19,Female,Black,2001 Reinhard,0.1887284517288208,DISTS,True
val,4512,10-19,Female,Black,2001 Reinhard,0.1366298794746399,DISTS,True
train,13981,20-29,Female,Black,2001 Reinhard,0.15174227952957153,DISTS,True
train,15029,20-29,Female,Black,2001 Reinhard,0.10571730136871338,DISTS,True
train,21989,20-29,Female,Black,2001 Reinhard,0.14312422275543213,DISTS,True
train,25780,20-29,Female,Black,2001 Reinhard,0.14286112785339355,DISTS,True
train,26174,20-29,Female,Black,2001 Reinhard,0.15286195278167725,DISTS,True
train,27354,20-29,Female,Black,2001 Reinhard,0.13323843479156494,DISTS,True
train,27461,20-29,Female,Black,2001 Reinhard,0.15446972846984863,DISTS,True
