Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.9560732841491699,FSIM,False
train,71972,60-69,Female,East Asian,2016 Zhang,0.9701886773109436,FSIM,False
train,41737,60-69,Female,East Asian,2016 Zhang,0.9798953533172607,FSIM,False
train,42570,60-69,Female,East Asian,2016 Zhang,0.9729622602462769,FSIM,False
train,16040,60-69,Female,East Asian,2016 Zhang,0.9808151721954346,FSIM,False
train,2433,60-69,Female,East Asian,2016 Zhang,0.9797980189323425,FSIM,False
train,70466,60-69,Female,East Asian,2016 Zhang,0.9856615662574768,FSIM,False
train,1015,60-69,Female,East Asian,2016 Zhang,0.9937511682510376,FSIM,False
train,59682,60-69,Female,East Asian,2016 Zhang,0.9719610214233398,FSIM,False
train,66648,60-69,Female,East Asian,2016 Zhang,0.9746565222740173,FSIM,False
train,74110,60-69,Female,East Asian,2016 Zhang,0.9865966439247131,FSIM,False
train,47121,60-69,Female,East Asian,2016 Zhang,0.9793077707290649,FSIM,False
train,17688,60-69,Female,East Asian,2016 Zhang,0.9648995399475098,FSIM,False
train,45897,60-69,Female,East Asian,2016 Zhang,0.9884140491485596,FSIM,False
train,65204,60-69,Female,East Asian,2016 Zhang,0.99149090051651,FSIM,False
val,7091,60-69,Female,East Asian,2016 Zhang,0.9685503244400024,FSIM,False
train,38116,60-69,Female,East Asian,2016 Zhang,0.9602110981941223,FSIM,False
val,8830,60-69,Female,East Asian,2016 Zhang,0.9683985114097595,FSIM,False
train,79103,60-69,Female,East Asian,2016 Zhang,0.9712649583816528,FSIM,False
train,41703,60-69,Female,East Asian,2016 Zhang,0.9850702285766602,FSIM,False
train,24808,60-69,Female,East Asian,2016 Zhang,0.9572978615760803,FSIM,False
train,619,60-69,Female,East Asian,2016 Zhang,0.9771217107772827,FSIM,False
train,10342,60-69,Female,Indian,2016 Zhang,0.9849638342857361,FSIM,False
val,5997,60-69,Female,Indian,2016 Zhang,0.9697945713996887,FSIM,False
train,15763,60-69,Female,Indian,2016 Zhang,0.9750515818595886,FSIM,False
train,41118,60-69,Female,Indian,2016 Zhang,0.9825810194015503,FSIM,False
train,71974,60-69,Female,Indian,2016 Zhang,0.9827967286109924,FSIM,False
train,5638,60-69,Female,Indian,2016 Zhang,0.9755970239639282,FSIM,False
train,26848,60-69,Female,Indian,2016 Zhang,0.992509126663208,FSIM,False
train,86022,60-69,Female,Indian,2016 Zhang,0.9775157570838928,FSIM,False
train,3615,60-69,Female,Indian,2016 Zhang,0.9811028838157654,FSIM,False
train,19476,60-69,Female,Indian,2016 Zhang,0.9829558730125427,FSIM,False
