Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.0018620295450091362,GMSD,True
train,1485,0-2,Female,Black,2001 Reinhard,0.0011759363114833832,GMSD,True
train,30628,0-2,Female,Black,2001 Reinhard,0.0008185490150935948,GMSD,True
train,33271,0-2,Female,Black,2001 Reinhard,0.001390935154631734,GMSD,True
train,35651,0-2,Female,Black,2001 Reinhard,0.0019003254128620028,GMSD,True
train,39588,0-2,Female,Black,2001 Reinhard,0.01075879018753767,GMSD,True
train,46642,0-2,Female,Black,2001 Reinhard,0.00398892629891634,GMSD,True
train,57663,0-2,Female,Black,2001 Reinhard,0.0008045120048336685,GMSD,True
train,57702,0-2,Female,Black,2001 Reinhard,0.0014162447769194841,GMSD,True
train,63347,0-2,Female,Black,2001 Reinhard,0.03212973102927208,GMSD,True
train,65859,0-2,Female,Black,2001 Reinhard,0.0053283958695828915,GMSD,True
train,66196,0-2,Female,Black,2001 Reinhard,0.03956787288188934,GMSD,True
train,66787,0-2,Female,Black,2001 Reinhard,0.001661957590840757,GMSD,True
train,75619,0-2,Female,Black,2001 Reinhard,0.008345702663064003,GMSD,True
train,77414,0-2,Female,Black,2001 Reinhard,0.0008563302108086646,GMSD,True
train,77430,0-2,Female,Black,2001 Reinhard,0.0021489334758371115,GMSD,True
train,77690,0-2,Female,Black,2001 Reinhard,0.006323004607111216,GMSD,True
train,78106,0-2,Female,Black,2001 Reinhard,0.0008123301086015999,GMSD,True
train,82568,0-2,Female,Black,2001 Reinhard,0.0041184257715940475,GMSD,True
train,83117,0-2,Female,Black,2001 Reinhard,0.0007235606317408383,GMSD,True
train,86118,0-2,Female,Black,2001 Reinhard,0.001575572183355689,GMSD,True
val,2789,0-2,Female,Black,2001 Reinhard,0.002297952538356185,GMSD,True
train,10372,10-19,Female,Black,2001 Reinhard,0.016961881890892982,GMSD,True
train,1987,10-19,Female,Black,2001 Reinhard,0.001193826668895781,GMSD,True
train,21146,10-19,Female,Black,2001 Reinhard,0.0012945092748850584,GMSD,True
train,30285,10-19,Female,Black,2001 Reinhard,0.0016736137913540006,GMSD,True
train,39460,10-19,Female,Black,2001 Reinhard,0.0013631879119202495,GMSD,True
train,39553,10-19,Female,Black,2001 Reinhard,0.018598884344100952,GMSD,True
train,59021,10-19,Female,Black,2001 Reinhard,0.009208091534674168,GMSD,True
train,59299,10-19,Female,Black,2001 Reinhard,0.0011429536389186978,GMSD,True
