Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,2.1197354793548584,LIQE,False
train,1485,0-2,Female,Black,2001 Reinhard,1.0010756254196167,LIQE,False
train,30628,0-2,Female,Black,2001 Reinhard,4.416825294494629,LIQE,False
train,33271,0-2,Female,Black,2001 Reinhard,2.3053877353668213,LIQE,False
train,35651,0-2,Female,Black,2001 Reinhard,1.9516397714614868,LIQE,False
train,39588,0-2,Female,Black,2001 Reinhard,1.791171669960022,LIQE,False
train,46642,0-2,Female,Black,2001 Reinhard,1.000234842300415,LIQE,False
train,57663,0-2,Female,Black,2001 Reinhard,1.019346833229065,LIQE,False
train,57702,0-2,Female,Black,2001 Reinhard,1.0180617570877075,LIQE,False
train,63347,0-2,Female,Black,2001 Reinhard,1.0092326402664185,LIQE,False
train,65859,0-2,Female,Black,2001 Reinhard,1.5589869022369385,LIQE,False
train,66196,0-2,Female,Black,2001 Reinhard,1.0482447147369385,LIQE,False
train,66787,0-2,Female,Black,2001 Reinhard,1.7872414588928223,LIQE,False
train,75619,0-2,Female,Black,2001 Reinhard,2.2162933349609375,LIQE,False
train,77414,0-2,Female,Black,2001 Reinhard,1.338231086730957,LIQE,False
train,77430,0-2,Female,Black,2001 Reinhard,1.0008066892623901,LIQE,False
train,77690,0-2,Female,Black,2001 Reinhard,2.6803884506225586,LIQE,False
train,78106,0-2,Female,Black,2001 Reinhard,3.5783708095550537,LIQE,False
train,82568,0-2,Female,Black,2001 Reinhard,1.4085813760757446,LIQE,False
train,83117,0-2,Female,Black,2001 Reinhard,2.5659115314483643,LIQE,False
train,86118,0-2,Female,Black,2001 Reinhard,1.0105764865875244,LIQE,False
val,2789,0-2,Female,Black,2001 Reinhard,1.135838270187378,LIQE,False
train,10372,10-19,Female,Black,2001 Reinhard,1.1042193174362183,LIQE,False
train,1987,10-19,Female,Black,2001 Reinhard,3.726732015609741,LIQE,False
train,21146,10-19,Female,Black,2001 Reinhard,1.2103229761123657,LIQE,False
train,30285,10-19,Female,Black,2001 Reinhard,1.0005602836608887,LIQE,False
train,39460,10-19,Female,Black,2001 Reinhard,2.7358741760253906,LIQE,False
train,39553,10-19,Female,Black,2001 Reinhard,1.0376335382461548,LIQE,False
train,59021,10-19,Female,Black,2001 Reinhard,1.7242916822433472,LIQE,False
train,59299,10-19,Female,Black,2001 Reinhard,1.000867247581482,LIQE,False
train,59451,10-19,Female,Black,2001 Reinhard,1.005042314529419,LIQE,False
train,60633,10-19,Female,Black,2001 Reinhard,1.0031927824020386,LIQE,False
train,61647,10-19,Female,Black,2001 Reinhard,1.007003903388977,LIQE,False
train,63420,10-19,Female,Black,2001 Reinhard,1.8388051986694336,LIQE,False
train,66469,10-19,Female,Black,2001 Reinhard,1.0779439210891724,LIQE,False
train,69227,10-19,Female,Black,2001 Reinhard,1.1050753593444824,LIQE,False
train,72594,10-19,Female,Black,2001 Reinhard,1.1912944316864014,LIQE,False
train,76550,10-19,Female,Black,2001 Reinhard,1.001756191253662,LIQE,False
train,82340,10-19,Female,Black,2001 Reinhard,3.1858184337615967,LIQE,False
train,85202,10-19,Female,Black,2001 Reinhard,1.7055422067642212,LIQE,False
val,1455,10-19,Female,Black,2001 Reinhard,2.4129695892333984,LIQE,False
val,2846,10-19,Female,Black,2001 Reinhard,1.001691222190857,LIQE,False
val,3819,10-19,Female,Black,2001 Reinhard,2.4565658569335938,LIQE,False
val,4512,10-19,Female,Black,2001 Reinhard,1.0042502880096436,LIQE,False
train,13981,20-29,Female,Black,2001 Reinhard,1.1653608083724976,LIQE,False
train,15029,20-29,Female,Black,2001 Reinhard,2.7913200855255127,LIQE,False
train,21989,20-29,Female,Black,2001 Reinhard,1.043674349784851,LIQE,False
train,25780,20-29,Female,Black,2001 Reinhard,1.0147093534469604,LIQE,False
train,26174,20-29,Female,Black,2001 Reinhard,2.7665860652923584,LIQE,False
train,27354,20-29,Female,Black,2001 Reinhard,1.0019562244415283,LIQE,False
train,27461,20-29,Female,Black,2001 Reinhard,3.8963236808776855,LIQE,False
train,31776,20-29,Female,Black,2001 Reinhard,1.0031678676605225,LIQE,False
train,31918,20-29,Female,Black,2001 Reinhard,3.2793846130371094,LIQE,False
train,33683,20-29,Female,Black,2001 Reinhard,1.0523064136505127,LIQE,False
train,34669,20-29,Female,Black,2001 Reinhard,2.5956737995147705,LIQE,False
train,34869,20-29,Female,Black,2001 Reinhard,1.0125188827514648,LIQE,False
train,49215,20-29,Female,Black,2001 Reinhard,1.001347303390503,LIQE,False
train,50990,20-29,Female,Black,2001 Reinhard,1.4559884071350098,LIQE,False
train,51443,20-29,Female,Black,2001 Reinhard,1.0190666913986206,LIQE,False
train,54661,20-29,Female,Black,2001 Reinhard,1.001856803894043,LIQE,False
train,58080,20-29,Female,Black,2001 Reinhard,1.0106549263000488,LIQE,False
train,7140,20-29,Female,Black,2001 Reinhard,1.004812240600586,LIQE,False
train,8093,20-29,Female,Black,2001 Reinhard,1.4187678098678589,LIQE,False
train,82348,20-29,Female,Black,2001 Reinhard,3.5816869735717773,LIQE,False
val,5107,20-29,Female,Black,2001 Reinhard,1.0019441843032837,LIQE,False
val,7575,20-29,Female,Black,2001 Reinhard,1.0011833906173706,LIQE,False
train,11054,30-39,Female,Black,2001 Reinhard,3.3949599266052246,LIQE,False
train,15004,30-39,Female,Black,2001 Reinhard,1.0668355226516724,LIQE,False
train,18597,30-39,Female,Black,2001 Reinhard,1.5416916608810425,LIQE,False
train,19923,30-39,Female,Black,2001 Reinhard,1.0003267526626587,LIQE,False
train,21094,30-39,Female,Black,2001 Reinhard,2.8055834770202637,LIQE,False
train,32185,30-39,Female,Black,2001 Reinhard,1.0032141208648682,LIQE,False
train,35877,30-39,Female,Black,2001 Reinhard,1.0719455480575562,LIQE,False
train,39496,30-39,Female,Black,2001 Reinhard,1.0235199928283691,LIQE,False
train,39823,30-39,Female,Black,2001 Reinhard,1.2276089191436768,LIQE,False
train,40347,30-39,Female,Black,2001 Reinhard,1.4658888578414917,LIQE,False
train,43250,30-39,Female,Black,2001 Reinhard,1.0014022588729858,LIQE,False
train,43966,30-39,Female,Black,2001 Reinhard,1.2156314849853516,LIQE,False
train,44288,30-39,Female,Black,2001 Reinhard,2.5389692783355713,LIQE,False
train,46402,30-39,Female,Black,2001 Reinhard,1.0238487720489502,LIQE,False
train,49242,30-39,Female,Black,2001 Reinhard,1.0065715312957764,LIQE,False
train,51925,30-39,Female,Black,2001 Reinhard,2.1056857109069824,LIQE,False
train,58712,30-39,Female,Black,2001 Reinhard,1.209336280822754,LIQE,False
train,67463,30-39,Female,Black,2001 Reinhard,1.0056921243667603,LIQE,False
val,6526,30-39,Female,Black,2001 Reinhard,2.2141854763031006,LIQE,False
val,7014,30-39,Female,Black,2001 Reinhard,1.0037790536880493,LIQE,False
val,8164,30-39,Female,Black,2001 Reinhard,1.7229360342025757,LIQE,False
val,8317,30-39,Female,Black,2001 Reinhard,1.3923581838607788,LIQE,False
train,10833,3-9,Female,Black,2001 Reinhard,1.0032011270523071,LIQE,False
train,16463,3-9,Female,Black,2001 Reinhard,2.8007004261016846,LIQE,False
train,18869,3-9,Female,Black,2001 Reinhard,1.93386709690094,LIQE,False
