Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.2634377181529999,LPIPS,True
train,71972,60-69,Female,East Asian,2016 Zhang,0.17466847598552704,LPIPS,True
train,41737,60-69,Female,East Asian,2016 Zhang,0.16280391812324524,LPIPS,True
train,42570,60-69,Female,East Asian,2016 Zhang,0.2709182798862457,LPIPS,True
train,16040,60-69,Female,East Asian,2016 Zhang,0.09589118510484695,LPIPS,True
train,2433,60-69,Female,East Asian,2016 Zhang,0.19038592278957367,LPIPS,True
train,70466,60-69,Female,East Asian,2016 Zhang,0.2396288812160492,LPIPS,True
train,1015,60-69,Female,East Asian,2016 Zhang,0.1262625753879547,LPIPS,True
train,59682,60-69,Female,East Asian,2016 Zhang,0.20206817984580994,LPIPS,True
train,66648,60-69,Female,East Asian,2016 Zhang,0.19517946243286133,LPIPS,True
train,74110,60-69,Female,East Asian,2016 Zhang,0.1654294729232788,LPIPS,True
train,47121,60-69,Female,East Asian,2016 Zhang,0.19609421491622925,LPIPS,True
train,17688,60-69,Female,East Asian,2016 Zhang,0.3047368824481964,LPIPS,True
train,45897,60-69,Female,East Asian,2016 Zhang,0.1482308804988861,LPIPS,True
train,65204,60-69,Female,East Asian,2016 Zhang,0.11801166832447052,LPIPS,True
val,7091,60-69,Female,East Asian,2016 Zhang,0.16639527678489685,LPIPS,True
train,38116,60-69,Female,East Asian,2016 Zhang,0.2669936716556549,LPIPS,True
val,8830,60-69,Female,East Asian,2016 Zhang,0.21029505133628845,LPIPS,True
train,79103,60-69,Female,East Asian,2016 Zhang,0.22969506680965424,LPIPS,True
train,41703,60-69,Female,East Asian,2016 Zhang,0.19208739697933197,LPIPS,True
train,24808,60-69,Female,East Asian,2016 Zhang,0.3241654336452484,LPIPS,True
train,619,60-69,Female,East Asian,2016 Zhang,0.24151946604251862,LPIPS,True
train,10342,60-69,Female,Indian,2016 Zhang,0.1442970484495163,LPIPS,True
val,5997,60-69,Female,Indian,2016 Zhang,0.23625275492668152,LPIPS,True
train,15763,60-69,Female,Indian,2016 Zhang,0.1918763816356659,LPIPS,True
train,41118,60-69,Female,Indian,2016 Zhang,0.20539066195487976,LPIPS,True
train,71974,60-69,Female,Indian,2016 Zhang,0.2481820285320282,LPIPS,True
train,5638,60-69,Female,Indian,2016 Zhang,0.22601796686649323,LPIPS,True
train,26848,60-69,Female,Indian,2016 Zhang,0.12979336082935333,LPIPS,True
train,86022,60-69,Female,Indian,2016 Zhang,0.1892441213130951,LPIPS,True
train,3615,60-69,Female,Indian,2016 Zhang,0.1434958428144455,LPIPS,True
train,19476,60-69,Female,Indian,2016 Zhang,0.21882115304470062,LPIPS,True
val,2126,60-69,Female,Indian,2016 Zhang,0.19931776821613312,LPIPS,True
train,65625,60-69,Female,Indian,2016 Zhang,0.16065829992294312,LPIPS,True
train,30397,60-69,Female,Indian,2016 Zhang,0.13689656555652618,LPIPS,True
train,29227,60-69,Female,Indian,2016 Zhang,0.14190863072872162,LPIPS,True
train,15050,60-69,Female,Indian,2016 Zhang,0.2555498778820038,LPIPS,True
