Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,43.559328099899766,MAD,True
train,1485,0-2,Female,Black,2001 Reinhard,78.68600878197186,MAD,True
train,30628,0-2,Female,Black,2001 Reinhard,117.11226214098248,MAD,True
train,33271,0-2,Female,Black,2001 Reinhard,62.69354551234583,MAD,True
train,35651,0-2,Female,Black,2001 Reinhard,114.72480272135812,MAD,True
train,39588,0-2,Female,Black,2001 Reinhard,81.271778662118,MAD,True
train,46642,0-2,Female,Black,2001 Reinhard,75.49753259247682,MAD,True
train,57663,0-2,Female,Black,2001 Reinhard,58.09233751929304,MAD,True
train,57702,0-2,Female,Black,2001 Reinhard,0.0,MAD,True
train,63347,0-2,Female,Black,2001 Reinhard,101.71522947205655,MAD,True
train,65859,0-2,Female,Black,2001 Reinhard,103.37567146158125,MAD,True
train,66196,0-2,Female,Black,2001 Reinhard,117.41966289427307,MAD,True
train,66787,0-2,Female,Black,2001 Reinhard,74.52039453261786,MAD,True
train,75619,0-2,Female,Black,2001 Reinhard,113.48951719227513,MAD,True
train,77414,0-2,Female,Black,2001 Reinhard,72.01833858291171,MAD,True
train,77430,0-2,Female,Black,2001 Reinhard,58.79875120671144,MAD,True
train,77690,0-2,Female,Black,2001 Reinhard,75.72846656664598,MAD,True
train,78106,0-2,Female,Black,2001 Reinhard,57.53856782252331,MAD,True
train,82568,0-2,Female,Black,2001 Reinhard,89.17077786278362,MAD,True
train,83117,0-2,Female,Black,2001 Reinhard,53.562716883639126,MAD,True
train,86118,0-2,Female,Black,2001 Reinhard,69.06645838535076,MAD,True
val,2789,0-2,Female,Black,2001 Reinhard,119.61815251670684,MAD,True
train,10372,10-19,Female,Black,2001 Reinhard,104.48872854441981,MAD,True
train,1987,10-19,Female,Black,2001 Reinhard,88.29505504170011,MAD,True
train,21146,10-19,Female,Black,2001 Reinhard,59.797233094146485,MAD,True
train,30285,10-19,Female,Black,2001 Reinhard,104.34019445002201,MAD,True
train,39460,10-19,Female,Black,2001 Reinhard,101.37942819393197,MAD,True
train,39553,10-19,Female,Black,2001 Reinhard,126.38465709141155,MAD,True
train,59021,10-19,Female,Black,2001 Reinhard,89.90612557643506,MAD,True
train,59299,10-19,Female,Black,2001 Reinhard,75.68335556272963,MAD,True
train,59451,10-19,Female,Black,2001 Reinhard,131.01636865681692,MAD,True
train,60633,10-19,Female,Black,2001 Reinhard,81.81573442498448,MAD,True
train,61647,10-19,Female,Black,2001 Reinhard,79.00592503478798,MAD,True
train,63420,10-19,Female,Black,2001 Reinhard,95.42724780599622,MAD,True
train,66469,10-19,Female,Black,2001 Reinhard,93.90189860582991,MAD,True
train,69227,10-19,Female,Black,2001 Reinhard,115.07414626211265,MAD,True
train,72594,10-19,Female,Black,2001 Reinhard,92.23186832374923,MAD,True
train,76550,10-19,Female,Black,2001 Reinhard,112.74243868498233,MAD,True
train,82340,10-19,Female,Black,2001 Reinhard,110.91085238582184,MAD,True
train,85202,10-19,Female,Black,2001 Reinhard,81.9789817061278,MAD,True
val,1455,10-19,Female,Black,2001 Reinhard,92.11418156702261,MAD,True
val,2846,10-19,Female,Black,2001 Reinhard,73.71183588757559,MAD,True
val,3819,10-19,Female,Black,2001 Reinhard,100.85571870857405,MAD,True
val,4512,10-19,Female,Black,2001 Reinhard,82.50612801260412,MAD,True
train,13981,20-29,Female,Black,2001 Reinhard,92.68652736783667,MAD,True
train,15029,20-29,Female,Black,2001 Reinhard,67.17763292877243,MAD,True
train,21989,20-29,Female,Black,2001 Reinhard,73.01644017959416,MAD,True
train,25780,20-29,Female,Black,2001 Reinhard,72.5113709404376,MAD,True
train,26174,20-29,Female,Black,2001 Reinhard,86.00836549736545,MAD,True
train,27354,20-29,Female,Black,2001 Reinhard,79.36463043348131,MAD,True
train,27461,20-29,Female,Black,2001 Reinhard,90.91187626874118,MAD,True
train,31776,20-29,Female,Black,2001 Reinhard,89.83405283662223,MAD,True
train,31918,20-29,Female,Black,2001 Reinhard,98.22245131510515,MAD,True
train,33683,20-29,Female,Black,2001 Reinhard,92.59121198929961,MAD,True
train,34669,20-29,Female,Black,2001 Reinhard,93.6643280135835,MAD,True
