Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.999525467337886,MS-SSIM,False
train,71972,60-69,Female,East Asian,2016 Zhang,0.9989697663782428,MS-SSIM,False
train,41737,60-69,Female,East Asian,2016 Zhang,0.9995523737706832,MS-SSIM,False
train,42570,60-69,Female,East Asian,2016 Zhang,0.9994822555490666,MS-SSIM,False
train,16040,60-69,Female,East Asian,2016 Zhang,0.9979204063894697,MS-SSIM,False
train,2433,60-69,Female,East Asian,2016 Zhang,0.9993848146118105,MS-SSIM,False
train,70466,60-69,Female,East Asian,2016 Zhang,0.999344996132799,MS-SSIM,False
train,1015,60-69,Female,East Asian,2016 Zhang,0.9998079624068463,MS-SSIM,False
train,59682,60-69,Female,East Asian,2016 Zhang,0.9994647711532727,MS-SSIM,False
train,66648,60-69,Female,East Asian,2016 Zhang,0.9996399672557942,MS-SSIM,False
train,74110,60-69,Female,East Asian,2016 Zhang,0.9995485319805922,MS-SSIM,False
train,47121,60-69,Female,East Asian,2016 Zhang,0.9996312579959203,MS-SSIM,False
train,17688,60-69,Female,East Asian,2016 Zhang,0.9995355429644937,MS-SSIM,False
train,45897,60-69,Female,East Asian,2016 Zhang,0.9994238851883532,MS-SSIM,False
train,65204,60-69,Female,East Asian,2016 Zhang,0.9993779779626825,MS-SSIM,False
val,7091,60-69,Female,East Asian,2016 Zhang,0.9994052949113613,MS-SSIM,False
train,38116,60-69,Female,East Asian,2016 Zhang,0.9992969948797342,MS-SSIM,False
val,8830,60-69,Female,East Asian,2016 Zhang,0.9994314925970536,MS-SSIM,False
train,79103,60-69,Female,East Asian,2016 Zhang,0.9958423236461221,MS-SSIM,False
train,41703,60-69,Female,East Asian,2016 Zhang,0.9995816345609889,MS-SSIM,False
train,24808,60-69,Female,East Asian,2016 Zhang,0.9994403097740522,MS-SSIM,False
train,619,60-69,Female,East Asian,2016 Zhang,0.998929316910861,MS-SSIM,False
train,10342,60-69,Female,Indian,2016 Zhang,0.9987053925295063,MS-SSIM,False
val,5997,60-69,Female,Indian,2016 Zhang,0.9994897665913061,MS-SSIM,False
train,15763,60-69,Female,Indian,2016 Zhang,0.9994286238503,MS-SSIM,False
train,41118,60-69,Female,Indian,2016 Zhang,0.9997402691835674,MS-SSIM,False
train,71974,60-69,Female,Indian,2016 Zhang,0.999627924804302,MS-SSIM,False
train,5638,60-69,Female,Indian,2016 Zhang,0.998845087654369,MS-SSIM,False
train,26848,60-69,Female,Indian,2016 Zhang,0.9993532196983804,MS-SSIM,False
train,86022,60-69,Female,Indian,2016 Zhang,0.999074352787544,MS-SSIM,False
train,3615,60-69,Female,Indian,2016 Zhang,0.9994028559311655,MS-SSIM,False
train,19476,60-69,Female,Indian,2016 Zhang,0.9996237779221427,MS-SSIM,False
val,2126,60-69,Female,Indian,2016 Zhang,0.9986783414939935,MS-SSIM,False
train,65625,60-69,Female,Indian,2016 Zhang,0.999631497762166,MS-SSIM,False
train,30397,60-69,Female,Indian,2016 Zhang,0.9994121540712986,MS-SSIM,False
train,29227,60-69,Female,Indian,2016 Zhang,0.9995976502128918,MS-SSIM,False
train,15050,60-69,Female,Indian,2016 Zhang,0.9994456719881513,MS-SSIM,False
train,82847,60-69,Female,Indian,2016 Zhang,0.9996791008356877,MS-SSIM,False
train,53213,60-69,Female,Indian,2016 Zhang,0.9992966927678003,MS-SSIM,False
train,19481,60-69,Female,Indian,2016 Zhang,0.9997376647858086,MS-SSIM,False
train,62624,60-69,Female,Indian,2016 Zhang,0.9994786550703499,MS-SSIM,False
train,74119,60-69,Female,Indian,2016 Zhang,0.9996522857922644,MS-SSIM,False
train,20777,60-69,Female,Indian,2016 Zhang,0.9995914234498072,MS-SSIM,False
train,50552,60-69,Female,Indian,2016 Zhang,0.9990984338242462,MS-SSIM,False
train,30327,40-49,Male,Southeast Asian,2016 Zhang,0.9995348261461786,MS-SSIM,False
train,5149,40-49,Male,Southeast Asian,2016 Zhang,0.9994377796950673,MS-SSIM,False
train,18691,40-49,Male,Southeast Asian,2016 Zhang,0.9991785500207535,MS-SSIM,False
train,34582,40-49,Male,Southeast Asian,2016 Zhang,0.9993009968861921,MS-SSIM,False
train,75800,40-49,Male,Southeast Asian,2016 Zhang,0.9992855932154812,MS-SSIM,False
train,79801,40-49,Male,Southeast Asian,2016 Zhang,0.9995569603186221,MS-SSIM,False
train,75803,40-49,Male,Southeast Asian,2016 Zhang,0.9994507206744314,MS-SSIM,False
train,40067,40-49,Male,Southeast Asian,2016 Zhang,0.9992365553428141,MS-SSIM,False
train,81367,40-49,Male,Southeast Asian,2016 Zhang,0.999123592179328,MS-SSIM,False
train,1402,40-49,Male,Southeast Asian,2016 Zhang,0.9995589940181167,MS-SSIM,False
val,9516,40-49,Male,Southeast Asian,2016 Zhang,0.9994990061929121,MS-SSIM,False
train,82280,40-49,Male,Southeast Asian,2016 Zhang,0.999164566966957,MS-SSIM,False
val,10926,40-49,Male,Southeast Asian,2016 Zhang,0.999221006370353,MS-SSIM,False
val,1613,40-49,Male,Southeast Asian,2016 Zhang,0.9994120539946603,MS-SSIM,False
train,42879,40-49,Male,Southeast Asian,2016 Zhang,0.9994875774511985,MS-SSIM,False
train,23679,40-49,Male,Southeast Asian,2016 Zhang,0.9990056293188281,MS-SSIM,False
train,78872,40-49,Male,Southeast Asian,2016 Zhang,0.9996204138028798,MS-SSIM,False
train,22996,40-49,Male,Southeast Asian,2016 Zhang,0.9996027210638586,MS-SSIM,False
train,68437,40-49,Male,Southeast Asian,2016 Zhang,0.9993582225780777,MS-SSIM,False
train,36979,40-49,Male,Southeast Asian,2016 Zhang,0.9987421909090188,MS-SSIM,False
train,79129,40-49,Male,Southeast Asian,2016 Zhang,0.9993467590622376,MS-SSIM,False
train,69249,40-49,Male,Southeast Asian,2016 Zhang,0.9992379259109512,MS-SSIM,False
