Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,48.88702392578125,MUSIQ,False
train,71972,60-69,Female,East Asian,2016 Zhang,29.64769172668457,MUSIQ,False
train,41737,60-69,Female,East Asian,2016 Zhang,25.3350772857666,MUSIQ,False
train,42570,60-69,Female,East Asian,2016 Zhang,18.22580337524414,MUSIQ,False
train,16040,60-69,Female,East Asian,2016 Zhang,45.984458923339844,MUSIQ,False
train,2433,60-69,Female,East Asian,2016 Zhang,53.88818359375,MUSIQ,False
train,70466,60-69,Female,East Asian,2016 Zhang,18.68760108947754,MUSIQ,False
train,1015,60-69,Female,East Asian,2016 Zhang,57.34186935424805,MUSIQ,False
train,59682,60-69,Female,East Asian,2016 Zhang,39.713783264160156,MUSIQ,False
train,66648,60-69,Female,East Asian,2016 Zhang,52.45012664794922,MUSIQ,False
train,74110,60-69,Female,East Asian,2016 Zhang,36.46376419067383,MUSIQ,False
train,47121,60-69,Female,East Asian,2016 Zhang,56.17477035522461,MUSIQ,False
train,17688,60-69,Female,East Asian,2016 Zhang,12.583084106445312,MUSIQ,False
train,45897,60-69,Female,East Asian,2016 Zhang,44.35264587402344,MUSIQ,False
train,65204,60-69,Female,East Asian,2016 Zhang,52.35746765136719,MUSIQ,False
val,7091,60-69,Female,East Asian,2016 Zhang,51.00328063964844,MUSIQ,False
train,38116,60-69,Female,East Asian,2016 Zhang,50.327510833740234,MUSIQ,False
val,8830,60-69,Female,East Asian,2016 Zhang,57.334266662597656,MUSIQ,False
train,79103,60-69,Female,East Asian,2016 Zhang,24.581279754638672,MUSIQ,False
train,41703,60-69,Female,East Asian,2016 Zhang,17.678539276123047,MUSIQ,False
train,24808,60-69,Female,East Asian,2016 Zhang,19.572647094726562,MUSIQ,False
train,619,60-69,Female,East Asian,2016 Zhang,71.69489288330078,MUSIQ,False
train,10342,60-69,Female,Indian,2016 Zhang,70.46656036376953,MUSIQ,False
val,5997,60-69,Female,Indian,2016 Zhang,59.191776275634766,MUSIQ,False
train,15763,60-69,Female,Indian,2016 Zhang,32.31426239013672,MUSIQ,False
train,41118,60-69,Female,Indian,2016 Zhang,33.06328582763672,MUSIQ,False
train,71974,60-69,Female,Indian,2016 Zhang,33.1843376159668,MUSIQ,False
train,5638,60-69,Female,Indian,2016 Zhang,63.616580963134766,MUSIQ,False
train,26848,60-69,Female,Indian,2016 Zhang,42.19557189941406,MUSIQ,False
train,86022,60-69,Female,Indian,2016 Zhang,59.82688522338867,MUSIQ,False
train,3615,60-69,Female,Indian,2016 Zhang,69.29647827148438,MUSIQ,False
train,19476,60-69,Female,Indian,2016 Zhang,55.658504486083984,MUSIQ,False
val,2126,60-69,Female,Indian,2016 Zhang,36.7734375,MUSIQ,False
train,65625,60-69,Female,Indian,2016 Zhang,52.63386535644531,MUSIQ,False
train,30397,60-69,Female,Indian,2016 Zhang,44.132423400878906,MUSIQ,False
train,29227,60-69,Female,Indian,2016 Zhang,63.39067840576172,MUSIQ,False
train,15050,60-69,Female,Indian,2016 Zhang,47.09898376464844,MUSIQ,False
train,82847,60-69,Female,Indian,2016 Zhang,71.11914825439453,MUSIQ,False
train,53213,60-69,Female,Indian,2016 Zhang,33.850128173828125,MUSIQ,False
train,19481,60-69,Female,Indian,2016 Zhang,51.54434585571289,MUSIQ,False
train,62624,60-69,Female,Indian,2016 Zhang,49.568817138671875,MUSIQ,False
train,74119,60-69,Female,Indian,2016 Zhang,29.967641830444336,MUSIQ,False
train,20777,60-69,Female,Indian,2016 Zhang,32.893959045410156,MUSIQ,False
train,50552,60-69,Female,Indian,2016 Zhang,50.721031188964844,MUSIQ,False
train,30327,40-49,Male,Southeast Asian,2016 Zhang,45.12176513671875,MUSIQ,False
train,5149,40-49,Male,Southeast Asian,2016 Zhang,45.096534729003906,MUSIQ,False
train,18691,40-49,Male,Southeast Asian,2016 Zhang,42.539161682128906,MUSIQ,False
train,34582,40-49,Male,Southeast Asian,2016 Zhang,58.102256774902344,MUSIQ,False
train,75800,40-49,Male,Southeast Asian,2016 Zhang,68.61865997314453,MUSIQ,False
train,79801,40-49,Male,Southeast Asian,2016 Zhang,60.804298400878906,MUSIQ,False
