Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,4.9870452880859375,NIMA,False
train,1485,0-2,Female,Black,2001 Reinhard,3.782062530517578,NIMA,False
train,30628,0-2,Female,Black,2001 Reinhard,4.933742523193359,NIMA,False
train,33271,0-2,Female,Black,2001 Reinhard,4.341020107269287,NIMA,False
train,35651,0-2,Female,Black,2001 Reinhard,4.573246002197266,NIMA,False
train,39588,0-2,Female,Black,2001 Reinhard,4.273197174072266,NIMA,False
train,46642,0-2,Female,Black,2001 Reinhard,4.058557987213135,NIMA,False
train,57663,0-2,Female,Black,2001 Reinhard,4.0823893547058105,NIMA,False
train,57702,0-2,Female,Black,2001 Reinhard,3.372676372528076,NIMA,False
train,63347,0-2,Female,Black,2001 Reinhard,4.1448516845703125,NIMA,False
train,65859,0-2,Female,Black,2001 Reinhard,4.19214391708374,NIMA,False
train,66196,0-2,Female,Black,2001 Reinhard,4.208500862121582,NIMA,False
train,66787,0-2,Female,Black,2001 Reinhard,4.186005115509033,NIMA,False
train,75619,0-2,Female,Black,2001 Reinhard,4.4673590660095215,NIMA,False
train,77414,0-2,Female,Black,2001 Reinhard,4.481362819671631,NIMA,False
train,77430,0-2,Female,Black,2001 Reinhard,3.910766124725342,NIMA,False
train,77690,0-2,Female,Black,2001 Reinhard,4.900973320007324,NIMA,False
train,78106,0-2,Female,Black,2001 Reinhard,4.9117112159729,NIMA,False
train,82568,0-2,Female,Black,2001 Reinhard,4.347283363342285,NIMA,False
train,83117,0-2,Female,Black,2001 Reinhard,4.676085948944092,NIMA,False
train,86118,0-2,Female,Black,2001 Reinhard,3.600048303604126,NIMA,False
val,2789,0-2,Female,Black,2001 Reinhard,4.578798770904541,NIMA,False
train,10372,10-19,Female,Black,2001 Reinhard,4.695245265960693,NIMA,False
train,1987,10-19,Female,Black,2001 Reinhard,5.504546165466309,NIMA,False
train,21146,10-19,Female,Black,2001 Reinhard,3.839552164077759,NIMA,False
train,30285,10-19,Female,Black,2001 Reinhard,3.541531562805176,NIMA,False
train,39460,10-19,Female,Black,2001 Reinhard,4.811805725097656,NIMA,False
train,39553,10-19,Female,Black,2001 Reinhard,4.147610664367676,NIMA,False
train,59021,10-19,Female,Black,2001 Reinhard,4.459310531616211,NIMA,False
train,59299,10-19,Female,Black,2001 Reinhard,3.46256947517395,NIMA,False
train,59451,10-19,Female,Black,2001 Reinhard,3.7907333374023438,NIMA,False
train,60633,10-19,Female,Black,2001 Reinhard,4.145203590393066,NIMA,False
train,61647,10-19,Female,Black,2001 Reinhard,3.6784279346466064,NIMA,False
train,63420,10-19,Female,Black,2001 Reinhard,4.493894577026367,NIMA,False
train,66469,10-19,Female,Black,2001 Reinhard,4.015805721282959,NIMA,False
train,69227,10-19,Female,Black,2001 Reinhard,4.738020420074463,NIMA,False
train,72594,10-19,Female,Black,2001 Reinhard,3.71683931350708,NIMA,False
