Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,6.093337148958775,NIQE,True
train,1485,0-2,Female,Black,2001 Reinhard,8.827328958875253,NIQE,True
train,30628,0-2,Female,Black,2001 Reinhard,4.061539392844996,NIQE,True
train,33271,0-2,Female,Black,2001 Reinhard,4.897553028799982,NIQE,True
train,35651,0-2,Female,Black,2001 Reinhard,5.234356812462343,NIQE,True
train,39588,0-2,Female,Black,2001 Reinhard,4.176222562030886,NIQE,True
train,46642,0-2,Female,Black,2001 Reinhard,5.215397695669997,NIQE,True
train,57663,0-2,Female,Black,2001 Reinhard,4.778142843042531,NIQE,True
train,57702,0-2,Female,Black,2001 Reinhard,7.017237065398649,NIQE,True
train,63347,0-2,Female,Black,2001 Reinhard,7.145409969185557,NIQE,True
train,65859,0-2,Female,Black,2001 Reinhard,4.338209850993149,NIQE,True
train,66196,0-2,Female,Black,2001 Reinhard,4.474648521318697,NIQE,True
train,66787,0-2,Female,Black,2001 Reinhard,5.16806248303239,NIQE,True
train,75619,0-2,Female,Black,2001 Reinhard,5.367536863656848,NIQE,True
train,77414,0-2,Female,Black,2001 Reinhard,6.380011147649411,NIQE,True
train,77430,0-2,Female,Black,2001 Reinhard,8.27008024157992,NIQE,True
train,77690,0-2,Female,Black,2001 Reinhard,4.915394990027398,NIQE,True
train,78106,0-2,Female,Black,2001 Reinhard,4.5775265725345164,NIQE,True
train,82568,0-2,Female,Black,2001 Reinhard,6.065977997860192,NIQE,True
train,83117,0-2,Female,Black,2001 Reinhard,3.377925849324857,NIQE,True
train,86118,0-2,Female,Black,2001 Reinhard,6.370162719871251,NIQE,True
val,2789,0-2,Female,Black,2001 Reinhard,6.418949368926339,NIQE,True
train,10372,10-19,Female,Black,2001 Reinhard,4.814453967691181,NIQE,True
train,1987,10-19,Female,Black,2001 Reinhard,3.1914737341889183,NIQE,True
train,21146,10-19,Female,Black,2001 Reinhard,5.67668628235906,NIQE,True
train,30285,10-19,Female,Black,2001 Reinhard,7.584564713347135,NIQE,True
train,39460,10-19,Female,Black,2001 Reinhard,4.85523184624323,NIQE,True
train,39553,10-19,Female,Black,2001 Reinhard,5.889738873512949,NIQE,True
train,59021,10-19,Female,Black,2001 Reinhard,4.730129866246193,NIQE,True
train,59299,10-19,Female,Black,2001 Reinhard,7.382617917834097,NIQE,True
train,59451,10-19,Female,Black,2001 Reinhard,8.866950646070503,NIQE,True
train,60633,10-19,Female,Black,2001 Reinhard,6.522800389167252,NIQE,True
train,61647,10-19,Female,Black,2001 Reinhard,5.955953516506729,NIQE,True
train,63420,10-19,Female,Black,2001 Reinhard,4.486205495508686,NIQE,True
train,66469,10-19,Female,Black,2001 Reinhard,5.631852177397216,NIQE,True
train,69227,10-19,Female,Black,2001 Reinhard,8.89634756228814,NIQE,True
train,72594,10-19,Female,Black,2001 Reinhard,6.622157190561531,NIQE,True
train,76550,10-19,Female,Black,2001 Reinhard,8.975343349170357,NIQE,True
train,82340,10-19,Female,Black,2001 Reinhard,4.868392562578187,NIQE,True
train,85202,10-19,Female,Black,2001 Reinhard,4.83939640508299,NIQE,True
val,1455,10-19,Female,Black,2001 Reinhard,5.829747052079937,NIQE,True
val,2846,10-19,Female,Black,2001 Reinhard,9.490808755130256,NIQE,True
val,3819,10-19,Female,Black,2001 Reinhard,4.774276929548075,NIQE,True
val,4512,10-19,Female,Black,2001 Reinhard,7.743830436146813,NIQE,True
train,13981,20-29,Female,Black,2001 Reinhard,6.015347394450934,NIQE,True
train,15029,20-29,Female,Black,2001 Reinhard,4.820685531346666,NIQE,True
train,21989,20-29,Female,Black,2001 Reinhard,4.079804082787327,NIQE,True
train,25780,20-29,Female,Black,2001 Reinhard,5.767473385686817,NIQE,True
train,26174,20-29,Female,Black,2001 Reinhard,3.8573281013691347,NIQE,True
train,27354,20-29,Female,Black,2001 Reinhard,7.731038404205885,NIQE,True
train,27461,20-29,Female,Black,2001 Reinhard,3.4476047057590677,NIQE,True
train,31776,20-29,Female,Black,2001 Reinhard,5.9748484013844365,NIQE,True
train,31918,20-29,Female,Black,2001 Reinhard,5.86561815159297,NIQE,True
train,33683,20-29,Female,Black,2001 Reinhard,6.952602085568365,NIQE,True
train,34669,20-29,Female,Black,2001 Reinhard,3.996135740793837,NIQE,True
train,34869,20-29,Female,Black,2001 Reinhard,5.605616915177471,NIQE,True
train,49215,20-29,Female,Black,2001 Reinhard,7.920618120978674,NIQE,True
train,50990,20-29,Female,Black,2001 Reinhard,4.449706552048443,NIQE,True
train,51443,20-29,Female,Black,2001 Reinhard,6.176221710653859,NIQE,True
train,54661,20-29,Female,Black,2001 Reinhard,6.812766206030234,NIQE,True
train,58080,20-29,Female,Black,2001 Reinhard,8.876249072743285,NIQE,True
train,7140,20-29,Female,Black,2001 Reinhard,8.379331239283959,NIQE,True
train,8093,20-29,Female,Black,2001 Reinhard,5.534239331785447,NIQE,True
train,82348,20-29,Female,Black,2001 Reinhard,5.515344914589613,NIQE,True
val,5107,20-29,Female,Black,2001 Reinhard,7.097643545984296,NIQE,True
val,7575,20-29,Female,Black,2001 Reinhard,5.588337756069911,NIQE,True
train,11054,30-39,Female,Black,2001 Reinhard,4.1391917637033515,NIQE,True
train,15004,30-39,Female,Black,2001 Reinhard,6.442806615728474,NIQE,True
train,18597,30-39,Female,Black,2001 Reinhard,6.647786476779134,NIQE,True
train,19923,30-39,Female,Black,2001 Reinhard,7.488080749814721,NIQE,True
train,21094,30-39,Female,Black,2001 Reinhard,4.163433516820749,NIQE,True
train,32185,30-39,Female,Black,2001 Reinhard,6.727814725076148,NIQE,True
train,35877,30-39,Female,Black,2001 Reinhard,5.747762831299529,NIQE,True
train,39496,30-39,Female,Black,2001 Reinhard,6.218951612422141,NIQE,True
train,39823,30-39,Female,Black,2001 Reinhard,5.358291010613165,NIQE,True
train,40347,30-39,Female,Black,2001 Reinhard,5.594756798968967,NIQE,True
train,43250,30-39,Female,Black,2001 Reinhard,7.685359427345098,NIQE,True
train,43966,30-39,Female,Black,2001 Reinhard,4.760575047008671,NIQE,True
train,44288,30-39,Female,Black,2001 Reinhard,5.1759591904058375,NIQE,True
train,46402,30-39,Female,Black,2001 Reinhard,5.485340371980689,NIQE,True
train,49242,30-39,Female,Black,2001 Reinhard,7.125549001089639,NIQE,True
train,51925,30-39,Female,Black,2001 Reinhard,3.7611646131326077,NIQE,True
train,58712,30-39,Female,Black,2001 Reinhard,4.995896862746898,NIQE,True
train,67463,30-39,Female,Black,2001 Reinhard,6.125627478388513,NIQE,True
val,6526,30-39,Female,Black,2001 Reinhard,4.651023058106078,NIQE,True
val,7014,30-39,Female,Black,2001 Reinhard,6.592861753372384,NIQE,True
val,8164,30-39,Female,Black,2001 Reinhard,4.695406689922347,NIQE,True
val,8317,30-39,Female,Black,2001 Reinhard,4.9978076859580645,NIQE,True
train,10833,3-9,Female,Black,2001 Reinhard,6.600022739939509,NIQE,True
train,16463,3-9,Female,Black,2001 Reinhard,4.694291672174187,NIQE,True
train,18869,3-9,Female,Black,2001 Reinhard,4.663513325666962,NIQE,True
train,300,3-9,Female,Black,2001 Reinhard,4.737831518253235,NIQE,True
train,30552,3-9,Female,Black,2001 Reinhard,5.632717997475523,NIQE,True
train,34704,3-9,Female,Black,2001 Reinhard,8.58564641416703,NIQE,True
train,44880,3-9,Female,Black,2001 Reinhard,4.410466418073282,NIQE,True
train,46627,3-9,Female,Black,2001 Reinhard,7.0270724807561376,NIQE,True
train,51045,3-9,Female,Black,2001 Reinhard,3.5747225259085558,NIQE,True
train,55193,3-9,Female,Black,2001 Reinhard,6.664350494945525,NIQE,True
train,56830,3-9,Female,Black,2001 Reinhard,3.9198022020960117,NIQE,True
train,57351,3-9,Female,Black,2001 Reinhard,5.157197298997488,NIQE,True
train,62386,3-9,Female,Black,2001 Reinhard,6.650229312401554,NIQE,True
train,6462,3-9,Female,Black,2001 Reinhard,5.244485969476543,NIQE,True
train,70806,3-9,Female,Black,2001 Reinhard,6.851019999065357,NIQE,True
train,76522,3-9,Female,Black,2001 Reinhard,5.853321093849073,NIQE,True
train,80331,3-9,Female,Black,2001 Reinhard,7.268715084821158,NIQE,True
train,82377,3-9,Female,Black,2001 Reinhard,6.634218405534231,NIQE,True
train,8653,3-9,Female,Black,2001 Reinhard,6.184385878099807,NIQE,True
train,947,3-9,Female,Black,2001 Reinhard,3.163403349198493,NIQE,True
val,5777,3-9,Female,Black,2001 Reinhard,4.910322218258462,NIQE,True
val,6979,3-9,Female,Black,2001 Reinhard,5.563306844475117,NIQE,True
train,10499,40-49,Female,Black,2001 Reinhard,4.783800967934312,NIQE,True
