Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.01589483767747879,NLPD,True
train,1485,0-2,Female,Black,2001 Reinhard,0.018710093572735786,NLPD,True
train,30628,0-2,Female,Black,2001 Reinhard,0.020993994548916817,NLPD,True
train,33271,0-2,Female,Black,2001 Reinhard,0.020099274814128876,NLPD,True
train,35651,0-2,Female,Black,2001 Reinhard,0.027200795710086823,NLPD,True
train,39588,0-2,Female,Black,2001 Reinhard,0.02566673792898655,NLPD,True
train,46642,0-2,Female,Black,2001 Reinhard,0.02593878097832203,NLPD,True
train,57663,0-2,Female,Black,2001 Reinhard,0.017695685848593712,NLPD,True
train,57702,0-2,Female,Black,2001 Reinhard,0.015204808674752712,NLPD,True
train,63347,0-2,Female,Black,2001 Reinhard,0.04020102322101593,NLPD,True
train,65859,0-2,Female,Black,2001 Reinhard,0.0363481380045414,NLPD,True
train,66196,0-2,Female,Black,2001 Reinhard,0.0603918731212616,NLPD,True
train,66787,0-2,Female,Black,2001 Reinhard,0.028711339458823204,NLPD,True
train,75619,0-2,Female,Black,2001 Reinhard,0.05057745799422264,NLPD,True
train,77414,0-2,Female,Black,2001 Reinhard,0.021538160741329193,NLPD,True
train,77430,0-2,Female,Black,2001 Reinhard,0.02326785959303379,NLPD,True
train,77690,0-2,Female,Black,2001 Reinhard,0.03421790152788162,NLPD,True
train,78106,0-2,Female,Black,2001 Reinhard,0.01674134097993374,NLPD,True
train,82568,0-2,Female,Black,2001 Reinhard,0.019011927768588066,NLPD,True
train,83117,0-2,Female,Black,2001 Reinhard,0.018590068444609642,NLPD,True
train,86118,0-2,Female,Black,2001 Reinhard,0.016190893948078156,NLPD,True
val,2789,0-2,Female,Black,2001 Reinhard,0.03301863744854927,NLPD,True
train,10372,10-19,Female,Black,2001 Reinhard,0.04122106730937958,NLPD,True
train,1987,10-19,Female,Black,2001 Reinhard,0.021795054897665977,NLPD,True
train,21146,10-19,Female,Black,2001 Reinhard,0.023565808311104774,NLPD,True
train,30285,10-19,Female,Black,2001 Reinhard,0.02512231469154358,NLPD,True
train,39460,10-19,Female,Black,2001 Reinhard,0.023274796083569527,NLPD,True
train,39553,10-19,Female,Black,2001 Reinhard,0.05136581137776375,NLPD,True
train,59021,10-19,Female,Black,2001 Reinhard,0.030140185728669167,NLPD,True
train,59299,10-19,Female,Black,2001 Reinhard,0.018371788784861565,NLPD,True
train,59451,10-19,Female,Black,2001 Reinhard,0.04006136581301689,NLPD,True
train,60633,10-19,Female,Black,2001 Reinhard,0.017113609239459038,NLPD,True
train,61647,10-19,Female,Black,2001 Reinhard,0.02550603449344635,NLPD,True
train,63420,10-19,Female,Black,2001 Reinhard,0.03633186221122742,NLPD,True
train,66469,10-19,Female,Black,2001 Reinhard,0.026249954476952553,NLPD,True
train,69227,10-19,Female,Black,2001 Reinhard,0.04674267768859863,NLPD,True
train,72594,10-19,Female,Black,2001 Reinhard,0.024565381929278374,NLPD,True
train,76550,10-19,Female,Black,2001 Reinhard,0.034085679799318314,NLPD,True
