Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,55.34081268310547,PIQE,True
train,1485,0-2,Female,Black,2001 Reinhard,70.31735229492188,PIQE,True
train,30628,0-2,Female,Black,2001 Reinhard,28.254789352416992,PIQE,True
train,33271,0-2,Female,Black,2001 Reinhard,42.9009895324707,PIQE,True
train,35651,0-2,Female,Black,2001 Reinhard,49.92924880981445,PIQE,True
train,39588,0-2,Female,Black,2001 Reinhard,32.6591682434082,PIQE,True
train,46642,0-2,Female,Black,2001 Reinhard,54.553077697753906,PIQE,True
train,57663,0-2,Female,Black,2001 Reinhard,38.551151275634766,PIQE,True
train,57702,0-2,Female,Black,2001 Reinhard,66.13285827636719,PIQE,True
train,63347,0-2,Female,Black,2001 Reinhard,56.20098114013672,PIQE,True
train,65859,0-2,Female,Black,2001 Reinhard,33.18938446044922,PIQE,True
train,66196,0-2,Female,Black,2001 Reinhard,39.874786376953125,PIQE,True
train,66787,0-2,Female,Black,2001 Reinhard,52.14807891845703,PIQE,True
train,75619,0-2,Female,Black,2001 Reinhard,46.367881774902344,PIQE,True
train,77414,0-2,Female,Black,2001 Reinhard,54.676753997802734,PIQE,True
train,77430,0-2,Female,Black,2001 Reinhard,66.88397216796875,PIQE,True
train,77690,0-2,Female,Black,2001 Reinhard,45.301429748535156,PIQE,True
train,78106,0-2,Female,Black,2001 Reinhard,38.17605209350586,PIQE,True
train,82568,0-2,Female,Black,2001 Reinhard,46.86587905883789,PIQE,True
train,83117,0-2,Female,Black,2001 Reinhard,27.72894859313965,PIQE,True
train,86118,0-2,Female,Black,2001 Reinhard,52.85626220703125,PIQE,True
val,2789,0-2,Female,Black,2001 Reinhard,54.10932159423828,PIQE,True
train,10372,10-19,Female,Black,2001 Reinhard,55.231754302978516,PIQE,True
train,1987,10-19,Female,Black,2001 Reinhard,25.861936569213867,PIQE,True
train,21146,10-19,Female,Black,2001 Reinhard,37.79692077636719,PIQE,True
train,30285,10-19,Female,Black,2001 Reinhard,65.81181335449219,PIQE,True
train,39460,10-19,Female,Black,2001 Reinhard,39.06995391845703,PIQE,True
train,39553,10-19,Female,Black,2001 Reinhard,58.68669891357422,PIQE,True
train,59021,10-19,Female,Black,2001 Reinhard,49.826560974121094,PIQE,True
train,59299,10-19,Female,Black,2001 Reinhard,68.90587615966797,PIQE,True
train,59451,10-19,Female,Black,2001 Reinhard,71.97184753417969,PIQE,True
train,60633,10-19,Female,Black,2001 Reinhard,44.552921295166016,PIQE,True
train,61647,10-19,Female,Black,2001 Reinhard,42.79906463623047,PIQE,True
train,63420,10-19,Female,Black,2001 Reinhard,44.72734069824219,PIQE,True
train,66469,10-19,Female,Black,2001 Reinhard,41.23773956298828,PIQE,True
train,69227,10-19,Female,Black,2001 Reinhard,55.79901885986328,PIQE,True
train,72594,10-19,Female,Black,2001 Reinhard,54.332889556884766,PIQE,True
train,76550,10-19,Female,Black,2001 Reinhard,71.77049255371094,PIQE,True
train,82340,10-19,Female,Black,2001 Reinhard,47.3586311340332,PIQE,True
train,85202,10-19,Female,Black,2001 Reinhard,48.11256408691406,PIQE,True
val,1455,10-19,Female,Black,2001 Reinhard,50.432891845703125,PIQE,True
val,2846,10-19,Female,Black,2001 Reinhard,78.88539123535156,PIQE,True
val,3819,10-19,Female,Black,2001 Reinhard,46.7180061340332,PIQE,True
val,4512,10-19,Female,Black,2001 Reinhard,71.15275573730469,PIQE,True
train,13981,20-29,Female,Black,2001 Reinhard,44.12287139892578,PIQE,True
train,15029,20-29,Female,Black,2001 Reinhard,35.847312927246094,PIQE,True
train,21989,20-29,Female,Black,2001 Reinhard,29.78392219543457,PIQE,True
train,25780,20-29,Female,Black,2001 Reinhard,46.92238998413086,PIQE,True
train,26174,20-29,Female,Black,2001 Reinhard,28.442415237426758,PIQE,True
