Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,31.757556915283203,PSNR,False
train,1485,0-2,Female,Black,2001 Reinhard,27.559816360473633,PSNR,False
train,30628,0-2,Female,Black,2001 Reinhard,20.579242706298828,PSNR,False
train,33271,0-2,Female,Black,2001 Reinhard,26.909826278686523,PSNR,False
train,35651,0-2,Female,Black,2001 Reinhard,22.872039794921875,PSNR,False
train,39588,0-2,Female,Black,2001 Reinhard,23.047805786132812,PSNR,False
train,46642,0-2,Female,Black,2001 Reinhard,24.757896423339844,PSNR,False
train,57663,0-2,Female,Black,2001 Reinhard,25.69598960876465,PSNR,False
train,57702,0-2,Female,Black,2001 Reinhard,56.75033950805664,PSNR,False
train,63347,0-2,Female,Black,2001 Reinhard,21.412796020507812,PSNR,False
train,65859,0-2,Female,Black,2001 Reinhard,22.941064834594727,PSNR,False
train,66196,0-2,Female,Black,2001 Reinhard,16.05956268310547,PSNR,False
train,66787,0-2,Female,Black,2001 Reinhard,28.16990852355957,PSNR,False
train,75619,0-2,Female,Black,2001 Reinhard,18.692468643188477,PSNR,False
train,77414,0-2,Female,Black,2001 Reinhard,25.7138671875,PSNR,False
train,77430,0-2,Female,Black,2001 Reinhard,29.886171340942383,PSNR,False
train,77690,0-2,Female,Black,2001 Reinhard,26.614295959472656,PSNR,False
train,78106,0-2,Female,Black,2001 Reinhard,26.656879425048828,PSNR,False
train,82568,0-2,Female,Black,2001 Reinhard,21.676353454589844,PSNR,False
train,83117,0-2,Female,Black,2001 Reinhard,29.09519386291504,PSNR,False
train,86118,0-2,Female,Black,2001 Reinhard,29.045040130615234,PSNR,False
val,2789,0-2,Female,Black,2001 Reinhard,20.33686637878418,PSNR,False
train,10372,10-19,Female,Black,2001 Reinhard,20.07708740234375,PSNR,False
train,1987,10-19,Female,Black,2001 Reinhard,23.39282989501953,PSNR,False
train,21146,10-19,Female,Black,2001 Reinhard,26.94659996032715,PSNR,False
train,30285,10-19,Female,Black,2001 Reinhard,23.959232330322266,PSNR,False
train,39460,10-19,Female,Black,2001 Reinhard,22.54055404663086,PSNR,False
train,39553,10-19,Female,Black,2001 Reinhard,24.861923217773438,PSNR,False
train,59021,10-19,Female,Black,2001 Reinhard,26.649215698242188,PSNR,False
train,59299,10-19,Female,Black,2001 Reinhard,27.599008560180664,PSNR,False
train,59451,10-19,Female,Black,2001 Reinhard,26.512962341308594,PSNR,False
train,60633,10-19,Female,Black,2001 Reinhard,26.427494049072266,PSNR,False
train,61647,10-19,Female,Black,2001 Reinhard,23.36241912841797,PSNR,False
train,63420,10-19,Female,Black,2001 Reinhard,19.589187622070312,PSNR,False
train,66469,10-19,Female,Black,2001 Reinhard,18.71581268310547,PSNR,False
train,69227,10-19,Female,Black,2001 Reinhard,20.03921890258789,PSNR,False
train,72594,10-19,Female,Black,2001 Reinhard,24.44314956665039,PSNR,False
train,76550,10-19,Female,Black,2001 Reinhard,18.36397933959961,PSNR,False
train,82340,10-19,Female,Black,2001 Reinhard,21.64708137512207,PSNR,False
train,85202,10-19,Female,Black,2001 Reinhard,23.98675537109375,PSNR,False
val,1455,10-19,Female,Black,2001 Reinhard,19.0964412689209,PSNR,False
val,2846,10-19,Female,Black,2001 Reinhard,30.15213966369629,PSNR,False
val,3819,10-19,Female,Black,2001 Reinhard,18.100000381469727,PSNR,False
val,4512,10-19,Female,Black,2001 Reinhard,25.44007110595703,PSNR,False
train,13981,20-29,Female,Black,2001 Reinhard,23.643835067749023,PSNR,False
train,15029,20-29,Female,Black,2001 Reinhard,28.04232406616211,PSNR,False
train,21989,20-29,Female,Black,2001 Reinhard,26.617982864379883,PSNR,False
train,25780,20-29,Female,Black,2001 Reinhard,25.827804565429688,PSNR,False
train,26174,20-29,Female,Black,2001 Reinhard,23.128196716308594,PSNR,False
train,27354,20-29,Female,Black,2001 Reinhard,28.65044593811035,PSNR,False
train,27461,20-29,Female,Black,2001 Reinhard,22.97231674194336,PSNR,False
train,31776,20-29,Female,Black,2001 Reinhard,27.910926818847656,PSNR,False
train,31918,20-29,Female,Black,2001 Reinhard,25.221416473388672,PSNR,False
train,33683,20-29,Female,Black,2001 Reinhard,21.977155685424805,PSNR,False
train,34669,20-29,Female,Black,2001 Reinhard,19.52048110961914,PSNR,False
train,34869,20-29,Female,Black,2001 Reinhard,27.803024291992188,PSNR,False
train,49215,20-29,Female,Black,2001 Reinhard,23.10580062866211,PSNR,False
train,50990,20-29,Female,Black,2001 Reinhard,22.888660430908203,PSNR,False
train,51443,20-29,Female,Black,2001 Reinhard,25.84498405456543,PSNR,False
train,54661,20-29,Female,Black,2001 Reinhard,22.907400131225586,PSNR,False
train,58080,20-29,Female,Black,2001 Reinhard,26.933700561523438,PSNR,False
train,7140,20-29,Female,Black,2001 Reinhard,27.54696273803711,PSNR,False
train,8093,20-29,Female,Black,2001 Reinhard,27.503673553466797,PSNR,False
train,82348,20-29,Female,Black,2001 Reinhard,21.50221061706543,PSNR,False
val,5107,20-29,Female,Black,2001 Reinhard,23.83184814453125,PSNR,False
