Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,72.64507293701172,PaQ-2-PiQ,False
train,71972,60-69,Female,East Asian,2016 Zhang,66.5236587524414,PaQ-2-PiQ,False
train,41737,60-69,Female,East Asian,2016 Zhang,48.20990753173828,PaQ-2-PiQ,False
train,42570,60-69,Female,East Asian,2016 Zhang,52.21014404296875,PaQ-2-PiQ,False
train,16040,60-69,Female,East Asian,2016 Zhang,65.02278900146484,PaQ-2-PiQ,False
train,2433,60-69,Female,East Asian,2016 Zhang,63.438018798828125,PaQ-2-PiQ,False
train,70466,60-69,Female,East Asian,2016 Zhang,44.65610122680664,PaQ-2-PiQ,False
train,1015,60-69,Female,East Asian,2016 Zhang,66.59537506103516,PaQ-2-PiQ,False
train,59682,60-69,Female,East Asian,2016 Zhang,67.9135513305664,PaQ-2-PiQ,False
train,66648,60-69,Female,East Asian,2016 Zhang,71.13310241699219,PaQ-2-PiQ,False
train,74110,60-69,Female,East Asian,2016 Zhang,52.97370147705078,PaQ-2-PiQ,False
train,47121,60-69,Female,East Asian,2016 Zhang,70.30667114257812,PaQ-2-PiQ,False
train,17688,60-69,Female,East Asian,2016 Zhang,40.14617156982422,PaQ-2-PiQ,False
train,45897,60-69,Female,East Asian,2016 Zhang,62.72755432128906,PaQ-2-PiQ,False
train,65204,60-69,Female,East Asian,2016 Zhang,66.60128784179688,PaQ-2-PiQ,False
val,7091,60-69,Female,East Asian,2016 Zhang,68.6246566772461,PaQ-2-PiQ,False
train,38116,60-69,Female,East Asian,2016 Zhang,69.35308074951172,PaQ-2-PiQ,False
val,8830,60-69,Female,East Asian,2016 Zhang,67.18563079833984,PaQ-2-PiQ,False
train,79103,60-69,Female,East Asian,2016 Zhang,55.36137390136719,PaQ-2-PiQ,False
train,41703,60-69,Female,East Asian,2016 Zhang,50.945274353027344,PaQ-2-PiQ,False
train,24808,60-69,Female,East Asian,2016 Zhang,45.507896423339844,PaQ-2-PiQ,False
train,619,60-69,Female,East Asian,2016 Zhang,73.93404388427734,PaQ-2-PiQ,False
train,10342,60-69,Female,Indian,2016 Zhang,74.0064926147461,PaQ-2-PiQ,False
val,5997,60-69,Female,Indian,2016 Zhang,61.93048095703125,PaQ-2-PiQ,False
train,15763,60-69,Female,Indian,2016 Zhang,47.69440460205078,PaQ-2-PiQ,False
train,41118,60-69,Female,Indian,2016 Zhang,68.26612854003906,PaQ-2-PiQ,False
