Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,1.3951009511947632,PieAPP,True
train,1485,0-2,Female,Black,2001 Reinhard,0.6494693160057068,PieAPP,True
train,30628,0-2,Female,Black,2001 Reinhard,1.5895332098007202,PieAPP,True
train,33271,0-2,Female,Black,2001 Reinhard,0.5399477481842041,PieAPP,True
train,35651,0-2,Female,Black,2001 Reinhard,1.025244116783142,PieAPP,True
train,39588,0-2,Female,Black,2001 Reinhard,0.7878443002700806,PieAPP,True
train,46642,0-2,Female,Black,2001 Reinhard,0.9490906596183777,PieAPP,True
train,57663,0-2,Female,Black,2001 Reinhard,1.6129878759384155,PieAPP,True
train,57702,0-2,Female,Black,2001 Reinhard,0.052016731351614,PieAPP,True
train,63347,0-2,Female,Black,2001 Reinhard,1.1066811084747314,PieAPP,True
train,65859,0-2,Female,Black,2001 Reinhard,1.577653169631958,PieAPP,True
train,66196,0-2,Female,Black,2001 Reinhard,1.670637845993042,PieAPP,True
train,66787,0-2,Female,Black,2001 Reinhard,0.78086918592453,PieAPP,True
train,75619,0-2,Female,Black,2001 Reinhard,2.089728355407715,PieAPP,True
train,77414,0-2,Female,Black,2001 Reinhard,2.783275604248047,PieAPP,True
train,77430,0-2,Female,Black,2001 Reinhard,1.649163007736206,PieAPP,True
train,77690,0-2,Female,Black,2001 Reinhard,1.6345329284667969,PieAPP,True
train,78106,0-2,Female,Black,2001 Reinhard,1.8325356245040894,PieAPP,True
train,82568,0-2,Female,Black,2001 Reinhard,2.8939130306243896,PieAPP,True
train,83117,0-2,Female,Black,2001 Reinhard,1.5374727249145508,PieAPP,True
train,86118,0-2,Female,Black,2001 Reinhard,1.4124631881713867,PieAPP,True
val,2789,0-2,Female,Black,2001 Reinhard,1.3225226402282715,PieAPP,True
train,10372,10-19,Female,Black,2001 Reinhard,2.4289817810058594,PieAPP,True
train,1987,10-19,Female,Black,2001 Reinhard,1.7129361629486084,PieAPP,True
train,21146,10-19,Female,Black,2001 Reinhard,1.3537373542785645,PieAPP,True
train,30285,10-19,Female,Black,2001 Reinhard,0.8504363894462585,PieAPP,True
train,39460,10-19,Female,Black,2001 Reinhard,1.0744738578796387,PieAPP,True
train,39553,10-19,Female,Black,2001 Reinhard,1.214745283126831,PieAPP,True
train,59021,10-19,Female,Black,2001 Reinhard,1.364709734916687,PieAPP,True
train,59299,10-19,Female,Black,2001 Reinhard,1.5058985948562622,PieAPP,True
train,59451,10-19,Female,Black,2001 Reinhard,0.762263298034668,PieAPP,True
train,60633,10-19,Female,Black,2001 Reinhard,1.0000731945037842,PieAPP,True
train,61647,10-19,Female,Black,2001 Reinhard,2.7492921352386475,PieAPP,True
train,63420,10-19,Female,Black,2001 Reinhard,1.9931926727294922,PieAPP,True
train,66469,10-19,Female,Black,2001 Reinhard,4.48363733291626,PieAPP,True
train,69227,10-19,Female,Black,2001 Reinhard,2.265133857727051,PieAPP,True
train,72594,10-19,Female,Black,2001 Reinhard,1.9498636722564697,PieAPP,True
train,76550,10-19,Female,Black,2001 Reinhard,1.5230923891067505,PieAPP,True
train,82340,10-19,Female,Black,2001 Reinhard,2.04750657081604,PieAPP,True
train,85202,10-19,Female,Black,2001 Reinhard,1.481419563293457,PieAPP,True
val,1455,10-19,Female,Black,2001 Reinhard,2.009136199951172,PieAPP,True
val,2846,10-19,Female,Black,2001 Reinhard,1.3408732414245605,PieAPP,True
val,3819,10-19,Female,Black,2001 Reinhard,3.314274311065674,PieAPP,True
val,4512,10-19,Female,Black,2001 Reinhard,0.8721859455108643,PieAPP,True
train,13981,20-29,Female,Black,2001 Reinhard,1.1469963788986206,PieAPP,True
train,15029,20-29,Female,Black,2001 Reinhard,1.9322493076324463,PieAPP,True
train,21989,20-29,Female,Black,2001 Reinhard,1.2829009294509888,PieAPP,True
train,25780,20-29,Female,Black,2001 Reinhard,1.9665249586105347,PieAPP,True
train,26174,20-29,Female,Black,2001 Reinhard,2.8819587230682373,PieAPP,True
train,27354,20-29,Female,Black,2001 Reinhard,0.7668978571891785,PieAPP,True
train,27461,20-29,Female,Black,2001 Reinhard,2.8214657306671143,PieAPP,True
train,31776,20-29,Female,Black,2001 Reinhard,1.4485853910446167,PieAPP,True
train,31918,20-29,Female,Black,2001 Reinhard,1.3794783353805542,PieAPP,True
train,33683,20-29,Female,Black,2001 Reinhard,2.032742500305176,PieAPP,True
train,34669,20-29,Female,Black,2001 Reinhard,3.046543836593628,PieAPP,True
