Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.8833582942570333,SSIM,False
train,71972,60-69,Female,East Asian,2016 Zhang,0.8305408995225139,SSIM,False
train,41737,60-69,Female,East Asian,2016 Zhang,0.9480589141111895,SSIM,False
train,42570,60-69,Female,East Asian,2016 Zhang,0.8121477721783845,SSIM,False
train,16040,60-69,Female,East Asian,2016 Zhang,0.9073589889531009,SSIM,False
train,2433,60-69,Female,East Asian,2016 Zhang,0.9526890106146597,SSIM,False
train,70466,60-69,Female,East Asian,2016 Zhang,0.9371590149358886,SSIM,False
train,1015,60-69,Female,East Asian,2016 Zhang,0.9665465656895501,SSIM,False
train,59682,60-69,Female,East Asian,2016 Zhang,0.9586109963172644,SSIM,False
train,66648,60-69,Female,East Asian,2016 Zhang,0.9210862375962047,SSIM,False
train,74110,60-69,Female,East Asian,2016 Zhang,0.9569426086482574,SSIM,False
train,47121,60-69,Female,East Asian,2016 Zhang,0.9099629456802937,SSIM,False
train,17688,60-69,Female,East Asian,2016 Zhang,0.9144519822722524,SSIM,False
train,45897,60-69,Female,East Asian,2016 Zhang,0.9058014981406889,SSIM,False
train,65204,60-69,Female,East Asian,2016 Zhang,0.9380960355260856,SSIM,False
val,7091,60-69,Female,East Asian,2016 Zhang,0.881059469689389,SSIM,False
train,38116,60-69,Female,East Asian,2016 Zhang,0.9042445967218912,SSIM,False
val,8830,60-69,Female,East Asian,2016 Zhang,0.9699311520407168,SSIM,False
train,79103,60-69,Female,East Asian,2016 Zhang,0.765030960018355,SSIM,False
train,41703,60-69,Female,East Asian,2016 Zhang,0.9464368141755374,SSIM,False
train,24808,60-69,Female,East Asian,2016 Zhang,0.9407325806423288,SSIM,False
train,619,60-69,Female,East Asian,2016 Zhang,0.8837538287028335,SSIM,False
train,10342,60-69,Female,Indian,2016 Zhang,0.929314885465429,SSIM,False
val,5997,60-69,Female,Indian,2016 Zhang,0.9379233910129783,SSIM,False
train,15763,60-69,Female,Indian,2016 Zhang,0.9592045989402597,SSIM,False
train,41118,60-69,Female,Indian,2016 Zhang,0.9169763920177555,SSIM,False
train,71974,60-69,Female,Indian,2016 Zhang,0.9254200255118082,SSIM,False
train,5638,60-69,Female,Indian,2016 Zhang,0.9646919909937764,SSIM,False
train,26848,60-69,Female,Indian,2016 Zhang,0.968883633749191,SSIM,False
train,86022,60-69,Female,Indian,2016 Zhang,0.8779682394142974,SSIM,False
train,3615,60-69,Female,Indian,2016 Zhang,0.9608489023332081,SSIM,False
train,19476,60-69,Female,Indian,2016 Zhang,0.8989228807055333,SSIM,False
val,2126,60-69,Female,Indian,2016 Zhang,0.9634246483752945,SSIM,False
train,65625,60-69,Female,Indian,2016 Zhang,0.9618247781084952,SSIM,False
train,30397,60-69,Female,Indian,2016 Zhang,0.9527873042901503,SSIM,False
train,29227,60-69,Female,Indian,2016 Zhang,0.9586216203192418,SSIM,False
train,15050,60-69,Female,Indian,2016 Zhang,0.9494660595119824,SSIM,False
train,82847,60-69,Female,Indian,2016 Zhang,0.9703101770002941,SSIM,False
train,53213,60-69,Female,Indian,2016 Zhang,0.9408505932941997,SSIM,False
train,19481,60-69,Female,Indian,2016 Zhang,0.8873414047913344,SSIM,False
