Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.5518330931663513,TOPIQ (FR),False
train,71972,60-69,Female,East Asian,2016 Zhang,0.6176018714904785,TOPIQ (FR),False
train,41737,60-69,Female,East Asian,2016 Zhang,0.6021507382392883,TOPIQ (FR),False
train,42570,60-69,Female,East Asian,2016 Zhang,0.4367786645889282,TOPIQ (FR),False
train,16040,60-69,Female,East Asian,2016 Zhang,0.5514294505119324,TOPIQ (FR),False
train,2433,60-69,Female,East Asian,2016 Zhang,0.6009083986282349,TOPIQ (FR),False
train,70466,60-69,Female,East Asian,2016 Zhang,0.5699912905693054,TOPIQ (FR),False
train,1015,60-69,Female,East Asian,2016 Zhang,0.595169723033905,TOPIQ (FR),False
train,59682,60-69,Female,East Asian,2016 Zhang,0.5847739577293396,TOPIQ (FR),False
train,66648,60-69,Female,East Asian,2016 Zhang,0.5400328040122986,TOPIQ (FR),False
train,74110,60-69,Female,East Asian,2016 Zhang,0.6674230098724365,TOPIQ (FR),False
train,47121,60-69,Female,East Asian,2016 Zhang,0.5315702557563782,TOPIQ (FR),False
train,17688,60-69,Female,East Asian,2016 Zhang,0.4436700642108917,TOPIQ (FR),False
train,45897,60-69,Female,East Asian,2016 Zhang,0.6376833319664001,TOPIQ (FR),False
train,65204,60-69,Female,East Asian,2016 Zhang,0.6658819317817688,TOPIQ (FR),False
val,7091,60-69,Female,East Asian,2016 Zhang,0.5941839814186096,TOPIQ (FR),False
train,38116,60-69,Female,East Asian,2016 Zhang,0.5778433084487915,TOPIQ (FR),False
val,8830,60-69,Female,East Asian,2016 Zhang,0.5573189854621887,TOPIQ (FR),False
train,79103,60-69,Female,East Asian,2016 Zhang,0.5939663052558899,TOPIQ (FR),False
train,41703,60-69,Female,East Asian,2016 Zhang,0.5848692655563354,TOPIQ (FR),False
train,24808,60-69,Female,East Asian,2016 Zhang,0.49184930324554443,TOPIQ (FR),False
train,619,60-69,Female,East Asian,2016 Zhang,0.5282277464866638,TOPIQ (FR),False
train,10342,60-69,Female,Indian,2016 Zhang,0.6534767746925354,TOPIQ (FR),False
val,5997,60-69,Female,Indian,2016 Zhang,0.5522963404655457,TOPIQ (FR),False
train,15763,60-69,Female,Indian,2016 Zhang,0.5885754227638245,TOPIQ (FR),False
train,41118,60-69,Female,Indian,2016 Zhang,0.5707091689109802,TOPIQ (FR),False
train,71974,60-69,Female,Indian,2016 Zhang,0.5410536527633667,TOPIQ (FR),False
train,5638,60-69,Female,Indian,2016 Zhang,0.5475881695747375,TOPIQ (FR),False
train,26848,60-69,Female,Indian,2016 Zhang,0.6957371830940247,TOPIQ (FR),False
train,86022,60-69,Female,Indian,2016 Zhang,0.5284467935562134,TOPIQ (FR),False
train,3615,60-69,Female,Indian,2016 Zhang,0.5742952227592468,TOPIQ (FR),False
train,19476,60-69,Female,Indian,2016 Zhang,0.525017261505127,TOPIQ (FR),False
val,2126,60-69,Female,Indian,2016 Zhang,0.5488891005516052,TOPIQ (FR),False
train,65625,60-69,Female,Indian,2016 Zhang,0.5973569750785828,TOPIQ (FR),False
train,30397,60-69,Female,Indian,2016 Zhang,0.6298037171363831,TOPIQ (FR),False
train,29227,60-69,Female,Indian,2016 Zhang,0.6040129065513611,TOPIQ (FR),False
train,15050,60-69,Female,Indian,2016 Zhang,0.5018730163574219,TOPIQ (FR),False
train,82847,60-69,Female,Indian,2016 Zhang,0.4979252517223358,TOPIQ (FR),False
train,53213,60-69,Female,Indian,2016 Zhang,0.5827043652534485,TOPIQ (FR),False
train,19481,60-69,Female,Indian,2016 Zhang,0.49808642268180847,TOPIQ (FR),False
train,62624,60-69,Female,Indian,2016 Zhang,0.6067230701446533,TOPIQ (FR),False
train,74119,60-69,Female,Indian,2016 Zhang,0.5206058621406555,TOPIQ (FR),False
train,20777,60-69,Female,Indian,2016 Zhang,0.5421391129493713,TOPIQ (FR),False
train,50552,60-69,Female,Indian,2016 Zhang,0.5436956882476807,TOPIQ (FR),False
train,30327,40-49,Male,Southeast Asian,2016 Zhang,0.46516814827919006,TOPIQ (FR),False
train,5149,40-49,Male,Southeast Asian,2016 Zhang,0.4806015193462372,TOPIQ (FR),False
