Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,0.30011531710624695,TOPIQ (NR),False
train,71972,60-69,Female,East Asian,2016 Zhang,0.25166013836860657,TOPIQ (NR),False
train,41737,60-69,Female,East Asian,2016 Zhang,0.19259768724441528,TOPIQ (NR),False
train,42570,60-69,Female,East Asian,2016 Zhang,0.17613542079925537,TOPIQ (NR),False
train,16040,60-69,Female,East Asian,2016 Zhang,0.4121841788291931,TOPIQ (NR),False
train,2433,60-69,Female,East Asian,2016 Zhang,0.4175402522087097,TOPIQ (NR),False
train,70466,60-69,Female,East Asian,2016 Zhang,0.13040396571159363,TOPIQ (NR),False
train,1015,60-69,Female,East Asian,2016 Zhang,0.3806096613407135,TOPIQ (NR),False
train,59682,60-69,Female,East Asian,2016 Zhang,0.281086802482605,TOPIQ (NR),False
train,66648,60-69,Female,East Asian,2016 Zhang,0.2991550862789154,TOPIQ (NR),False
train,74110,60-69,Female,East Asian,2016 Zhang,0.21019691228866577,TOPIQ (NR),False
train,47121,60-69,Female,East Asian,2016 Zhang,0.3953647315502167,TOPIQ (NR),False
train,17688,60-69,Female,East Asian,2016 Zhang,0.03870396316051483,TOPIQ (NR),False
train,45897,60-69,Female,East Asian,2016 Zhang,0.28040674328804016,TOPIQ (NR),False
train,65204,60-69,Female,East Asian,2016 Zhang,0.32035329937934875,TOPIQ (NR),False
val,7091,60-69,Female,East Asian,2016 Zhang,0.2919054925441742,TOPIQ (NR),False
train,38116,60-69,Female,East Asian,2016 Zhang,0.3238309621810913,TOPIQ (NR),False
val,8830,60-69,Female,East Asian,2016 Zhang,0.39934417605400085,TOPIQ (NR),False
train,79103,60-69,Female,East Asian,2016 Zhang,0.2223111093044281,TOPIQ (NR),False
train,41703,60-69,Female,East Asian,2016 Zhang,0.11551480740308762,TOPIQ (NR),False
train,24808,60-69,Female,East Asian,2016 Zhang,0.1861899197101593,TOPIQ (NR),False
train,619,60-69,Female,East Asian,2016 Zhang,0.6159775853157043,TOPIQ (NR),False
