Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.9832562208175659,VIF,False
train,1485,0-2,Female,Black,2001 Reinhard,0.991864025592804,VIF,False
train,30628,0-2,Female,Black,2001 Reinhard,0.9815563559532166,VIF,False
train,33271,0-2,Female,Black,2001 Reinhard,0.9962016940116882,VIF,False
train,35651,0-2,Female,Black,2001 Reinhard,0.9796590209007263,VIF,False
train,39588,0-2,Female,Black,2001 Reinhard,1.0013490915298462,VIF,False
train,46642,0-2,Female,Black,2001 Reinhard,0.9798179864883423,VIF,False
train,57663,0-2,Female,Black,2001 Reinhard,0.992793619632721,VIF,False
train,57702,0-2,Female,Black,2001 Reinhard,0.9921556115150452,VIF,False
train,63347,0-2,Female,Black,2001 Reinhard,0.9737198948860168,VIF,False
train,65859,0-2,Female,Black,2001 Reinhard,0.962172269821167,VIF,False
train,66196,0-2,Female,Black,2001 Reinhard,0.9506841897964478,VIF,False
train,66787,0-2,Female,Black,2001 Reinhard,0.9941365122795105,VIF,False
train,75619,0-2,Female,Black,2001 Reinhard,0.9535744786262512,VIF,False
train,77414,0-2,Female,Black,2001 Reinhard,0.9854324460029602,VIF,False
train,77430,0-2,Female,Black,2001 Reinhard,1.005275011062622,VIF,False
train,77690,0-2,Female,Black,2001 Reinhard,0.9721134305000305,VIF,False
train,78106,0-2,Female,Black,2001 Reinhard,0.9963225722312927,VIF,False
train,82568,0-2,Female,Black,2001 Reinhard,0.993806004524231,VIF,False
train,83117,0-2,Female,Black,2001 Reinhard,0.9961588382720947,VIF,False
train,86118,0-2,Female,Black,2001 Reinhard,0.9909138083457947,VIF,False
val,2789,0-2,Female,Black,2001 Reinhard,0.9965782761573792,VIF,False
train,10372,10-19,Female,Black,2001 Reinhard,0.9586820602416992,VIF,False
train,1987,10-19,Female,Black,2001 Reinhard,0.9715006351470947,VIF,False
train,21146,10-19,Female,Black,2001 Reinhard,0.997307538986206,VIF,False
train,30285,10-19,Female,Black,2001 Reinhard,1.0001766681671143,VIF,False
train,39460,10-19,Female,Black,2001 Reinhard,1.0034555196762085,VIF,False
train,39553,10-19,Female,Black,2001 Reinhard,0.9386975765228271,VIF,False
train,59021,10-19,Female,Black,2001 Reinhard,0.9766537547111511,VIF,False
train,59299,10-19,Female,Black,2001 Reinhard,0.991523027420044,VIF,False
train,59451,10-19,Female,Black,2001 Reinhard,0.9491228461265564,VIF,False
train,60633,10-19,Female,Black,2001 Reinhard,0.9945003986358643,VIF,False
train,61647,10-19,Female,Black,2001 Reinhard,0.9801443219184875,VIF,False
train,63420,10-19,Female,Black,2001 Reinhard,0.9699742794036865,VIF,False
train,66469,10-19,Female,Black,2001 Reinhard,1.007733702659607,VIF,False
train,69227,10-19,Female,Black,2001 Reinhard,0.9480592012405396,VIF,False
train,72594,10-19,Female,Black,2001 Reinhard,0.9844521284103394,VIF,False
train,76550,10-19,Female,Black,2001 Reinhard,0.9586495757102966,VIF,False
train,82340,10-19,Female,Black,2001 Reinhard,0.959219753742218,VIF,False
train,85202,10-19,Female,Black,2001 Reinhard,0.9976595044136047,VIF,False
val,1455,10-19,Female,Black,2001 Reinhard,0.9892611503601074,VIF,False
val,2846,10-19,Female,Black,2001 Reinhard,0.9857893586158752,VIF,False
val,3819,10-19,Female,Black,2001 Reinhard,0.9910885095596313,VIF,False
val,4512,10-19,Female,Black,2001 Reinhard,0.9772791266441345,VIF,False
train,13981,20-29,Female,Black,2001 Reinhard,0.9930015206336975,VIF,False
train,15029,20-29,Female,Black,2001 Reinhard,0.990077555179596,VIF,False
train,21989,20-29,Female,Black,2001 Reinhard,0.9987462162971497,VIF,False
train,25780,20-29,Female,Black,2001 Reinhard,0.994330644607544,VIF,False
train,26174,20-29,Female,Black,2001 Reinhard,1.0056666135787964,VIF,False
train,27354,20-29,Female,Black,2001 Reinhard,0.9544147849082947,VIF,False
train,27461,20-29,Female,Black,2001 Reinhard,0.9865701198577881,VIF,False
train,31776,20-29,Female,Black,2001 Reinhard,0.9612776637077332,VIF,False
train,31918,20-29,Female,Black,2001 Reinhard,0.9584764838218689,VIF,False
train,33683,20-29,Female,Black,2001 Reinhard,1.0063791275024414,VIF,False
train,34669,20-29,Female,Black,2001 Reinhard,0.9876206517219543,VIF,False
train,34869,20-29,Female,Black,2001 Reinhard,0.982427716255188,VIF,False
train,49215,20-29,Female,Black,2001 Reinhard,0.9532958269119263,VIF,False
train,50990,20-29,Female,Black,2001 Reinhard,0.919743537902832,VIF,False
train,51443,20-29,Female,Black,2001 Reinhard,0.9777914881706238,VIF,False
train,54661,20-29,Female,Black,2001 Reinhard,0.9902892708778381,VIF,False
train,58080,20-29,Female,Black,2001 Reinhard,0.9856637716293335,VIF,False
train,7140,20-29,Female,Black,2001 Reinhard,0.9536499977111816,VIF,False
train,8093,20-29,Female,Black,2001 Reinhard,0.9732811450958252,VIF,False
train,82348,20-29,Female,Black,2001 Reinhard,0.9874831438064575,VIF,False
val,5107,20-29,Female,Black,2001 Reinhard,0.9200511574745178,VIF,False
val,7575,20-29,Female,Black,2001 Reinhard,0.9238570332527161,VIF,False
train,11054,30-39,Female,Black,2001 Reinhard,0.9650159478187561,VIF,False
train,15004,30-39,Female,Black,2001 Reinhard,1.0165046453475952,VIF,False
train,18597,30-39,Female,Black,2001 Reinhard,0.8979486227035522,VIF,False
train,19923,30-39,Female,Black,2001 Reinhard,0.9689367413520813,VIF,False
train,21094,30-39,Female,Black,2001 Reinhard,0.935997724533081,VIF,False
train,32185,30-39,Female,Black,2001 Reinhard,0.9664353728294373,VIF,False
train,35877,30-39,Female,Black,2001 Reinhard,0.9659634828567505,VIF,False
train,39496,30-39,Female,Black,2001 Reinhard,0.9918571710586548,VIF,False
train,39823,30-39,Female,Black,2001 Reinhard,0.9469732046127319,VIF,False
train,40347,30-39,Female,Black,2001 Reinhard,0.9623987078666687,VIF,False
train,43250,30-39,Female,Black,2001 Reinhard,0.9923259019851685,VIF,False
train,43966,30-39,Female,Black,2001 Reinhard,0.8661242723464966,VIF,False
train,44288,30-39,Female,Black,2001 Reinhard,0.9678258895874023,VIF,False
train,46402,30-39,Female,Black,2001 Reinhard,0.9942038655281067,VIF,False
train,49242,30-39,Female,Black,2001 Reinhard,0.9994620084762573,VIF,False
train,51925,30-39,Female,Black,2001 Reinhard,0.9787386059761047,VIF,False
train,58712,30-39,Female,Black,2001 Reinhard,0.9982932806015015,VIF,False
train,67463,30-39,Female,Black,2001 Reinhard,0.9891937971115112,VIF,False
val,6526,30-39,Female,Black,2001 Reinhard,0.9488027691841125,VIF,False
val,7014,30-39,Female,Black,2001 Reinhard,0.966528058052063,VIF,False
val,8164,30-39,Female,Black,2001 Reinhard,0.9976978302001953,VIF,False
val,8317,30-39,Female,Black,2001 Reinhard,0.9526268243789673,VIF,False
train,10833,3-9,Female,Black,2001 Reinhard,0.9290222525596619,VIF,False
train,16463,3-9,Female,Black,2001 Reinhard,0.9837230443954468,VIF,False
train,18869,3-9,Female,Black,2001 Reinhard,0.9727823138237,VIF,False
train,300,3-9,Female,Black,2001 Reinhard,0.9869380593299866,VIF,False
train,30552,3-9,Female,Black,2001 Reinhard,1.0432475805282593,VIF,False
train,34704,3-9,Female,Black,2001 Reinhard,0.9859959483146667,VIF,False
train,44880,3-9,Female,Black,2001 Reinhard,0.96727055311203,VIF,False
train,46627,3-9,Female,Black,2001 Reinhard,0.9192330837249756,VIF,False
train,51045,3-9,Female,Black,2001 Reinhard,0.9938514828681946,VIF,False
train,55193,3-9,Female,Black,2001 Reinhard,0.9659895896911621,VIF,False
train,56830,3-9,Female,Black,2001 Reinhard,1.0035841464996338,VIF,False
train,57351,3-9,Female,Black,2001 Reinhard,0.980026364326477,VIF,False
train,62386,3-9,Female,Black,2001 Reinhard,0.9823713898658752,VIF,False
train,6462,3-9,Female,Black,2001 Reinhard,0.9794520139694214,VIF,False
train,70806,3-9,Female,Black,2001 Reinhard,0.8899518847465515,VIF,False
train,76522,3-9,Female,Black,2001 Reinhard,0.9617143273353577,VIF,False
train,80331,3-9,Female,Black,2001 Reinhard,0.9618504643440247,VIF,False
train,82377,3-9,Female,Black,2001 Reinhard,0.9888324737548828,VIF,False
train,8653,3-9,Female,Black,2001 Reinhard,0.9617396593093872,VIF,False
train,947,3-9,Female,Black,2001 Reinhard,0.9990575909614563,VIF,False
val,5777,3-9,Female,Black,2001 Reinhard,0.975853681564331,VIF,False
val,6979,3-9,Female,Black,2001 Reinhard,0.9914702773094177,VIF,False
train,10499,40-49,Female,Black,2001 Reinhard,0.9890595078468323,VIF,False
train,10545,40-49,Female,Black,2001 Reinhard,1.0033732652664185,VIF,False
train,10836,40-49,Female,Black,2001 Reinhard,0.99945467710495,VIF,False
train,11437,40-49,Female,Black,2001 Reinhard,0.9897239208221436,VIF,False
train,11659,40-49,Female,Black,2001 Reinhard,0.982233464717865,VIF,False
train,19696,40-49,Female,Black,2001 Reinhard,0.9957083463668823,VIF,False
train,2605,40-49,Female,Black,2001 Reinhard,0.9896765351295471,VIF,False
train,27709,40-49,Female,Black,2001 Reinhard,1.0092257261276245,VIF,False
train,29835,40-49,Female,Black,2001 Reinhard,0.989586353302002,VIF,False
train,41562,40-49,Female,Black,2001 Reinhard,0.9683856964111328,VIF,False
train,42732,40-49,Female,Black,2001 Reinhard,0.989162802696228,VIF,False
train,44628,40-49,Female,Black,2001 Reinhard,0.9545981287956238,VIF,False
train,53570,40-49,Female,Black,2001 Reinhard,0.98306804895401,VIF,False
train,55827,40-49,Female,Black,2001 Reinhard,0.9914768934249878,VIF,False
train,7336,40-49,Female,Black,2001 Reinhard,0.9949148893356323,VIF,False
train,7834,40-49,Female,Black,2001 Reinhard,0.936144232749939,VIF,False
train,81910,40-49,Female,Black,2001 Reinhard,0.9642021656036377,VIF,False
train,83802,40-49,Female,Black,2001 Reinhard,0.9907854199409485,VIF,False
train,85584,40-49,Female,Black,2001 Reinhard,0.9884201288223267,VIF,False
val,2096,40-49,Female,Black,2001 Reinhard,0.9720377326011658,VIF,False
val,3842,40-49,Female,Black,2001 Reinhard,0.9739372730255127,VIF,False
val,7308,40-49,Female,Black,2001 Reinhard,0.9878312945365906,VIF,False
train,18372,50-59,Female,Black,2001 Reinhard,0.982476532459259,VIF,False
train,25657,50-59,Female,Black,2001 Reinhard,0.9263312220573425,VIF,False
train,25798,50-59,Female,Black,2001 Reinhard,0.9732464551925659,VIF,False
train,27893,50-59,Female,Black,2001 Reinhard,0.9957630038261414,VIF,False
