Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,0.9520956242591622,VSI,False
train,1485,0-2,Female,Black,2001 Reinhard,0.9944334749161226,VSI,False
train,30628,0-2,Female,Black,2001 Reinhard,0.9629373577063769,VSI,False
train,33271,0-2,Female,Black,2001 Reinhard,0.9821942876767403,VSI,False
train,35651,0-2,Female,Black,2001 Reinhard,0.9658017696382858,VSI,False
train,39588,0-2,Female,Black,2001 Reinhard,0.9832331934008799,VSI,False
train,46642,0-2,Female,Black,2001 Reinhard,0.9804816890178769,VSI,False
train,57663,0-2,Female,Black,2001 Reinhard,0.9778933335525003,VSI,False
train,57702,0-2,Female,Black,2001 Reinhard,0.9998899106431793,VSI,False
train,63347,0-2,Female,Black,2001 Reinhard,0.9665067347983953,VSI,False
train,65859,0-2,Female,Black,2001 Reinhard,0.971565736917821,VSI,False
train,66196,0-2,Female,Black,2001 Reinhard,0.9246169259216214,VSI,False
train,66787,0-2,Female,Black,2001 Reinhard,0.9904079132486294,VSI,False
train,75619,0-2,Female,Black,2001 Reinhard,0.9322629376853473,VSI,False
train,77414,0-2,Female,Black,2001 Reinhard,0.9757043797463691,VSI,False
train,77430,0-2,Female,Black,2001 Reinhard,0.9920289206761441,VSI,False
train,77690,0-2,Female,Black,2001 Reinhard,0.9766454036330309,VSI,False
train,78106,0-2,Female,Black,2001 Reinhard,0.978497760324564,VSI,False
train,82568,0-2,Female,Black,2001 Reinhard,0.9460288872912371,VSI,False
train,83117,0-2,Female,Black,2001 Reinhard,0.9891864392098036,VSI,False
train,86118,0-2,Female,Black,2001 Reinhard,0.9813488460667631,VSI,False
val,2789,0-2,Female,Black,2001 Reinhard,0.9346859713457428,VSI,False
train,10372,10-19,Female,Black,2001 Reinhard,0.9667104147557853,VSI,False
train,1987,10-19,Female,Black,2001 Reinhard,0.9727229720364242,VSI,False
train,21146,10-19,Female,Black,2001 Reinhard,0.9901747502321918,VSI,False
train,30285,10-19,Female,Black,2001 Reinhard,0.963018646455554,VSI,False
train,39460,10-19,Female,Black,2001 Reinhard,0.9572052118363783,VSI,False
train,39553,10-19,Female,Black,2001 Reinhard,0.9750550812381654,VSI,False
train,59021,10-19,Female,Black,2001 Reinhard,0.9827167199690005,VSI,False
train,59299,10-19,Female,Black,2001 Reinhard,0.987250014518102,VSI,False
train,59451,10-19,Female,Black,2001 Reinhard,0.9656671340544775,VSI,False
train,60633,10-19,Female,Black,2001 Reinhard,0.9743626477959288,VSI,False
train,61647,10-19,Female,Black,2001 Reinhard,0.9645444427814628,VSI,False
train,63420,10-19,Female,Black,2001 Reinhard,0.9478994539139468,VSI,False
train,66469,10-19,Female,Black,2001 Reinhard,0.9381680105197732,VSI,False
train,69227,10-19,Female,Black,2001 Reinhard,0.9651175250440729,VSI,False
train,72594,10-19,Female,Black,2001 Reinhard,0.9689760784180541,VSI,False
train,76550,10-19,Female,Black,2001 Reinhard,0.9477687848319344,VSI,False
train,82340,10-19,Female,Black,2001 Reinhard,0.9506948631738664,VSI,False
train,85202,10-19,Female,Black,2001 Reinhard,0.9718960168895187,VSI,False
val,1455,10-19,Female,Black,2001 Reinhard,0.9528002346257661,VSI,False
val,2846,10-19,Female,Black,2001 Reinhard,0.9907115432063387,VSI,False
val,3819,10-19,Female,Black,2001 Reinhard,0.9335919500590908,VSI,False
val,4512,10-19,Female,Black,2001 Reinhard,0.988072930692988,VSI,False
train,13981,20-29,Female,Black,2001 Reinhard,0.9625909625306911,VSI,False
train,15029,20-29,Female,Black,2001 Reinhard,0.9868745403573488,VSI,False
train,21989,20-29,Female,Black,2001 Reinhard,0.9787596112335285,VSI,False
train,25780,20-29,Female,Black,2001 Reinhard,0.9754939029654623,VSI,False
train,26174,20-29,Female,Black,2001 Reinhard,0.9679819010555079,VSI,False
train,27354,20-29,Female,Black,2001 Reinhard,0.9858076565273449,VSI,False
train,27461,20-29,Female,Black,2001 Reinhard,0.9666063240275132,VSI,False
train,31776,20-29,Female,Black,2001 Reinhard,0.9915172379854,VSI,False
train,31918,20-29,Female,Black,2001 Reinhard,0.9837816520597958,VSI,False
train,33683,20-29,Female,Black,2001 Reinhard,0.9626448521003645,VSI,False
train,34669,20-29,Female,Black,2001 Reinhard,0.9350955468443969,VSI,False
