Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,64371,60-69,Female,East Asian,2016 Zhang,-0.058107051998376846,WaDIQaM (FR),False
train,71972,60-69,Female,East Asian,2016 Zhang,-0.03948833793401718,WaDIQaM (FR),False
train,41737,60-69,Female,East Asian,2016 Zhang,-0.05062266066670418,WaDIQaM (FR),False
train,42570,60-69,Female,East Asian,2016 Zhang,-0.04722994193434715,WaDIQaM (FR),False
train,16040,60-69,Female,East Asian,2016 Zhang,-0.04649380221962929,WaDIQaM (FR),False
train,2433,60-69,Female,East Asian,2016 Zhang,-0.048057638108730316,WaDIQaM (FR),False
train,70466,60-69,Female,East Asian,2016 Zhang,-0.05506354942917824,WaDIQaM (FR),False
train,1015,60-69,Female,East Asian,2016 Zhang,-0.03435772657394409,WaDIQaM (FR),False
train,59682,60-69,Female,East Asian,2016 Zhang,-0.043528951704502106,WaDIQaM (FR),False
train,66648,60-69,Female,East Asian,2016 Zhang,-0.05838235840201378,WaDIQaM (FR),False
train,74110,60-69,Female,East Asian,2016 Zhang,-0.050076644867658615,WaDIQaM (FR),False
train,47121,60-69,Female,East Asian,2016 Zhang,-0.07606703788042068,WaDIQaM (FR),False
train,17688,60-69,Female,East Asian,2016 Zhang,-0.06503618508577347,WaDIQaM (FR),False
train,45897,60-69,Female,East Asian,2016 Zhang,-0.052528850734233856,WaDIQaM (FR),False
train,65204,60-69,Female,East Asian,2016 Zhang,-0.03438505902886391,WaDIQaM (FR),False
val,7091,60-69,Female,East Asian,2016 Zhang,-0.04142570123076439,WaDIQaM (FR),False
train,38116,60-69,Female,East Asian,2016 Zhang,-0.06266786903142929,WaDIQaM (FR),False
val,8830,60-69,Female,East Asian,2016 Zhang,-0.07177171111106873,WaDIQaM (FR),False
train,79103,60-69,Female,East Asian,2016 Zhang,-0.049772266298532486,WaDIQaM (FR),False
train,41703,60-69,Female,East Asian,2016 Zhang,-0.0568273551762104,WaDIQaM (FR),False
train,24808,60-69,Female,East Asian,2016 Zhang,-0.08196724206209183,WaDIQaM (FR),False
train,619,60-69,Female,East Asian,2016 Zhang,-0.07384932041168213,WaDIQaM (FR),False
train,10342,60-69,Female,Indian,2016 Zhang,-0.049512747675180435,WaDIQaM (FR),False
val,5997,60-69,Female,Indian,2016 Zhang,-0.05654489994049072,WaDIQaM (FR),False
train,15763,60-69,Female,Indian,2016 Zhang,-0.05350344628095627,WaDIQaM (FR),False
train,41118,60-69,Female,Indian,2016 Zhang,-0.04766075313091278,WaDIQaM (FR),False
train,71974,60-69,Female,Indian,2016 Zhang,-0.04533648490905762,WaDIQaM (FR),False
train,5638,60-69,Female,Indian,2016 Zhang,-0.06403658539056778,WaDIQaM (FR),False
train,26848,60-69,Female,Indian,2016 Zhang,-0.040835730731487274,WaDIQaM (FR),False
train,86022,60-69,Female,Indian,2016 Zhang,-0.056664854288101196,WaDIQaM (FR),False
train,3615,60-69,Female,Indian,2016 Zhang,-0.03803559020161629,WaDIQaM (FR),False
train,19476,60-69,Female,Indian,2016 Zhang,-0.04337999224662781,WaDIQaM (FR),False
val,2126,60-69,Female,Indian,2016 Zhang,-0.033778782933950424,WaDIQaM (FR),False
train,65625,60-69,Female,Indian,2016 Zhang,-0.02975540980696678,WaDIQaM (FR),False
train,30397,60-69,Female,Indian,2016 Zhang,-0.049431752413511276,WaDIQaM (FR),False
train,29227,60-69,Female,Indian,2016 Zhang,-0.033351603895425797,WaDIQaM (FR),False
train,15050,60-69,Female,Indian,2016 Zhang,-0.06578567624092102,WaDIQaM (FR),False
train,82847,60-69,Female,Indian,2016 Zhang,-0.06790386140346527,WaDIQaM (FR),False
train,53213,60-69,Female,Indian,2016 Zhang,-0.04081932082772255,WaDIQaM (FR),False
train,19481,60-69,Female,Indian,2016 Zhang,-0.054030440747737885,WaDIQaM (FR),False
train,62624,60-69,Female,Indian,2016 Zhang,-0.051181860268116,WaDIQaM (FR),False
train,74119,60-69,Female,Indian,2016 Zhang,-0.06002737209200859,WaDIQaM (FR),False
train,20777,60-69,Female,Indian,2016 Zhang,-0.04941533878445625,WaDIQaM (FR),False
train,50552,60-69,Female,Indian,2016 Zhang,-0.04254962503910065,WaDIQaM (FR),False
train,30327,40-49,Male,Southeast Asian,2016 Zhang,-0.060224127024412155,WaDIQaM (FR),False
train,5149,40-49,Male,Southeast Asian,2016 Zhang,-0.052572257816791534,WaDIQaM (FR),False
train,18691,40-49,Male,Southeast Asian,2016 Zhang,-0.04649916663765907,WaDIQaM (FR),False
train,34582,40-49,Male,Southeast Asian,2016 Zhang,-0.05719202756881714,WaDIQaM (FR),False
train,75800,40-49,Male,Southeast Asian,2016 Zhang,-0.04147357866168022,WaDIQaM (FR),False
train,79801,40-49,Male,Southeast Asian,2016 Zhang,-0.0432601198554039,WaDIQaM (FR),False
train,75803,40-49,Male,Southeast Asian,2016 Zhang,-0.030426017940044403,WaDIQaM (FR),False
train,40067,40-49,Male,Southeast Asian,2016 Zhang,-0.03916224464774132,WaDIQaM (FR),False
train,81367,40-49,Male,Southeast Asian,2016 Zhang,-0.03537680208683014,WaDIQaM (FR),False
train,1402,40-49,Male,Southeast Asian,2016 Zhang,-0.06839234381914139,WaDIQaM (FR),False
val,9516,40-49,Male,Southeast Asian,2016 Zhang,-0.10620029270648956,WaDIQaM (FR),False
train,82280,40-49,Male,Southeast Asian,2016 Zhang,-0.04731383174657822,WaDIQaM (FR),False
val,10926,40-49,Male,Southeast Asian,2016 Zhang,-0.05494963750243187,WaDIQaM (FR),False
val,1613,40-49,Male,Southeast Asian,2016 Zhang,-0.05510459840297699,WaDIQaM (FR),False
train,42879,40-49,Male,Southeast Asian,2016 Zhang,-0.05714139714837074,WaDIQaM (FR),False
train,23679,40-49,Male,Southeast Asian,2016 Zhang,-0.06299979239702225,WaDIQaM (FR),False
train,78872,40-49,Male,Southeast Asian,2016 Zhang,-0.06533034890890121,WaDIQaM (FR),False
train,22996,40-49,Male,Southeast Asian,2016 Zhang,-0.043961863964796066,WaDIQaM (FR),False
train,68437,40-49,Male,Southeast Asian,2016 Zhang,-0.04333025589585304,WaDIQaM (FR),False
train,36979,40-49,Male,Southeast Asian,2016 Zhang,-0.059077613055706024,WaDIQaM (FR),False
train,79129,40-49,Male,Southeast Asian,2016 Zhang,-0.05884579196572304,WaDIQaM (FR),False
train,69249,40-49,Male,Southeast Asian,2016 Zhang,-0.061217665672302246,WaDIQaM (FR),False
val,367,10-19,Female,East Asian,2016 Zhang,-0.08652333170175552,WaDIQaM (FR),False
train,81262,10-19,Female,East Asian,2016 Zhang,-0.05185308679938316,WaDIQaM (FR),False
train,4130,10-19,Female,East Asian,2016 Zhang,-0.07444752752780914,WaDIQaM (FR),False
train,77681,10-19,Female,East Asian,2016 Zhang,-0.08251595497131348,WaDIQaM (FR),False
train,21389,10-19,Female,East Asian,2016 Zhang,-0.03273601084947586,WaDIQaM (FR),False
train,49419,10-19,Female,East Asian,2016 Zhang,-0.03807830438017845,WaDIQaM (FR),False
train,32481,10-19,Female,East Asian,2016 Zhang,-0.048569485545158386,WaDIQaM (FR),False
val,8697,10-19,Female,East Asian,2016 Zhang,-0.039645206183195114,WaDIQaM (FR),False
train,54659,10-19,Female,East Asian,2016 Zhang,-0.05288822576403618,WaDIQaM (FR),False
train,22556,10-19,Female,East Asian,2016 Zhang,-0.042864326387643814,WaDIQaM (FR),False
train,22432,10-19,Female,East Asian,2016 Zhang,-0.05113837122917175,WaDIQaM (FR),False
train,69223,10-19,Female,East Asian,2016 Zhang,-0.05594585835933685,WaDIQaM (FR),False
train,64454,10-19,Female,East Asian,2016 Zhang,-0.038933850824832916,WaDIQaM (FR),False
train,51572,10-19,Female,East Asian,2016 Zhang,-0.03947187587618828,WaDIQaM (FR),False
train,63072,10-19,Female,East Asian,2016 Zhang,-0.051100194454193115,WaDIQaM (FR),False
train,85642,10-19,Female,East Asian,2016 Zhang,-0.049398552626371384,WaDIQaM (FR),False
train,15902,10-19,Female,East Asian,2016 Zhang,-0.050637826323509216,WaDIQaM (FR),False
train,61884,10-19,Female,East Asian,2016 Zhang,-0.031082015484571457,WaDIQaM (FR),False
train,12936,10-19,Female,East Asian,2016 Zhang,-0.055593281984329224,WaDIQaM (FR),False
train,32089,10-19,Female,East Asian,2016 Zhang,-0.07197009027004242,WaDIQaM (FR),False
train,59362,10-19,Female,East Asian,2016 Zhang,-0.03716704994440079,WaDIQaM (FR),False
train,83863,10-19,Female,East Asian,2016 Zhang,-0.06554149836301804,WaDIQaM (FR),False
train,79057,more than 70,Female,Middle Eastern,2016 Zhang,-0.05645822361111641,WaDIQaM (FR),False
val,6044,more than 70,Female,Middle Eastern,2016 Zhang,-0.06802026182413101,WaDIQaM (FR),False
train,39464,more than 70,Female,Middle Eastern,2016 Zhang,-0.03814875707030296,WaDIQaM (FR),False
train,83063,more than 70,Female,Middle Eastern,2016 Zhang,-0.056639209389686584,WaDIQaM (FR),False
val,10789,more than 70,Female,Middle Eastern,2016 Zhang,-0.06939951330423355,WaDIQaM (FR),False
train,3301,more than 70,Female,Middle Eastern,2016 Zhang,-0.033898718655109406,WaDIQaM (FR),False
train,83841,more than 70,Female,Middle Eastern,2016 Zhang,-0.06210280954837799,WaDIQaM (FR),False
train,22057,more than 70,Female,Middle Eastern,2016 Zhang,-0.01229863427579403,WaDIQaM (FR),False
val,5301,more than 70,Female,Middle Eastern,2016 Zhang,-0.05351284146308899,WaDIQaM (FR),False
train,24708,more than 70,Female,Middle Eastern,2016 Zhang,-0.06405165046453476,WaDIQaM (FR),False
train,5288,more than 70,Female,Middle Eastern,2016 Zhang,-0.033736955374479294,WaDIQaM (FR),False
train,78848,more than 70,Female,Middle Eastern,2016 Zhang,-0.03551586717367172,WaDIQaM (FR),False
train,33283,more than 70,Female,Middle Eastern,2016 Zhang,-0.047448597848415375,WaDIQaM (FR),False
train,22604,more than 70,Female,Middle Eastern,2016 Zhang,-0.06438872963190079,WaDIQaM (FR),False
