Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,12330,0-2,Female,Black,2001 Reinhard,-0.24175958335399628,WaDIQaM (NR),False
train,1485,0-2,Female,Black,2001 Reinhard,-0.7252318263053894,WaDIQaM (NR),False
train,30628,0-2,Female,Black,2001 Reinhard,0.04481465741991997,WaDIQaM (NR),False
train,33271,0-2,Female,Black,2001 Reinhard,-0.6854785680770874,WaDIQaM (NR),False
train,35651,0-2,Female,Black,2001 Reinhard,-0.7497955560684204,WaDIQaM (NR),False
train,39588,0-2,Female,Black,2001 Reinhard,0.02228122390806675,WaDIQaM (NR),False
train,46642,0-2,Female,Black,2001 Reinhard,-0.8860629200935364,WaDIQaM (NR),False
train,57663,0-2,Female,Black,2001 Reinhard,-0.8408911228179932,WaDIQaM (NR),False
train,57702,0-2,Female,Black,2001 Reinhard,-0.8959323167800903,WaDIQaM (NR),False
train,63347,0-2,Female,Black,2001 Reinhard,0.04720878601074219,WaDIQaM (NR),False
train,65859,0-2,Female,Black,2001 Reinhard,-0.6556812524795532,WaDIQaM (NR),False
train,66196,0-2,Female,Black,2001 Reinhard,-0.3197941482067108,WaDIQaM (NR),False
train,66787,0-2,Female,Black,2001 Reinhard,-0.7978072762489319,WaDIQaM (NR),False
train,75619,0-2,Female,Black,2001 Reinhard,-0.5017042756080627,WaDIQaM (NR),False
train,77414,0-2,Female,Black,2001 Reinhard,-0.9235920310020447,WaDIQaM (NR),False
train,77430,0-2,Female,Black,2001 Reinhard,-0.6714423894882202,WaDIQaM (NR),False
train,77690,0-2,Female,Black,2001 Reinhard,-0.3005037009716034,WaDIQaM (NR),False
train,78106,0-2,Female,Black,2001 Reinhard,-0.4646868407726288,WaDIQaM (NR),False
train,82568,0-2,Female,Black,2001 Reinhard,-0.30377522110939026,WaDIQaM (NR),False
train,83117,0-2,Female,Black,2001 Reinhard,-0.34926366806030273,WaDIQaM (NR),False
train,86118,0-2,Female,Black,2001 Reinhard,-1.0251390933990479,WaDIQaM (NR),False
val,2789,0-2,Female,Black,2001 Reinhard,-0.8646020889282227,WaDIQaM (NR),False
train,10372,10-19,Female,Black,2001 Reinhard,-0.6865743398666382,WaDIQaM (NR),False
train,1987,10-19,Female,Black,2001 Reinhard,-0.08575277775526047,WaDIQaM (NR),False
train,21146,10-19,Female,Black,2001 Reinhard,-0.9328552484512329,WaDIQaM (NR),False
train,30285,10-19,Female,Black,2001 Reinhard,-0.8383902311325073,WaDIQaM (NR),False
train,39460,10-19,Female,Black,2001 Reinhard,-0.7021880149841309,WaDIQaM (NR),False
train,39553,10-19,Female,Black,2001 Reinhard,-0.9651687145233154,WaDIQaM (NR),False
train,59021,10-19,Female,Black,2001 Reinhard,-0.3333999812602997,WaDIQaM (NR),False
train,59299,10-19,Female,Black,2001 Reinhard,-0.9671682715415955,WaDIQaM (NR),False
train,59451,10-19,Female,Black,2001 Reinhard,-0.7916575074195862,WaDIQaM (NR),False
train,60633,10-19,Female,Black,2001 Reinhard,-0.9958191514015198,WaDIQaM (NR),False
train,61647,10-19,Female,Black,2001 Reinhard,-0.9729659557342529,WaDIQaM (NR),False
train,63420,10-19,Female,Black,2001 Reinhard,-0.42173588275909424,WaDIQaM (NR),False
train,66469,10-19,Female,Black,2001 Reinhard,-0.8136377930641174,WaDIQaM (NR),False
train,69227,10-19,Female,Black,2001 Reinhard,-0.4092031419277191,WaDIQaM (NR),False
train,72594,10-19,Female,Black,2001 Reinhard,-0.8447708487510681,WaDIQaM (NR),False
train,76550,10-19,Female,Black,2001 Reinhard,-0.8960073590278625,WaDIQaM (NR),False
train,82340,10-19,Female,Black,2001 Reinhard,-0.12825216352939606,WaDIQaM (NR),False
train,85202,10-19,Female,Black,2001 Reinhard,-0.19795258343219757,WaDIQaM (NR),False
val,1455,10-19,Female,Black,2001 Reinhard,0.20950327813625336,WaDIQaM (NR),False
val,2846,10-19,Female,Black,2001 Reinhard,-0.9163570404052734,WaDIQaM (NR),False
val,3819,10-19,Female,Black,2001 Reinhard,-0.7542238831520081,WaDIQaM (NR),False
val,4512,10-19,Female,Black,2001 Reinhard,-0.47744935750961304,WaDIQaM (NR),False
train,13981,20-29,Female,Black,2001 Reinhard,-0.7917832136154175,WaDIQaM (NR),False
