Comparison,Assumptions,GroupName_1,GroupName_2,N_1,N_2,Mean_1,Mean_2,Mean_Diff,SE_Mean_Diff,t-stat,p-value,CI_Lower,CI_Upper,Shapiro_p_1,Normal_1,Shapiro_p_2,Normal_2
Male vs Female,False,Male,Female,1386,1386,0.0029289486326147755,0.003193756114657175,-0.00026480748204239964,9.360560382234948e-05,-2.8289703952443666,0.004703721195110265,-0.0004483520565287141,-8.126290755608516e-05,3.627291349056767e-40,False,1.0612038485470998e-39,False
0-2 vs Rest,False,0-2,Rest,308,2464,0.003649909694470391,0.0029877827085316735,0.0006621269859387177,0.00014594893525553753,4.536703092622223,7.608291541047059e-06,0.0003751860021548916,0.0009490679697225437,2.4597682889046596e-15,False,4.812417965344396e-51,False
10-19 vs Rest,False,10-19,Rest,308,2464,0.0028124710204012696,0.0030924625427903134,-0.00027999152238904375,0.00013339187443492005,-2.099014828115692,0.03641742429936363,-0.0005421972360149428,-1.778580876314465e-05,1.4750043134090197e-20,False,8.1907254431795415e-50,False
20-29 vs Rest,False,20-29,Rest,308,2464,0.003203265833087798,0.0030436131912044977,0.00015965264188330013,0.00016852986063433206,0.9473255438673074,0.34409941783938014,-0.00017175830004508198,0.0004910635838116823,3.2199022911138244e-21,False,1.4829772345359991e-49,False
30-39 vs Rest,False,30-39,Rest,308,2464,0.002829722247680585,0.0030903061393803993,-0.00026058389169981424,0.0001385393479113671,-1.8809377669839127,0.06069671331101899,-0.0005329289026077369,1.1761119208108443e-05,5.057763245836679e-22,False,1.5799362813224176e-49,False
3-9 vs Rest,False,3-9,Rest,308,2464,0.003501030698104096,0.00300639258307746,0.0004946381150266357,0.00016050856641427845,3.0816929343818122,0.0022111986496124152,0.00017902291530021077,0.0008102533147530607,1.430059482171508e-17,False,1.644999216939984e-50,False
40-49 vs Rest,False,40-49,Rest,308,2464,0.0026014242202191213,0.003118843392813082,-0.0005174191725939607,0.0001301466058753061,-3.975663976129364,8.251530986984248e-05,-0.0007732330713967682,-0.00026160527379115315,1.3542082755983052e-21,False,1.3376032180118119e-49,False
50-59 vs Rest,False,50-59,Rest,308,2464,0.0030517150085137695,0.003062557044276251,-1.0842035762481574e-05,0.00015961375318164725,-0.06792670146752877,0.9458802514753623,-0.0003246940234414758,0.00030300995191651265,1.5625441907898152e-21,False,1.3863948178895768e-49,False
60-69 vs Rest,False,60-69,Rest,308,2464,0.002929679572796882,0.0030778114737408623,-0.00014813190094398014,0.00015516745792697143,-0.9546582957729285,0.3403580699117109,-0.00045322730087601773,0.00015696349898805745,6.854723004099418e-23,False,3.0175638746390944e-49,False
more than 70 vs Rest,False,more than 70,Rest,308,2464,0.002972953067449866,0.0030724022869092387,-9.94492194593727e-05,0.00013677801322570465,-0.7270848370583236,0.46758981364223307,-0.0003683245998691706,0.00016942616095042522,6.260334786728992e-19,False,3.5505967631960207e-50,False
White vs Black,False,White,Black,396,396,0.003131522981078325,0.002921568168059054,0.0002099548130192713,0.0001777648978556912,1.1810813920626317,0.2379267285956047,-0.00013899394049037142,0.000558903566528914,7.688097724505262e-23,False,5.672967567324903e-23,False
White vs East Asian,False,White,East Asian,396,396,0.003131522981078325,0.0030503533986358956,8.116958244242965e-05,0.0001770117334112058,0.4585548137301681,0.6466804521900841,-0.0002663012465428138,0.0004286404114276731,7.688097724505262e-23,False,1.0647448263518392e-23,False
White vs Indian,False,White,Indian,396,396,0.003131522981078325,0.0029052213143622666,0.0002263016667160586,0.00016630445944900918,1.3607672786756824,0.1739908110097862,-0.00010016923539867928,0.0005527725688307965,7.688097724505262e-23,False,3.0642753925315856e-19,False
White vs Latino_Hispanic,False,White,Latino_Hispanic,396,396,0.003131522981078325,0.003176956849685359,-4.543386860703363e-05,0.00017968952781585685,-0.2528465022936316,0.8004526581692624,-0.00039815968712560645,0.0003072919499115392,7.688097724505262e-23,False,1.6955009463408092e-21,False
White vs Middle Eastern,False,White,Middle Eastern,396,396,0.003131522981078325,0.0028605558165710736,0.00027096716450725157,0.00017666602456333245,1.5337819774741883,0.12548525681758166,-7.582531430303077e-05,0.0006177596433175339,7.688097724505262e-23,False,4.898989550415812e-25,False
White vs Southeast Asian,False,White,Southeast Asian,396,396,0.003131522981078325,0.003383288087059853,-0.00025176510598152796,0.000190232039824997,-1.323463209526313,0.18606689380180222,-0.0006251891048439607,0.00012165889288090476,7.688097724505262e-23,False,4.5212421044528215e-24,False
White vs Non-White,False,White,Non-White,396,2376,0.003131522981078325,0.003049657272395584,8.186570868274137e-05,0.00013827907885461207,0.5920324994991886,0.5540848783933594,-0.00018978547829843356,0.0003535168956639163,7.688097724505262e-23,False,2.659591352724039e-49,False
